cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
822667fffffffff,2.0,0.0,0.0
82275ffffffffff,2.0,0.0,0.0
8229a7fffffffff,37.0,0.0,0.0
823907fffffffff,1.0,0.0,0.0
82391ffffffffff,1.0,0.0,0.0
823937fffffffff,19.0,0.0,0.0
823947fffffffff,8.0,0.0,0.0
823957fffffffff,2.0,2.0,0.0
82441ffffffffff,41.0,4.0,0.0
8244a7fffffffff,87.0,3.0,0.0
8244affffffffff,41.0,0.0,0.0
82464ffffffffff,20.0,0.0,0.0
824cc7fffffffff,2.0,0.0,0.0
824ceffffffffff,2.0,0.0,0.0
82660ffffffffff,2.0,0.0,0.0
826627fffffffff,4.0,0.0,0.0
826657fffffffff,6.0,0.0,0.0
826667fffffffff,3.0,0.0,0.0
826677fffffffff,2.0,0.0,0.0
8266effffffffff,6.0,0.0,0.0
826747fffffffff,17.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0
826757fffffffff,44.0,0.0,0.0
82810ffffffffff,2.0,0.0,0.0
82812ffffffffff,4.0,0.0,0.0
828177fffffffff,5.0,0.0,0.0
828b27fffffffff,46.0,3.0,42.0
82a967fffffffff,3.0,0.0,0.0
82a96ffffffffff,49.0,0.0,0.0
82b24ffffffffff,3.0,0.0,0.0
82b257fffffffff,2.0,0.0,0.0
82b25ffffffffff,8.0,0.0,0.0
82b26ffffffffff,97.0,0.0,0.0
82b32ffffffffff,2.0,0.0,2.0
82b337fffffffff,3.0,0.0,0.0
82b347fffffffff,4.0,0.0,0.0
82b34ffffffffff,1.0,0.0,1.0
82b35ffffffffff,17.0,0.0,0.0
82c2cffffffffff,38.0,0.0,0.0
82c2e7fffffffff,2.0,0.0,0.0
82c34ffffffffff,2.0,0.0,0.0
82c36ffffffffff,2.0,0.0,0.0
82c377fffffffff,2.0,0.0,0.0
