cell_id,Chlorospingus canigularis,Chlorospingus canigularis olivaceiceps,Chlorospingus canigularis [canigularis Group]
846608dffffffff,2.0,0.0,0.0
84660b3ffffffff,1.0,0.0,0.0
84660bdffffffff,3.0,0.0,0.0
8466a05ffffffff,2.0,0.0,0.0
8466b49ffffffff,1.0,1.0,0.0
8466b4dffffffff,3.0,3.0,0.0
8466b5bffffffff,3.0,0.0,0.0
8466c29ffffffff,1.0,0.0,0.0
8466d31ffffffff,124.0,0.0,6.0
8466d35ffffffff,34.0,0.0,0.0
8466d37ffffffff,13.0,0.0,6.0
8466de1ffffffff,2.0,0.0,0.0
8466de9ffffffff,2.0,0.0,0.0
8466e47ffffffff,1.0,0.0,0.0
8466e65ffffffff,1.0,0.0,0.0
8466f03ffffffff,2.0,0.0,0.0
8466f1dffffffff,2.0,0.0,2.0
848b751ffffffff,2.0,0.0,0.0
848f2cbffffffff,2.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f4e5ffffffff,2.0,0.0,0.0
848f733ffffffff,4.0,0.0,4.0
848f741ffffffff,2.0,0.0,0.0
