cell_id,Celeus torquatus,Celeus torquatus torquatus,Celeus torquatus occidentalis,Celeus torquatus tinnunculus
845f017ffffffff,2.0,0.0,0.0,0.0
845f025ffffffff,1.0,0.0,0.0,0.0
845f031ffffffff,2.0,0.0,0.0,0.0
845f035ffffffff,22.0,0.0,0.0,0.0
845f03dffffffff,15.0,5.0,0.0,0.0
845f08bffffffff,6.0,0.0,0.0,0.0
845f095ffffffff,4.0,0.0,0.0,0.0
845f09dffffffff,2.0,0.0,0.0,0.0
845f105ffffffff,3.0,0.0,0.0,0.0
845f10dffffffff,1.0,0.0,0.0,0.0
845f117ffffffff,2.0,0.0,0.0,0.0
845f12bffffffff,1.0,0.0,0.0,0.0
845f139ffffffff,3.0,0.0,0.0,0.0
845f13dffffffff,1.0,0.0,0.0,0.0
845f155ffffffff,2.0,0.0,0.0,0.0
845f161ffffffff,4.0,0.0,0.0,0.0
845f163ffffffff,2.0,0.0,0.0,0.0
845f1cbffffffff,1.0,0.0,0.0,0.0
845f1e9ffffffff,2.0,0.0,0.0,0.0
845f295ffffffff,4.0,0.0,0.0,0.0
845f29dffffffff,2.0,0.0,0.0,0.0
845f2b1ffffffff,26.0,0.0,0.0,0.0
845f2b3ffffffff,59.0,0.0,0.0,0.0
845f2bbffffffff,135.0,0.0,0.0,0.0
845f2dbffffffff,2.0,0.0,0.0,0.0
845f407ffffffff,2.0,0.0,0.0,0.0
845f4a9ffffffff,14.0,0.0,0.0,0.0
845f713ffffffff,3.0,0.0,0.0,0.0
8466411ffffffff,14.0,0.0,0.0,0.0
8466415ffffffff,136.0,0.0,0.0,0.0
8466417ffffffff,3.0,0.0,0.0,0.0
846641dffffffff,27.0,0.0,0.0,0.0
8466441ffffffff,1.0,0.0,0.0,0.0
8466455ffffffff,1.0,0.0,0.0,0.0
84665abffffffff,3.0,0.0,0.0,0.0
84665bdffffffff,5.0,0.0,0.0,0.0
8466637ffffffff,2.0,0.0,0.0,0.0
8466639ffffffff,4.0,0.0,0.0,0.0
84666c5ffffffff,6.0,0.0,0.0,0.0
84666e3ffffffff,2.0,0.0,0.0,0.0
84666ebffffffff,5.0,1.0,0.0,0.0
8466c03ffffffff,3.0,0.0,0.0,0.0
8466c17ffffffff,2.0,0.0,0.0,0.0
8466c23ffffffff,18.0,0.0,0.0,0.0
8466c2bffffffff,5.0,0.0,0.0,0.0
8466c35ffffffff,2.0,0.0,0.0,0.0
8466c37ffffffff,2.0,0.0,0.0,0.0
8466c53ffffffff,5.0,0.0,0.0,0.0
8466cc5ffffffff,6.0,0.0,0.0,0.0
