cell_id,Eurypyga helias,Eurypyga helias major/meridionalis,Eurypyga helias helias
8445205ffffffff,2.0,0.0,0.0
8445225ffffffff,29.0,0.0,0.0
8445305ffffffff,3.0,0.0,0.0
8445319ffffffff,12.0,0.0,0.0
8445343ffffffff,3.0,0.0,0.0
8445345ffffffff,3.0,0.0,0.0
8445363ffffffff,5.0,0.0,0.0
845f02bffffffff,1.0,0.0,0.0
845f035ffffffff,6.0,0.0,0.0
845f03dffffffff,2.0,0.0,0.0
845f089ffffffff,2.0,0.0,0.0
845f0d7ffffffff,4.0,0.0,0.0
845f11bffffffff,1.0,0.0,0.0
845f12bffffffff,3.0,0.0,0.0
845f163ffffffff,1.0,0.0,0.0
845f291ffffffff,7.0,0.0,0.0
845f295ffffffff,20.0,0.0,0.0
845f299ffffffff,3.0,0.0,0.0
845f29dffffffff,66.0,0.0,0.0
845f2b1ffffffff,3.0,0.0,0.0
845f2b3ffffffff,17.0,0.0,0.0
845f2b9ffffffff,2.0,0.0,0.0
845f2bbffffffff,45.0,0.0,0.0
845f2d1ffffffff,8.0,0.0,0.0
845f2d7ffffffff,6.0,0.0,0.0
845f407ffffffff,7.0,0.0,0.0
845f415ffffffff,1.0,0.0,0.0
845f42bffffffff,8.0,0.0,0.0
845f4a3ffffffff,4.0,0.0,0.0
845f4e5ffffffff,15.0,0.0,0.0
845f4e7ffffffff,2.0,0.0,0.0
845f501ffffffff,8.0,0.0,0.0
845f50bffffffff,2.0,0.0,0.0
845f549ffffffff,2.0,0.0,0.0
845f5dbffffffff,2.0,0.0,0.0
845f683ffffffff,2.0,0.0,0.0
845f689ffffffff,2.0,0.0,0.0
845f68bffffffff,3.0,0.0,0.0
845f70bffffffff,2.0,0.0,0.0
845f767ffffffff,1.0,0.0,0.0
8466093ffffffff,3.0,0.0,0.0
8466097ffffffff,1.0,0.0,0.0
8466099ffffffff,1.0,0.0,0.0
846609bffffffff,12.0,0.0,0.0
84660cbffffffff,7.0,0.0,0.0
84660d3ffffffff,4.0,0.0,0.0
8466107ffffffff,2.0,0.0,0.0
8466117ffffffff,2.0,0.0,0.0
