cell_id,Thalurania colombica,Thalurania colombica venusta/townsendi,Thalurania colombica colombica/rostrifera,Thalurania colombica [fannyae Group],Thalurania colombica hypochlora,Thalurania colombica (Violet-crowned Woodnymph),Thalurania colombica (Green-crowned Woodnymph)
834520fffffffff,10.0,0.0,0.0,0.0,0.0,6.0,0.0
834521fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
834522fffffffff,10.0,0.0,0.0,0.0,0.0,6.0,0.0
834523fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
834525fffffffff,15.0,0.0,0.0,0.0,0.0,3.0,0.0
83452efffffffff,47.0,0.0,0.0,0.0,0.0,3.0,0.0
834536fffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0
836608fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
836610fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
836613fffffffff,8.0,0.0,0.0,1.0,0.0,0.0,2.0
836616fffffffff,17.0,16.0,0.0,0.0,0.0,1.0,0.0
836619fffffffff,7.0,0.0,0.0,0.0,0.0,4.0,0.0
83661afffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83661bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,3.0
83661cfffffffff,8.0,0.0,0.0,0.0,0.0,8.0,0.0
83661dfffffffff,60.0,0.0,0.0,0.0,0.0,3.0,57.0
836620fffffffff,20.0,0.0,0.0,0.0,0.0,10.0,0.0
83662dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8366a5fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8366b0fffffffff,67.0,1.0,0.0,0.0,0.0,66.0,0.0
8366b4fffffffff,405.0,2.0,0.0,0.0,0.0,391.0,0.0
8366b5fffffffff,37.0,2.0,0.0,0.0,0.0,35.0,0.0
8366b6fffffffff,20.0,0.0,0.0,0.0,0.0,20.0,0.0
8366d0fffffffff,30.0,0.0,0.0,1.0,0.0,0.0,29.0
8366d2fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,5.0
8366d3fffffffff,1293.0,0.0,0.0,2.0,1.0,0.0,1284.0
8366e4fffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
8366e6fffffffff,15.0,0.0,0.0,0.0,0.0,12.0,3.0
8366f0fffffffff,4.0,0.0,0.0,2.0,0.0,0.0,2.0
8366f1fffffffff,25.0,0.0,0.0,2.0,0.0,6.0,1.0
836758fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83675afffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
83679afffffffff,217.0,5.0,0.0,0.0,0.0,212.0,0.0
83679bfffffffff,37.0,0.0,0.0,0.0,0.0,37.0,0.0
836d65fffffffff,12.0,0.0,0.0,0.0,0.0,3.0,0.0
836d68fffffffff,27.0,0.0,0.0,0.0,0.0,27.0,0.0
836d69fffffffff,611.0,6.0,0.0,0.0,0.0,592.0,0.0
836d6dfffffffff,21.0,0.0,0.0,0.0,0.0,21.0,0.0
838f0dfffffffff,17.0,0.0,0.0,0.0,4.0,0.0,13.0
838f2afffffffff,5.0,0.0,0.0,0.0,0.0,0.0,5.0
