cell_id,Malurus assimilis,Malurus assimilis dulcis/rogersi,Malurus assimilis assimilis/bernieri
82941ffffffffff,78.0,48.0,0.0
829457fffffffff,4.0,0.0,4.0
82945ffffffffff,59.0,37.0,0.0
829487fffffffff,443.0,0.0,53.0
82948ffffffffff,22.0,0.0,7.0
829497fffffffff,75.0,0.0,31.0
8294affffffffff,48.0,2.0,4.0
8294c7fffffffff,10.0,0.0,0.0
8294cffffffffff,4.0,0.0,0.0
8294d7fffffffff,6.0,0.0,0.0
8294e7fffffffff,12.0,2.0,1.0
8294effffffffff,55.0,1.0,15.0
8294f7fffffffff,67.0,26.0,0.0
829c2ffffffffff,21.0,0.0,0.0
829c47fffffffff,29.0,0.0,5.0
829c4ffffffffff,19.0,0.0,7.0
829c67fffffffff,59.0,0.0,11.0
829c6ffffffffff,16.0,0.0,3.0
829c77fffffffff,35.0,0.0,3.0
829d0ffffffffff,4.0,0.0,0.0
829d2ffffffffff,45.0,0.0,7.0
829d47fffffffff,175.0,0.0,46.0
829d4ffffffffff,222.0,0.0,36.0
829d57fffffffff,16.0,0.0,2.0
829d5ffffffffff,36.0,0.0,16.0
829d67fffffffff,27.0,0.0,6.0
829d6ffffffffff,62.0,0.0,9.0
829d77fffffffff,50.0,0.0,9.0
82a607fffffffff,1.0,0.0,0.0
82a617fffffffff,69.0,0.0,4.0
82a627fffffffff,89.0,0.0,13.0
82a637fffffffff,68.0,0.0,15.0
82a6a7fffffffff,36.0,0.0,4.0
82a707fffffffff,52.0,0.0,12.0
82a717fffffffff,41.0,0.0,9.0
82a71ffffffffff,105.0,0.0,24.0
82a727fffffffff,368.0,0.0,35.0
82a737fffffffff,11.0,0.0,0.0
82a787fffffffff,53.0,0.0,1.0
82a78ffffffffff,48.0,0.0,12.0
82a797fffffffff,2.0,0.0,0.0
82a79ffffffffff,61.0,0.0,3.0
82a7a7fffffffff,12.0,0.0,0.0
82a7affffffffff,4.0,0.0,4.0
82a7b7fffffffff,3.0,0.0,0.0
82b80ffffffffff,2.0,0.0,2.0
82b817fffffffff,12.0,0.0,0.0
82b837fffffffff,23.0,0.0,8.0
82b847fffffffff,2.0,0.0,2.0
82b84ffffffffff,6.0,0.0,2.0
82b857fffffffff,14.0,0.0,14.0
82b85ffffffffff,12.0,0.0,2.0
82b887fffffffff,366.0,0.0,116.0
82b88ffffffffff,16.0,0.0,10.0
82b897fffffffff,4.0,0.0,1.0
82b89ffffffffff,43.0,0.0,12.0
82b8a7fffffffff,39.0,0.0,15.0
82b8affffffffff,186.0,0.0,43.0
82b8b7fffffffff,4.0,0.0,0.0
82b8c7fffffffff,2.0,0.0,2.0
82b8f7fffffffff,2.0,0.0,0.0
82b917fffffffff,182.0,0.0,35.0
82b91ffffffffff,2.0,0.0,0.0
82b937fffffffff,2.0,0.0,0.0
82b987fffffffff,161.0,0.0,49.0
82b98ffffffffff,39.0,0.0,10.0
82b997fffffffff,34.0,0.0,0.0
82b99ffffffffff,74.0,0.0,15.0
82b9a7fffffffff,476.0,0.0,69.0
82b9affffffffff,238.0,0.0,54.0
82b9b7fffffffff,312.0,0.0,48.0
82be0ffffffffff,4.0,0.0,0.0
82be1ffffffffff,3.0,0.0,0.0
82be47fffffffff,696.0,0.0,147.0
82be4ffffffffff,1213.0,0.0,192.0
82be57fffffffff,890.0,0.0,90.0
82be5ffffffffff,188.0,0.0,47.0
82be6ffffffffff,41.0,0.0,6.0
82be8ffffffffff,1.0,0.0,0.0
82bec7fffffffff,90.0,0.0,5.0
82becffffffffff,332.0,0.0,46.0
82bed7fffffffff,42.0,0.0,0.0
82bedffffffffff,43.0,0.0,3.0
82bee7fffffffff,230.0,0.0,18.0
82beeffffffffff,135.0,0.0,24.0
82bef7fffffffff,376.0,0.0,27.0
