cell_id,Jynx ruficollis,Jynx ruficollis ruficollis,Jynx ruficollis pulchricollis,Jynx ruficollis aequatorialis
84529b9ffffffff,6.0,0.0,0.0,0.0
8458debffffffff,3.0,0.0,0.0,0.0
846ac03ffffffff,2.0,0.0,0.0,0.0
846ac15ffffffff,10.0,0.0,0.0,0.0
846ac37ffffffff,2.0,0.0,0.0,0.0
846ace5ffffffff,11.0,0.0,0.0,0.0
846ad85ffffffff,2.0,0.0,0.0,0.0
846ad8bffffffff,1.0,0.0,0.0,0.0
846adc1ffffffff,28.0,0.0,0.0,0.0
846adc3ffffffff,6.0,0.0,0.0,0.0
846adc7ffffffff,1.0,0.0,0.0,0.0
846adc9ffffffff,56.0,0.0,0.0,0.0
846adcbffffffff,2.0,0.0,0.0,0.0
846ade7ffffffff,4.0,0.0,0.0,0.0
846adebffffffff,8.0,0.0,0.0,0.0
847a40bffffffff,2.0,0.0,0.0,0.0
847a41dffffffff,1.0,0.0,0.0,0.0
847a43bffffffff,2.0,0.0,0.0,0.0
847a453ffffffff,9.0,0.0,0.0,0.0
847a457ffffffff,9.0,0.0,0.0,0.0
847a45bffffffff,1.0,0.0,0.0,0.0
847a489ffffffff,1.0,0.0,0.0,0.0
847a48dffffffff,4.0,0.0,0.0,0.0
847a4c1ffffffff,2.0,0.0,0.0,0.0
847a4c9ffffffff,2.0,0.0,0.0,0.0
847a4cdffffffff,2.0,0.0,0.0,0.0
847a681ffffffff,1.0,0.0,0.0,0.0
847a683ffffffff,51.0,0.0,0.0,0.0
847a687ffffffff,3.0,0.0,0.0,0.0
847a68bffffffff,2.0,0.0,0.0,0.0
847a6a1ffffffff,24.0,0.0,0.0,0.0
847a6a3ffffffff,2.0,0.0,0.0,0.0
847a6a5ffffffff,1.0,0.0,0.0,0.0
847a6adffffffff,17.0,0.0,0.0,0.0
847a6b5ffffffff,5.0,0.0,0.0,0.0
847a6e5ffffffff,19.0,0.0,0.0,0.0
847ac81ffffffff,42.0,0.0,0.0,18.0
847ac87ffffffff,13.0,0.0,0.0,4.0
847ac8bffffffff,46.0,0.0,0.0,6.0
847aca3ffffffff,10.0,0.0,0.0,3.0
847acc5ffffffff,4.0,0.0,0.0,1.0
847accdffffffff,3.0,0.0,0.0,0.0
847acd5ffffffff,46.0,0.0,0.0,6.0
847acd7ffffffff,3.0,0.0,0.0,0.0
847ad93ffffffff,2.0,0.0,0.0,0.0
847ae87ffffffff,2.0,0.0,0.0,0.0
847aebdffffffff,3.0,0.0,0.0,0.0
847b4dbffffffff,11.0,0.0,0.0,0.0
8482a09ffffffff,4.0,0.0,0.0,0.0
8482a55ffffffff,2.0,2.0,0.0,0.0
8482a57ffffffff,1.0,0.0,0.0,0.0
8483125ffffffff,1.0,0.0,0.0,0.0
848332bffffffff,2.0,0.0,0.0,0.0
848333dffffffff,3.0,0.0,0.0,0.0
8496097ffffffff,1.0,0.0,0.0,0.0
8496b63ffffffff,11.0,0.0,0.0,0.0
84972d9ffffffff,2.0,0.0,0.0,0.0
84bc091ffffffff,3.0,0.0,0.0,0.0
84bc097ffffffff,1.0,0.0,0.0,0.0
84bc0bdffffffff,1.0,0.0,0.0,0.0
84bc19bffffffff,16.0,0.0,0.0,0.0
84bc1b7ffffffff,2.0,0.0,0.0,0.0
84bc46dffffffff,1.0,0.0,0.0,0.0
84bc549ffffffff,1.0,0.0,0.0,0.0
84bc567ffffffff,2.0,0.0,0.0,0.0
84bc731ffffffff,2.0,0.0,0.0,0.0
84bc735ffffffff,3.0,0.0,0.0,0.0
84bc737ffffffff,10.0,3.0,0.0,0.0
84bc73bffffffff,2.0,0.0,0.0,0.0
84bcc03ffffffff,1.0,0.0,0.0,0.0
84bcc05ffffffff,2.0,2.0,0.0,0.0
84bcc07ffffffff,1.0,0.0,0.0,0.0
84bcc15ffffffff,3.0,0.0,0.0,0.0
84bcc21ffffffff,4.0,0.0,0.0,0.0
84bcc23ffffffff,39.0,7.0,0.0,0.0
84bcc27ffffffff,6.0,2.0,0.0,0.0
84bcc2bffffffff,1.0,0.0,0.0,0.0
84bcc35ffffffff,57.0,25.0,0.0,0.0
84bcc3dffffffff,116.0,13.0,0.0,0.0
84bcc45ffffffff,1.0,0.0,0.0,0.0
84bcc49ffffffff,15.0,0.0,0.0,0.0
84bcc4bffffffff,12.0,2.0,0.0,0.0
84bcc4dffffffff,4.0,0.0,0.0,0.0
84bcc65ffffffff,17.0,5.0,0.0,0.0
84bcc69ffffffff,14.0,2.0,0.0,0.0
84bcc6dffffffff,98.0,18.0,0.0,0.0
84bcd01ffffffff,50.0,7.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0,0.0
84bcd05ffffffff,2.0,0.0,0.0,0.0
84bcd07ffffffff,1.0,0.0,0.0,0.0
84bcd09ffffffff,2.0,0.0,0.0,0.0
84bcd0bffffffff,1.0,0.0,0.0,0.0
84bcd11ffffffff,1.0,0.0,0.0,0.0
84bcd13ffffffff,1.0,1.0,0.0,0.0
84bcd15ffffffff,6.0,2.0,0.0,0.0
84bcd19ffffffff,7.0,7.0,0.0,0.0
84bcd1bffffffff,3.0,0.0,0.0,0.0
84bcd1dffffffff,34.0,9.0,0.0,0.0
84bcd29ffffffff,1.0,1.0,0.0,0.0
84bcd3dffffffff,2.0,0.0,0.0,0.0
84bcd43ffffffff,14.0,0.0,0.0,0.0
84bcd4bffffffff,8.0,0.0,0.0,0.0
84bcd55ffffffff,4.0,3.0,0.0,0.0
84bcd57ffffffff,6.0,0.0,0.0,0.0
84bcdc9ffffffff,79.0,18.0,0.0,0.0
84bcdcdffffffff,4.0,2.0,0.0,0.0
84bcde5ffffffff,3.0,0.0,0.0,0.0
84bce05ffffffff,3.0,3.0,0.0,0.0
84bce21ffffffff,9.0,6.0,0.0,0.0
84bce25ffffffff,1.0,1.0,0.0,0.0
84bce27ffffffff,6.0,1.0,0.0,0.0
84bce29ffffffff,199.0,55.0,0.0,0.0
84bce2dffffffff,5.0,1.0,0.0,0.0
84bce51ffffffff,2.0,0.0,0.0,0.0
84bce61ffffffff,14.0,5.0,0.0,0.0
84bce63ffffffff,10.0,3.0,0.0,0.0
84bce65ffffffff,10.0,4.0,0.0,0.0
84bce67ffffffff,6.0,2.0,0.0,0.0
84bce69ffffffff,7.0,2.0,0.0,0.0
84bce6bffffffff,4.0,2.0,0.0,0.0
84bce6dffffffff,1.0,0.0,0.0,0.0
84bcecbffffffff,2.0,0.0,0.0,0.0
84bcf03ffffffff,1.0,0.0,0.0,0.0
84bcf05ffffffff,4.0,2.0,0.0,0.0
84bcf13ffffffff,2.0,0.0,0.0,0.0
84bcf17ffffffff,6.0,0.0,0.0,0.0
84bcf1bffffffff,7.0,0.0,0.0,0.0
84bcf1dffffffff,5.0,0.0,0.0,0.0
84bcf21ffffffff,3.0,0.0,0.0,0.0
84bcf29ffffffff,12.0,2.0,0.0,0.0
84bcf33ffffffff,69.0,32.0,0.0,0.0
84bcf37ffffffff,1.0,0.0,0.0,0.0
84bcf39ffffffff,1.0,0.0,0.0,0.0
84bcf3bffffffff,2.0,0.0,0.0,0.0
84bcf3dffffffff,5.0,0.0,0.0,0.0
84bcf53ffffffff,9.0,3.0,0.0,0.0
84bcf57ffffffff,2.0,0.0,0.0,0.0
84bcf59ffffffff,8.0,5.0,0.0,0.0
84bcf5bffffffff,434.0,287.0,0.0,0.0
84bcf5dffffffff,2.0,0.0,0.0,0.0
84bcf61ffffffff,2.0,0.0,0.0,0.0
84bcf63ffffffff,4.0,0.0,0.0,0.0
