cell_id,Trogon massena,Trogon massena massena/hoffmanni,Trogon massena australis
824507fffffffff,2.0,0.0,0.0
824527fffffffff,22.0,11.0,0.0
82452ffffffffff,21.0,6.0,0.0
824537fffffffff,1.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,6.0,2.0,0.0
8266d7fffffffff,3.0,0.0,0.0
8266f7fffffffff,4.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0
82679ffffffffff,6.0,2.0,0.0
826d27fffffffff,2.0,0.0,0.0
826d2ffffffffff,2.0,0.0,0.0
826d37fffffffff,6.0,3.0,0.0
826d67fffffffff,4.0,0.0,0.0
826d6ffffffffff,36.0,13.0,0.0
