cell_id,Picus chlorolophus,Picus chlorolophus [chlorolophus Group],Picus chlorolophus chlorigaster/wellsi,Picus chlorolophus citrinocristatus/longipennis,Picus chlorolophus rodgeri/vanheysti
82209ffffffffff,1.0,0.0,0.0,0.0,0.0
823c17fffffffff,2.0,0.0,0.0,0.0,0.0
823c1ffffffffff,18.0,0.0,0.0,0.0,0.0
823c57fffffffff,2.0,0.0,0.0,0.0,0.0
823c5ffffffffff,2.0,0.0,0.0,0.0,0.0
823c87fffffffff,2.0,0.0,0.0,0.0,0.0
823c8ffffffffff,14.0,0.0,0.0,0.0,0.0
823c97fffffffff,21.0,0.0,0.0,0.0,0.0
823cb7fffffffff,34.0,0.0,0.0,0.0,0.0
823ce7fffffffff,9.0,0.0,0.0,0.0,0.0
823ceffffffffff,4.0,0.0,0.0,0.0,0.0
823cf7fffffffff,66.0,0.0,0.0,0.0,0.0
823d17fffffffff,5.0,0.0,0.0,0.0,0.0
823d9ffffffffff,9.0,0.0,0.0,0.0,0.0
823daffffffffff,4.0,0.0,0.0,0.0,0.0
8241b7fffffffff,2.0,0.0,0.0,0.0,0.0
8242dffffffffff,8.0,0.0,0.0,0.0,0.0
826007fffffffff,296.0,0.0,0.0,0.0,0.0
826017fffffffff,78.0,0.0,0.0,0.0,0.0
82601ffffffffff,3.0,0.0,0.0,0.0,0.0
826027fffffffff,3.0,0.0,0.0,0.0,0.0
826037fffffffff,323.0,0.0,0.0,0.0,0.0
82608ffffffffff,15.0,0.0,0.0,0.0,0.0
82609ffffffffff,7.0,0.0,0.0,0.0,0.0
8260a7fffffffff,12.0,0.0,0.0,0.0,0.0
8260affffffffff,26.0,0.0,0.0,0.0,0.0
82619ffffffffff,1.0,0.0,0.0,0.0,0.0
8264a7fffffffff,3.0,0.0,0.0,0.0,0.0
826507fffffffff,95.0,0.0,0.0,0.0,0.0
