cell_id,Pachycephala griseonota,Pachycephala griseonota [griseonota Group],Pachycephala griseonota johni
8468d85ffffffff,2.0,0.0,0.0
8468db3ffffffff,2.0,0.0,0.0
8472901ffffffff,3.0,0.0,0.0
8472905ffffffff,6.0,0.0,0.0
847290dffffffff,2.0,0.0,0.0
8472b65ffffffff,1.0,0.0,0.0
8473901ffffffff,14.0,2.0,0.0
8473905ffffffff,23.0,3.0,0.0
8473907ffffffff,18.0,4.0,0.0
8473909ffffffff,1.0,0.0,0.0
847390bffffffff,49.0,12.0,0.0
847390dffffffff,28.0,5.0,0.0
8473955ffffffff,1.0,0.0,0.0
8473957ffffffff,1.0,0.0,0.0
847395bffffffff,6.0,1.0,0.0
847395dffffffff,1.0,0.0,0.0
8495441ffffffff,7.0,0.0,0.0
8495449ffffffff,16.0,0.0,0.0
849544bffffffff,76.0,16.0,0.0
84954d9ffffffff,1.0,1.0,0.0
8495605ffffffff,4.0,4.0,0.0
8495613ffffffff,110.0,0.0,79.0
8495617ffffffff,1.0,0.0,1.0
8495661ffffffff,5.0,1.0,0.0
84956a3ffffffff,2.0,1.0,0.0
84956abffffffff,2.0,0.0,0.0
84956b5ffffffff,5.0,0.0,0.0
84956bdffffffff,127.0,59.0,0.0
84956c5ffffffff,9.0,0.0,9.0
84956e9ffffffff,2.0,0.0,0.0
