cell_id,Pterocles lichtensteinii,Pterocles lichtensteinii [lichtensteinii Group],Pterocles lichtensteinii arabicus
843998dffffffff,2.0,0.0,0.0
843e689ffffffff,7.0,4.0,0.0
843e68dffffffff,1.0,0.0,0.0
8443107ffffffff,6.0,0.0,0.0
84431adffffffff,5.0,0.0,0.0
84431e3ffffffff,1.0,0.0,0.0
84431ebffffffff,1.0,0.0,0.0
8443a9bffffffff,6.0,0.0,0.0
8443ae5ffffffff,1.0,0.0,1.0
84524d7ffffffff,4.0,0.0,4.0
8453a4bffffffff,1.0,0.0,0.0
846330bffffffff,2.0,0.0,2.0
847a413ffffffff,1.0,0.0,0.0
847ad95ffffffff,7.0,0.0,0.0
