cell_id,Carpodacus sibiricus,Carpodacus sibiricus [sibiricus Group],Carpodacus sibiricus lepidus/henrici
840a337ffffffff,2.0,0.0,0.0
840a91dffffffff,2.0,0.0,0.0
840bb01ffffffff,13.0,0.0,0.0
840bb03ffffffff,1.0,0.0,0.0
840bb07ffffffff,2.0,0.0,0.0
840bb1dffffffff,2.0,0.0,0.0
8410c23ffffffff,34.0,0.0,0.0
8410c27ffffffff,15.0,0.0,0.0
8410c35ffffffff,8.0,0.0,0.0
8410c67ffffffff,2.0,0.0,0.0
8410dc9ffffffff,56.0,0.0,0.0
8410dcdffffffff,7.0,0.0,0.0
8414813ffffffff,22.0,0.0,0.0
84149adffffffff,6.0,0.0,0.0
84149e7ffffffff,2.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0
8414aa1ffffffff,1.0,0.0,0.0
8414ae5ffffffff,234.0,0.0,0.0
8414ae9ffffffff,1.0,0.0,0.0
8414aedffffffff,1.0,0.0,0.0
8414d65ffffffff,4.0,0.0,0.0
84158e5ffffffff,2.0,0.0,0.0
8415929ffffffff,1.0,0.0,0.0
841592bffffffff,1.0,0.0,0.0
8415981ffffffff,1.0,0.0,0.0
8415983ffffffff,4.0,0.0,0.0
841598bffffffff,35.0,1.0,0.0
8415995ffffffff,4.0,0.0,0.0
841599dffffffff,8.0,0.0,0.0
84159c5ffffffff,2.0,0.0,0.0
8415b07ffffffff,3.0,0.0,0.0
8420187ffffffff,1.0,0.0,0.0
8420499ffffffff,3.0,0.0,0.0
84204d3ffffffff,6.0,0.0,0.0
842068bffffffff,2.0,0.0,0.0
84206b5ffffffff,2.0,0.0,0.0
8420e2bffffffff,1.0,0.0,0.0
8420e6dffffffff,1.0,0.0,0.0
84212cbffffffff,2.0,0.0,0.0
8424215ffffffff,1.0,0.0,0.0
8424251ffffffff,4.0,0.0,0.0
8424255ffffffff,3.0,0.0,0.0
8424609ffffffff,5.0,0.0,0.0
842460dffffffff,6.0,0.0,0.0
8424641ffffffff,1.0,0.0,0.0
8424645ffffffff,1.0,0.0,0.0
8424647ffffffff,7.0,0.0,0.0
8424665ffffffff,1.0,0.0,0.0
8424753ffffffff,3.0,0.0,0.0
8424759ffffffff,2.0,0.0,0.0
8425009ffffffff,2.0,0.0,0.0
842510dffffffff,2.0,0.0,0.0
842512bffffffff,24.0,0.0,0.0
8425135ffffffff,2.0,0.0,0.0
842514bffffffff,1.0,0.0,0.0
8425169ffffffff,3.0,0.0,0.0
842516bffffffff,2.0,0.0,0.0
84251e5ffffffff,1.0,0.0,0.0
8425403ffffffff,3.0,0.0,0.0
8425409ffffffff,48.0,0.0,0.0
8425415ffffffff,9.0,0.0,0.0
842541dffffffff,2.0,0.0,0.0
8425463ffffffff,5.0,0.0,0.0
8425465ffffffff,5.0,0.0,0.0
8425469ffffffff,4.0,0.0,0.0
8425539ffffffff,2.0,0.0,0.0
84255a3ffffffff,115.0,0.0,0.0
84255a7ffffffff,129.0,0.0,0.0
84255abffffffff,7.0,0.0,0.0
84255b1ffffffff,2.0,0.0,0.0
84255b7ffffffff,2.0,0.0,0.0
84255bdffffffff,5.0,0.0,0.0
8425717ffffffff,2.0,0.0,0.0
8425ac9ffffffff,32.0,0.0,0.0
8425b41ffffffff,3.0,0.0,0.0
8425b47ffffffff,8.0,0.0,0.0
8425b4bffffffff,1.0,0.0,0.0
8425b69ffffffff,2.0,0.0,0.0
842c4cdffffffff,5.0,0.0,0.0
842e0c9ffffffff,26.0,0.0,0.0
842e0d7ffffffff,4.0,0.0,0.0
842e135ffffffff,11.0,0.0,0.0
842e137ffffffff,1.0,0.0,0.0
842e1a3ffffffff,4.0,0.0,0.0
842e1a5ffffffff,3.0,0.0,0.0
842e1a7ffffffff,2.0,0.0,0.0
842e1b5ffffffff,5.0,0.0,0.0
842e1bbffffffff,1.0,0.0,0.0
842e1bdffffffff,12.0,0.0,0.0
842e1e5ffffffff,1.0,0.0,0.0
842e1e7ffffffff,13.0,0.0,0.0
842e299ffffffff,3.0,0.0,0.0
842e2b5ffffffff,7.0,0.0,0.0
842e449ffffffff,2.0,0.0,0.0
842e603ffffffff,1.0,0.0,0.0
842e605ffffffff,3.0,0.0,0.0
842e611ffffffff,4.0,0.0,0.0
842e613ffffffff,1.0,0.0,0.0
842e615ffffffff,5.0,0.0,0.0
842e619ffffffff,2.0,0.0,0.0
842e639ffffffff,1.0,0.0,0.0
842e647ffffffff,1.0,0.0,0.0
842e66dffffffff,1.0,0.0,0.0
842e689ffffffff,15.0,0.0,0.0
842e68bffffffff,1.0,0.0,0.0
842e69bffffffff,1.0,0.0,0.0
842e6c7ffffffff,8.0,0.0,0.0
