cell_id,Caprimulgus nubicus,Caprimulgus nubicus nubicus/tamaricis,Caprimulgus nubicus torridus,Caprimulgus nubicus jonesi
832db2fffffffff,10.0,3.0,0.0,0.0
835211fffffffff,3.0,0.0,0.0,0.0
83521cfffffffff,32.0,0.0,0.0,0.0
835234fffffffff,1.0,0.0,0.0,0.0
835289fffffffff,1.0,0.0,0.0,0.0
8352aafffffffff,1.0,0.0,0.0,0.0
8352d4fffffffff,8.0,0.0,0.0,0.0
8352f4fffffffff,4.0,0.0,0.0,0.0
835316fffffffff,1.0,0.0,0.0,0.0
8353a9fffffffff,1.0,0.0,0.0,0.0
8353adfffffffff,9.0,0.0,0.0,0.0
8363a8fffffffff,1.0,0.0,0.0,0.0
8363aefffffffff,1.0,0.0,0.0,0.0
836a5bfffffffff,4.0,0.0,0.0,0.0
836ac1fffffffff,1.0,0.0,0.0,0.0
836ac3fffffffff,3.0,0.0,0.0,0.0
836aeafffffffff,1.0,0.0,0.0,0.0
837a50fffffffff,2.0,0.0,0.0,0.0
837a59fffffffff,1.0,0.0,0.0,0.0
837ac8fffffffff,1.0,0.0,0.0,0.0
837ad9fffffffff,3.0,0.0,0.0,0.0
837aeefffffffff,1.0,0.0,0.0,0.0
