cell_id,Myiothlypis rivularis,Myiothlypis rivularis mesoleuca,Myiothlypis rivularis boliviana,Myiothlypis rivularis rivularis
835f01fffffffff,3.0,0.0,0.0,0.0
835f02fffffffff,1.0,0.0,0.0,0.0
835f03fffffffff,13.0,0.0,0.0,0.0
835f0dfffffffff,1.0,0.0,0.0,0.0
835f10fffffffff,5.0,0.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0,0.0
835f13fffffffff,2.0,0.0,0.0,0.0
835f14fffffffff,6.0,0.0,0.0,0.0
835f1cfffffffff,9.0,0.0,0.0,0.0
835f2bfffffffff,14.0,0.0,0.0,0.0
835f40fffffffff,3.0,0.0,0.0,0.0
835f42fffffffff,13.0,0.0,0.0,0.0
835f4afffffffff,3.0,0.0,0.0,0.0
835f50fffffffff,29.0,0.0,0.0,0.0
835f54fffffffff,30.0,0.0,0.0,0.0
835f68fffffffff,5.0,0.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0,0.0
835f71fffffffff,8.0,0.0,0.0,0.0
835f75fffffffff,13.0,0.0,0.0,0.0
83666efffffffff,2.0,0.0,0.0,0.0
838046fffffffff,142.0,136.0,0.0,0.0
838065fffffffff,14.0,14.0,0.0,0.0
83806bfffffffff,1.0,0.0,0.0,0.0
838102fffffffff,1.0,0.0,0.0,0.0
838114fffffffff,2.0,0.0,0.0,1.0
838124fffffffff,2.0,0.0,0.0,0.0
838132fffffffff,13.0,0.0,0.0,6.0
838133fffffffff,10.0,0.0,0.0,4.0
838134fffffffff,8.0,0.0,0.0,0.0
838136fffffffff,5.0,0.0,0.0,1.0
83814afffffffff,56.0,10.0,0.0,0.0
83814dfffffffff,17.0,5.0,0.0,0.0
83814efffffffff,6.0,3.0,0.0,0.0
838a01fffffffff,1.0,1.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0,0.0
838a63fffffffff,2.0,0.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0,0.0
838a98fffffffff,1.0,1.0,0.0,0.0
838ad1fffffffff,1.0,1.0,0.0,0.0
838ad8fffffffff,14.0,14.0,0.0,0.0
838adbfffffffff,10.0,2.0,0.0,0.0
838af2fffffffff,46.0,15.0,0.0,0.0
838af6fffffffff,12.0,2.0,0.0,0.0
838b20fffffffff,1.0,0.0,0.0,0.0
838b21fffffffff,13.0,0.0,0.0,0.0
838b22fffffffff,58.0,0.0,0.0,0.0
838b23fffffffff,2.0,0.0,0.0,0.0
838b29fffffffff,1.0,0.0,0.0,0.0
838b2cfffffffff,34.0,0.0,0.0,0.0
838b2efffffffff,6.0,0.0,0.0,0.0
838b74fffffffff,14.0,0.0,0.0,0.0
838b99fffffffff,1.0,0.0,0.0,0.0
83a802fffffffff,2.0,0.0,0.0,0.0
83a804fffffffff,4.0,0.0,0.0,2.0
83a806fffffffff,317.0,0.0,0.0,107.0
83a810fffffffff,665.0,0.0,0.0,197.0
83a812fffffffff,461.0,0.0,0.0,92.0
83a814fffffffff,233.0,0.0,0.0,75.0
83a815fffffffff,929.0,0.0,0.0,226.0
83a816fffffffff,13.0,0.0,0.0,0.0
83a82cfffffffff,3.0,0.0,0.0,0.0
83a82dfffffffff,1.0,0.0,0.0,0.0
83a831fffffffff,282.0,0.0,0.0,132.0
83a833fffffffff,213.0,0.0,0.0,84.0
83a835fffffffff,170.0,0.0,0.0,63.0
83a866fffffffff,4.0,0.0,0.0,0.0
83a8a0fffffffff,2.0,0.0,0.0,0.0
83a8a1fffffffff,370.0,0.0,0.0,96.0
83a8a5fffffffff,170.0,0.0,0.0,49.0
83a8a8fffffffff,2.0,0.0,0.0,0.0
83a8acfffffffff,3.0,0.0,0.0,1.0
83a91bfffffffff,24.0,0.0,0.0,11.0
83a942fffffffff,1.0,0.0,0.0,0.0
83a950fffffffff,21.0,0.0,0.0,0.0
83a951fffffffff,2.0,0.0,0.0,0.0
83a953fffffffff,886.0,0.0,0.0,0.0
83a955fffffffff,6.0,0.0,0.0,0.0
83a95afffffffff,37.0,0.0,0.0,0.0
83a95efffffffff,7.0,0.0,0.0,0.0
83b324fffffffff,4.0,0.0,0.0,0.0
83b325fffffffff,1.0,0.0,0.0,0.0
