cell_id,Poecile gambeli,Poecile gambeli [gambeli Group],Poecile gambeli [baileyae Group]
8412d83ffffffff,85.0,0.0,0.0
8412d85ffffffff,64.0,0.0,0.0
8412d87ffffffff,125.0,0.0,0.0
8412d89ffffffff,14.0,0.0,0.0
8412d8bffffffff,259.0,0.0,0.0
8412d8dffffffff,46.0,0.0,0.0
8412d91ffffffff,20.0,0.0,0.0
8412d93ffffffff,5.0,0.0,0.0
8412d95ffffffff,51.0,0.0,0.0
8412d97ffffffff,6.0,0.0,0.0
8412d99ffffffff,23.0,0.0,0.0
8412d9bffffffff,7.0,0.0,0.0
8412d9dffffffff,172.0,0.0,0.0
8412da1ffffffff,57.0,0.0,0.0
8412da3ffffffff,15.0,0.0,0.0
8412da5ffffffff,342.0,0.0,0.0
8412da7ffffffff,10.0,0.0,0.0
8412da9ffffffff,105.0,0.0,0.0
8412dabffffffff,41.0,0.0,0.0
8412dadffffffff,324.0,0.0,0.0
8412db1ffffffff,808.0,0.0,0.0
8412db3ffffffff,232.0,0.0,0.0
8412db5ffffffff,96.0,0.0,0.0
8412db7ffffffff,825.0,0.0,0.0
8412db9ffffffff,142.0,0.0,0.0
8412dbbffffffff,73.0,0.0,0.0
8412dbdffffffff,61.0,0.0,0.0
8412dc1ffffffff,6.0,0.0,0.0
8412dc3ffffffff,90.0,0.0,0.0
8412dc7ffffffff,8.0,0.0,0.0
8412dc9ffffffff,25.0,0.0,0.0
8412dcbffffffff,29.0,0.0,0.0
8412dcdffffffff,1.0,0.0,0.0
8412dd1ffffffff,20.0,0.0,0.0
8412dd3ffffffff,219.0,0.0,0.0
8412dd5ffffffff,2.0,0.0,0.0
8412dd7ffffffff,36.0,0.0,0.0
8412dd9ffffffff,287.0,0.0,0.0
8412ddbffffffff,4728.0,0.0,0.0
8412dddffffffff,8.0,0.0,0.0
8412de1ffffffff,42.0,0.0,0.0
8412de3ffffffff,48.0,0.0,0.0
8412de5ffffffff,987.0,0.0,0.0
8412de7ffffffff,1570.0,0.0,0.0
8412de9ffffffff,63.0,0.0,0.0
8412dedffffffff,216.0,0.0,0.0
8412e15ffffffff,2.0,0.0,0.0
8412e21ffffffff,1.0,0.0,0.0
8412e25ffffffff,4.0,0.0,0.0
8412e27ffffffff,4.0,0.0,0.0
8412ea5ffffffff,138.0,0.0,0.0
8412ea7ffffffff,11.0,0.0,0.0
8412f01ffffffff,4.0,0.0,0.0
8412f11ffffffff,4.0,0.0,0.0
8412f13ffffffff,196.0,0.0,0.0
8412f15ffffffff,11.0,0.0,0.0
