cell_id,Ceyx cyanopectus,Ceyx cyanopectus cyanopectus,Ceyx cyanopectus nigrirostris
8468621ffffffff,9.0,0.0,3.0
8468625ffffffff,1.0,0.0,0.0
8468657ffffffff,12.0,5.0,0.0
8468659ffffffff,1.0,0.0,0.0
846865dffffffff,4.0,0.0,0.0
8468665ffffffff,3.0,0.0,0.0
846875bffffffff,3.0,0.0,3.0
846941dffffffff,5.0,0.0,0.0
8469433ffffffff,25.0,2.0,0.0
8469439ffffffff,8.0,6.0,0.0
846943bffffffff,1.0,0.0,0.0
8469451ffffffff,4.0,3.0,0.0
8469457ffffffff,4.0,0.0,0.0
84694a5ffffffff,1.0,0.0,0.0
84694a9ffffffff,7.0,0.0,0.0
84694b7ffffffff,6.0,2.0,0.0
84694bdffffffff,1.0,0.0,0.0
84694cdffffffff,1.0,1.0,0.0
84694e1ffffffff,52.0,8.0,0.0
84694e5ffffffff,109.0,18.0,0.0
84694e7ffffffff,8.0,1.0,0.0
84694e9ffffffff,16.0,0.0,0.0
84694ebffffffff,2.0,0.0,0.0
84694edffffffff,16.0,0.0,0.0
84695dbffffffff,8.0,0.0,0.0
8469685ffffffff,9.0,3.0,0.0
846968bffffffff,2.0,0.0,0.0
846969dffffffff,1.0,1.0,0.0
84696a3ffffffff,1.0,0.0,0.0
84696a9ffffffff,13.0,0.0,0.0
84696abffffffff,22.0,9.0,0.0
84696adffffffff,6.0,1.0,0.0
84696c3ffffffff,2.0,0.0,0.0
84696d7ffffffff,15.0,12.0,0.0
84696e3ffffffff,2.0,1.0,0.0
84696e7ffffffff,1.0,0.0,0.0
