cell_id,Chondrohierax uncinatus,Chondrohierax uncinatus uncinatus,Chondrohierax uncinatus mirus
834424fffffffff,2.0,0.0,0.0
834501fffffffff,17.0,0.0,0.0
834505fffffffff,11.0,0.0,0.0
834508fffffffff,39.0,0.0,0.0
834509fffffffff,42.0,0.0,0.0
83450afffffffff,47.0,0.0,0.0
83450bfffffffff,35.0,0.0,0.0
83450cfffffffff,19.0,0.0,0.0
83450dfffffffff,43.0,0.0,0.0
83450efffffffff,16.0,0.0,0.0
834520fffffffff,104.0,0.0,0.0
834521fffffffff,1938.0,0.0,0.0
834522fffffffff,80.0,0.0,0.0
834523fffffffff,89.0,0.0,0.0
834524fffffffff,44.0,0.0,0.0
834525fffffffff,40.0,0.0,0.0
834526fffffffff,31.0,0.0,0.0
834528fffffffff,94.0,0.0,0.0
834529fffffffff,8.0,0.0,0.0
83452afffffffff,125.0,0.0,0.0
83452bfffffffff,20.0,0.0,0.0
83452cfffffffff,56.0,0.0,0.0
83452dfffffffff,26.0,4.0,0.0
83452efffffffff,917.0,0.0,0.0
834530fffffffff,1.0,0.0,0.0
834532fffffffff,13.0,0.0,0.0
834534fffffffff,29.0,0.0,0.0
834535fffffffff,24.0,0.0,0.0
834536fffffffff,12.0,0.0,0.0
834572fffffffff,37.0,0.0,0.0
834574fffffffff,2.0,0.0,0.0
834576fffffffff,17.0,0.0,0.0
834830fffffffff,2.0,0.0,0.0
834832fffffffff,3.0,0.0,0.0
834833fffffffff,15.0,0.0,0.0
834836fffffffff,198.0,0.0,0.0
8348a2fffffffff,21.0,0.0,0.0
8348b1fffffffff,17.0,1.0,0.0
8348b5fffffffff,11.0,0.0,0.0
834980fffffffff,6.0,0.0,0.0
834981fffffffff,4.0,0.0,0.0
834985fffffffff,7.0,0.0,0.0
834990fffffffff,2.0,0.0,0.0
834991fffffffff,2.0,0.0,0.0
834993fffffffff,1.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834995fffffffff,224.0,5.0,0.0
834996fffffffff,1306.0,88.0,0.0
834998fffffffff,6.0,0.0,0.0
8349a2fffffffff,12.0,0.0,0.0
8349a3fffffffff,1.0,0.0,0.0
8349a8fffffffff,41.0,0.0,0.0
8349a9fffffffff,58.0,8.0,0.0
8349aafffffffff,7.0,0.0,0.0
8349abfffffffff,8.0,0.0,0.0
8349b0fffffffff,1.0,0.0,0.0
8349b3fffffffff,29.0,0.0,0.0
8349b5fffffffff,2.0,0.0,0.0
835e66fffffffff,132.0,0.0,89.0
835f03fffffffff,12.0,0.0,0.0
835f09fffffffff,1.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0
835f14fffffffff,2.0,0.0,0.0
835f1cfffffffff,10.0,0.0,0.0
835f1dfffffffff,1.0,0.0,0.0
835f29fffffffff,6.0,0.0,0.0
835f2bfffffffff,23.0,0.0,0.0
835f41fffffffff,1.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f4afffffffff,4.0,0.0,0.0
835f4bfffffffff,4.0,0.0,0.0
835f4efffffffff,1.0,0.0,0.0
835f68fffffffff,3.0,0.0,0.0
835f70fffffffff,1.0,0.0,0.0
835f75fffffffff,17.0,0.0,0.0
836600fffffffff,6.0,0.0,0.0
836602fffffffff,27.0,0.0,0.0
836604fffffffff,10.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0
836606fffffffff,2.0,0.0,0.0
836608fffffffff,47.0,0.0,0.0
83660afffffffff,4.0,0.0,0.0
83660bfffffffff,1.0,0.0,0.0
83660cfffffffff,16.0,0.0,0.0
836610fffffffff,5.0,0.0,0.0
836611fffffffff,6.0,0.0,0.0
836612fffffffff,4.0,0.0,0.0
836613fffffffff,14.0,0.0,0.0
836616fffffffff,13.0,0.0,0.0
836618fffffffff,87.0,0.0,0.0
836619fffffffff,57.0,0.0,0.0
83661afffffffff,9.0,0.0,0.0
83661bfffffffff,258.0,1.0,0.0
83661cfffffffff,2.0,0.0,0.0
83661dfffffffff,8.0,0.0,0.0
83661efffffffff,4.0,0.0,0.0
836620fffffffff,110.0,0.0,0.0
836621fffffffff,25.0,0.0,0.0
836622fffffffff,41.0,2.0,0.0
836623fffffffff,5.0,0.0,0.0
836625fffffffff,4.0,0.0,0.0
836629fffffffff,32.0,3.0,0.0
83662bfffffffff,4.0,0.0,0.0
83662efffffffff,5.0,0.0,0.0
836631fffffffff,90.0,0.0,0.0
836641fffffffff,12.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0
836645fffffffff,2.0,0.0,0.0
836654fffffffff,4.0,0.0,0.0
836656fffffffff,9.0,0.0,0.0
83665afffffffff,6.0,0.0,0.0
836663fffffffff,9.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0
836672fffffffff,2.0,0.0,0.0
836673fffffffff,1.0,0.0,0.0
8366a0fffffffff,18.0,0.0,0.0
8366a2fffffffff,3.0,0.0,0.0
8366a5fffffffff,305.0,0.0,0.0
8366a6fffffffff,7.0,0.0,0.0
8366b0fffffffff,40.0,0.0,0.0
8366b1fffffffff,13.0,0.0,0.0
8366b4fffffffff,521.0,0.0,0.0
8366b5fffffffff,88.0,0.0,0.0
8366b6fffffffff,3.0,0.0,0.0
8366c0fffffffff,47.0,0.0,0.0
8366c1fffffffff,7.0,0.0,0.0
8366c2fffffffff,153.0,0.0,0.0
8366c3fffffffff,2.0,0.0,0.0
8366c4fffffffff,52.0,0.0,0.0
8366c5fffffffff,2.0,0.0,0.0
8366c6fffffffff,8.0,0.0,0.0
8366cdfffffffff,3.0,0.0,0.0
8366cefffffffff,15.0,0.0,0.0
8366d0fffffffff,537.0,10.0,0.0
8366d1fffffffff,2.0,0.0,0.0
8366d2fffffffff,213.0,8.0,0.0
8366d3fffffffff,2330.0,294.0,0.0
8366d4fffffffff,23.0,0.0,0.0
8366d8fffffffff,12.0,0.0,0.0
8366dafffffffff,9.0,2.0,0.0
8366dcfffffffff,344.0,60.0,0.0
8366ddfffffffff,4.0,0.0,0.0
8366defffffffff,45.0,8.0,0.0
8366e0fffffffff,135.0,11.0,0.0
8366e2fffffffff,13.0,0.0,0.0
8366e4fffffffff,65.0,0.0,0.0
8366e5fffffffff,83.0,0.0,0.0
8366e6fffffffff,450.0,0.0,0.0
8366eafffffffff,2.0,0.0,0.0
8366ecfffffffff,6.0,0.0,0.0
8366eefffffffff,22.0,0.0,0.0
8366f0fffffffff,112.0,3.0,0.0
8366f1fffffffff,35.0,0.0,0.0
8366f3fffffffff,7.0,0.0,0.0
8366f5fffffffff,60.0,0.0,0.0
836741fffffffff,17.0,0.0,0.0
836742fffffffff,5.0,0.0,0.0
836743fffffffff,21.0,0.0,0.0
83674afffffffff,3.0,1.0,0.0
83674cfffffffff,168.0,7.0,0.0
83674efffffffff,23.0,0.0,0.0
836751fffffffff,3.0,2.0,0.0
836759fffffffff,10.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0
83675cfffffffff,14.0,0.0,0.0
83675dfffffffff,2.0,0.0,0.0
83675efffffffff,6.0,0.0,0.0
836793fffffffff,4.0,0.0,0.0
836796fffffffff,12.0,0.0,0.0
83679afffffffff,297.0,0.0,0.0
83679bfffffffff,99.0,0.0,0.0
836d04fffffffff,34.0,5.0,0.0
836d05fffffffff,33.0,0.0,0.0
836d06fffffffff,3.0,2.0,0.0
836d15fffffffff,52.0,0.0,0.0
836d21fffffffff,15.0,0.0,0.0
836d23fffffffff,28.0,4.0,0.0
836d24fffffffff,5.0,0.0,0.0
836d25fffffffff,6.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d29fffffffff,5.0,0.0,0.0
836d2afffffffff,11.0,0.0,0.0
836d2bfffffffff,68.0,0.0,0.0
836d2cfffffffff,29.0,4.0,0.0
836d2dfffffffff,85.0,0.0,0.0
836d2efffffffff,3.0,0.0,0.0
836d30fffffffff,14.0,1.0,0.0
836d31fffffffff,64.0,0.0,0.0
836d32fffffffff,22.0,0.0,0.0
836d33fffffffff,14.0,0.0,0.0
836d34fffffffff,20.0,0.0,0.0
836d35fffffffff,10.0,0.0,0.0
836d36fffffffff,2.0,0.0,0.0
836d60fffffffff,28.0,0.0,0.0
836d61fffffffff,2.0,0.0,0.0
836d65fffffffff,136.0,0.0,0.0
836d66fffffffff,8.0,0.0,0.0
836d68fffffffff,157.0,0.0,0.0
836d69fffffffff,745.0,0.0,0.0
836d6afffffffff,2.0,0.0,0.0
836d6bfffffffff,19.0,0.0,0.0
836d6dfffffffff,66.0,0.0,0.0
836d6efffffffff,5.0,0.0,0.0
836d74fffffffff,33.0,0.0,0.0
836d75fffffffff,11.0,0.0,0.0
838005fffffffff,2.0,0.0,0.0
838010fffffffff,16.0,0.0,0.0
838011fffffffff,1.0,0.0,0.0
