cell_id,Zosterops senegalensis,Zosterops senegalensis senegalensis/demeryi,Zosterops senegalensis jacksoni/gerhardi
835286fffffffff,2.0,0.0,0.0
835291fffffffff,5.0,0.0,0.0
835408fffffffff,12.0,0.0,0.0
83541afffffffff,51.0,0.0,0.0
83541bfffffffff,8.0,0.0,0.0
835440fffffffff,17.0,0.0,0.0
835444fffffffff,6.0,0.0,0.0
835449fffffffff,2.0,0.0,0.0
8354a9fffffffff,76.0,0.0,0.0
8354adfffffffff,2.0,0.0,0.0
8354e2fffffffff,14.0,0.0,0.0
8354e4fffffffff,103.0,0.0,0.0
8354e5fffffffff,24.0,0.0,0.0
8354e8fffffffff,1.0,0.0,0.0
8354ecfffffffff,2.0,0.0,0.0
8354f4fffffffff,42.0,0.0,0.0
8354f5fffffffff,2.0,0.0,0.0
8354f6fffffffff,1.0,0.0,0.0
83580bfffffffff,1.0,0.0,0.0
835840fffffffff,2.0,0.0,0.0
835858fffffffff,1.0,0.0,0.0
83589cfffffffff,1.0,0.0,0.0
8358a4fffffffff,2.0,0.0,0.0
8358a6fffffffff,10.0,0.0,0.0
8358b5fffffffff,3.0,0.0,0.0
8358c3fffffffff,3.0,0.0,0.0
8358c4fffffffff,2.0,0.0,0.0
8358cdfffffffff,3.0,0.0,0.0
8358d1fffffffff,2.0,0.0,0.0
8358e2fffffffff,51.0,0.0,0.0
8358e6fffffffff,17.0,0.0,0.0
8358eafffffffff,2.0,0.0,0.0
8358f0fffffffff,2.0,0.0,0.0
8358f4fffffffff,4.0,0.0,0.0
8358f5fffffffff,32.0,0.0,0.0
835991fffffffff,2.0,0.0,0.0
835993fffffffff,2.0,0.0,0.0
835998fffffffff,14.0,0.0,0.0
83599bfffffffff,2.0,0.0,0.0
83599efffffffff,31.0,5.0,0.0
836a45fffffffff,11.0,0.0,0.0
836a5afffffffff,21.0,0.0,0.0
836a65fffffffff,3.0,0.0,0.0
836a6efffffffff,1.0,0.0,0.0
836ac1fffffffff,4.0,0.0,0.0
836ac8fffffffff,1.0,0.0,0.0
836ac9fffffffff,32.0,0.0,0.0
836acdfffffffff,2.0,0.0,0.0
836adcfffffffff,28.0,0.0,0.0
836ae8fffffffff,1.0,0.0,0.0
836aeafffffffff,3.0,0.0,0.0
836aecfffffffff,2.0,0.0,0.0
836aeefffffffff,6.0,0.0,0.0
836b12fffffffff,2.0,0.0,0.0
836bb6fffffffff,3.0,0.0,0.0
837503fffffffff,1.0,0.0,0.0
837505fffffffff,1.0,0.0,0.0
837508fffffffff,8.0,2.0,0.0
83750afffffffff,2.0,0.0,0.0
83750cfffffffff,2.0,0.0,0.0
83750dfffffffff,206.0,14.0,0.0
837520fffffffff,150.0,16.0,0.0
837523fffffffff,2.0,0.0,0.0
837529fffffffff,129.0,5.0,0.0
83752afffffffff,11.0,0.0,0.0
83752dfffffffff,1.0,0.0,0.0
83752efffffffff,4.0,0.0,0.0
837530fffffffff,2.0,0.0,0.0
837576fffffffff,4.0,0.0,0.0
8375a0fffffffff,2.0,0.0,0.0
8375a3fffffffff,2.0,0.0,0.0
8375a6fffffffff,2.0,0.0,0.0
8375b0fffffffff,6.0,0.0,0.0
837a40fffffffff,1.0,0.0,0.0
837a41fffffffff,18.0,0.0,0.0
837a43fffffffff,1.0,0.0,0.0
837a45fffffffff,8.0,0.0,0.0
837a48fffffffff,139.0,0.0,0.0
837a4bfffffffff,2.0,0.0,0.0
837a4cfffffffff,405.0,0.0,0.0
837a4dfffffffff,242.0,0.0,0.0
837a68fffffffff,173.0,0.0,0.0
837a69fffffffff,4.0,0.0,0.0
837a6afffffffff,85.0,0.0,0.0
837a6bfffffffff,23.0,0.0,0.0
837a6efffffffff,49.0,0.0,0.0
837ac8fffffffff,1.0,0.0,0.0
837ae8fffffffff,1.0,0.0,0.0
837aedfffffffff,3.0,0.0,0.0
839693fffffffff,2.0,0.0,0.0
