cell_id,Cepphus grylle,Cepphus grylle mandtii,Cepphus grylle [grylle Group]
83099bfffffffff,6.0,0.0,0.0
83099efffffffff,2.0,0.0,0.0
8309a0fffffffff,88.0,0.0,3.0
8309a4fffffffff,288.0,0.0,11.0
8309a5fffffffff,5.0,0.0,0.0
8309a6fffffffff,142.0,0.0,8.0
8309aafffffffff,1.0,0.0,0.0
830c14fffffffff,304.0,0.0,0.0
830ca4fffffffff,624.0,0.0,0.0
830ca5fffffffff,2.0,0.0,0.0
830cb6fffffffff,1.0,0.0,0.0
830d03fffffffff,478.0,0.0,0.0
830d0dfffffffff,12.0,0.0,0.0
830d74fffffffff,1.0,0.0,0.0
830d75fffffffff,1.0,0.0,0.0
830d98fffffffff,1.0,0.0,0.0
830e00fffffffff,1.0,0.0,0.0
830e0afffffffff,2.0,0.0,0.0
830e0bfffffffff,23.0,0.0,0.0
830e0efffffffff,6.0,0.0,0.0
830e1dfffffffff,6.0,0.0,0.0
830e21fffffffff,1.0,0.0,0.0
830e22fffffffff,1.0,0.0,0.0
830e31fffffffff,1.0,0.0,0.0
830e36fffffffff,26.0,0.0,0.0
830e49fffffffff,1084.0,0.0,0.0
830e4dfffffffff,368.0,0.0,0.0
830e80fffffffff,22.0,0.0,0.0
830e86fffffffff,1.0,0.0,0.0
830ee4fffffffff,5.0,0.0,0.0
830ee8fffffffff,5.0,0.0,0.0
830eeafffffffff,8.0,0.0,0.0
830eeefffffffff,17.0,0.0,0.0
830f0bfffffffff,1.0,0.0,0.0
830f23fffffffff,2.0,0.0,0.0
830f26fffffffff,2.0,0.0,0.0
830f28fffffffff,2.0,0.0,0.0
830f2efffffffff,4.0,0.0,0.0
830f31fffffffff,1.0,0.0,0.0
830f32fffffffff,3.0,0.0,0.0
830f36fffffffff,4.0,0.0,0.0
830f43fffffffff,3.0,0.0,0.0
830f49fffffffff,4.0,0.0,0.0
830f4bfffffffff,2.0,0.0,0.0
830f50fffffffff,2.0,0.0,0.0
