cell_id,Parus major,Parus major [major Group],Parus major [bokharensis Group]
82075ffffffffff,2.0,2.0,0.0
82089ffffffffff,2.0,0.0,0.0
8208a7fffffffff,4.0,0.0,0.0
821127fffffffff,2.0,0.0,0.0
82159ffffffffff,13.0,9.0,0.0
821847fffffffff,2.0,0.0,0.0
82184ffffffffff,71.0,9.0,0.0
82185ffffffffff,56.0,31.0,0.0
821867fffffffff,4.0,4.0,0.0
821877fffffffff,1.0,0.0,0.0
82190ffffffffff,6.0,0.0,0.0
821947fffffffff,8.0,2.0,0.0
82194ffffffffff,1.0,0.0,0.0
821957fffffffff,1.0,0.0,0.0
82195ffffffffff,1.0,0.0,0.0
82196ffffffffff,2.0,2.0,0.0
821e07fffffffff,12.0,2.0,0.0
821e0ffffffffff,37.0,32.0,0.0
821e17fffffffff,2.0,0.0,0.0
821e1ffffffffff,39.0,39.0,0.0
821e27fffffffff,55.0,0.0,0.0
821e37fffffffff,2.0,0.0,0.0
821e47fffffffff,8.0,0.0,0.0
821e57fffffffff,16.0,16.0,0.0
821e5ffffffffff,2.0,0.0,0.0
821e67fffffffff,2.0,0.0,0.0
821e6ffffffffff,3.0,0.0,0.0
821e77fffffffff,6.0,0.0,0.0
821ea7fffffffff,22.0,12.0,0.0
821eaffffffffff,1.0,0.0,0.0
821ec7fffffffff,33.0,0.0,0.0
821ecffffffffff,12.0,0.0,0.0
821ee7fffffffff,23.0,10.0,0.0
821eeffffffffff,9.0,2.0,0.0
821ef7fffffffff,5.0,3.0,0.0
821f1ffffffffff,14.0,14.0,0.0
821f2ffffffffff,12.0,12.0,0.0
821f57fffffffff,5.0,5.0,0.0
821f77fffffffff,8.0,3.0,0.0
821f87fffffffff,8.0,1.0,0.0
821f8ffffffffff,1.0,0.0,0.0
821fa7fffffffff,3.0,0.0,0.0
821faffffffffff,272.0,269.0,0.0
821fb7fffffffff,7.0,7.0,0.0
822017fffffffff,1.0,0.0,1.0
82202ffffffffff,1.0,1.0,0.0
8220e7fffffffff,4.0,4.0,0.0
82255ffffffffff,3.0,0.0,0.0
82275ffffffffff,141.0,0.0,0.0
82291ffffffffff,3.0,3.0,0.0
822baffffffffff,2.0,0.0,0.0
822c07fffffffff,1.0,0.0,0.0
822c0ffffffffff,3.0,3.0,0.0
822c27fffffffff,73.0,73.0,0.0
822c2ffffffffff,104.0,104.0,0.0
822c4ffffffffff,1.0,0.0,0.0
822ce7fffffffff,2.0,0.0,0.0
822d1ffffffffff,1.0,0.0,0.0
822d37fffffffff,1.0,0.0,0.0
822d57fffffffff,7.0,7.0,0.0
822d67fffffffff,6.0,0.0,0.0
822db7fffffffff,34.0,29.0,0.0
82382ffffffffff,4.0,0.0,0.0
823867fffffffff,57.0,6.0,0.0
823877fffffffff,64.0,8.0,0.0
823907fffffffff,439.0,357.0,0.0
82390ffffffffff,41.0,40.0,0.0
823917fffffffff,25.0,14.0,0.0
82391ffffffffff,47.0,38.0,0.0
823927fffffffff,36.0,24.0,0.0
82392ffffffffff,47.0,10.0,0.0
823937fffffffff,20.0,16.0,0.0
823947fffffffff,75.0,66.0,0.0
823957fffffffff,10.0,10.0,0.0
82395ffffffffff,1.0,1.0,0.0
823967fffffffff,20.0,20.0,0.0
823977fffffffff,251.0,39.0,0.0
823e6ffffffffff,52.0,0.0,0.0
823f2ffffffffff,2.0,0.0,0.0
823f4ffffffffff,3.0,0.0,0.0
