cell_id,Batrachostomus affinis,Batrachostomus affinis continentalis,Batrachostomus affinis affinis
836416fffffffff,40.0,18.0,0.0
836431fffffffff,36.0,3.0,3.0
836434fffffffff,39.0,12.0,1.0
836435fffffffff,1.0,0.0,0.0
836480fffffffff,6.0,0.0,0.0
836482fffffffff,19.0,4.0,0.0
836486fffffffff,2.0,0.0,0.0
836500fffffffff,38.0,0.0,3.0
836502fffffffff,7.0,0.0,0.0
836504fffffffff,4.0,0.0,0.0
836505fffffffff,25.0,0.0,0.0
836506fffffffff,2.0,0.0,1.0
836518fffffffff,51.0,0.0,13.0
836519fffffffff,7.0,3.0,2.0
83651bfffffffff,21.0,3.0,3.0
83651cfffffffff,72.0,0.0,37.0
836522fffffffff,26.0,0.0,0.0
836526fffffffff,123.0,0.0,1.0
836586fffffffff,1.0,0.0,0.0
836590fffffffff,1.0,0.0,0.0
836591fffffffff,32.0,0.0,0.0
836594fffffffff,2.0,0.0,0.0
836595fffffffff,4.0,0.0,0.0
83659cfffffffff,8.0,0.0,0.0
8365b0fffffffff,14.0,2.0,0.0
836811fffffffff,4.0,0.0,0.0
836818fffffffff,77.0,0.0,12.0
83681cfffffffff,1.0,0.0,0.0
838c96fffffffff,2.0,0.0,0.0
