cell_id,Phaeochroa cuvierii,Phaeochroa cuvierii roberti,Phaeochroa cuvierii [cuvierii Group]
8445217ffffffff,4.0,0.0,0.0
8445233ffffffff,4.0,0.0,0.0
8445257ffffffff,10.0,0.0,0.0
844525bffffffff,2.0,0.0,0.0
8445285ffffffff,1.0,0.0,0.0
84452adffffffff,43.0,0.0,0.0
84452e1ffffffff,34.0,0.0,0.0
84452e5ffffffff,2.0,0.0,0.0
84452e9ffffffff,5.0,5.0,0.0
84452edffffffff,3.0,0.0,0.0
8445357ffffffff,1.0,0.0,0.0
8466045ffffffff,5.0,0.0,0.0
8466129ffffffff,2.0,0.0,0.0
8466163ffffffff,10.0,0.0,6.0
8466a0bffffffff,3.0,0.0,0.0
8466a33ffffffff,4.0,0.0,0.0
8466a5bffffffff,6.0,0.0,0.0
8466b0bffffffff,2.0,0.0,2.0
8466b41ffffffff,10.0,0.0,3.0
8466b47ffffffff,2.0,0.0,0.0
8466b51ffffffff,13.0,0.0,0.0
8466b53ffffffff,20.0,0.0,3.0
8466b55ffffffff,12.0,0.0,0.0
8466b57ffffffff,2.0,0.0,0.0
84679a5ffffffff,16.0,0.0,0.0
84679a7ffffffff,1.0,0.0,0.0
84679adffffffff,1.0,0.0,0.0
846d21bffffffff,2.0,0.0,0.0
846d2c9ffffffff,2.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d697ffffffff,4.0,0.0,0.0
846d69dffffffff,7.0,0.0,2.0
846d6bbffffffff,10.0,0.0,0.0
846d6d3ffffffff,1.0,0.0,0.0
