cell_id,Ammospiza nelsoni,Ammospiza nelsoni nelsoni/altera,Ammospiza nelsoni subvirgata
832a91fffffffff,8.0,0.0,0.0
832a93fffffffff,31.0,0.0,0.0
832a94fffffffff,6.0,0.0,0.0
832a95fffffffff,10.0,0.0,0.0
832a96fffffffff,5.0,0.0,0.0
832aa0fffffffff,15.0,0.0,0.0
832aa1fffffffff,5.0,0.0,0.0
832aa2fffffffff,2.0,0.0,0.0
832aa3fffffffff,21.0,4.0,0.0
832aa4fffffffff,87.0,38.0,2.0
832aa5fffffffff,5.0,0.0,0.0
832aa6fffffffff,6.0,2.0,0.0
832aa8fffffffff,252.0,70.0,2.0
832aa9fffffffff,69.0,30.0,5.0
832aaafffffffff,8.0,3.0,0.0
832aacfffffffff,21.0,1.0,0.0
832aadfffffffff,254.0,41.0,44.0
832aaefffffffff,39.0,4.0,0.0
832ab0fffffffff,179.0,3.0,0.0
832ab1fffffffff,27.0,0.0,0.0
832ab2fffffffff,64.0,6.0,0.0
832ab3fffffffff,90.0,0.0,0.0
832ab4fffffffff,16.0,4.0,0.0
832ab5fffffffff,14.0,0.0,0.0
832ab6fffffffff,9.0,0.0,0.0
832ad1fffffffff,3.0,0.0,0.0
832ad3fffffffff,21.0,2.0,11.0
832ad6fffffffff,5.0,1.0,0.0
832af0fffffffff,2.0,0.0,0.0
832af1fffffffff,17.0,0.0,0.0
832af3fffffffff,15.0,0.0,0.0
832af4fffffffff,3.0,0.0,1.0
832af6fffffffff,80.0,6.0,9.0
832b00fffffffff,3.0,0.0,0.0
832b01fffffffff,4.0,0.0,2.0
832b03fffffffff,7.0,0.0,2.0
832b0afffffffff,52.0,0.0,3.0
832b0cfffffffff,13.0,2.0,4.0
832b12fffffffff,8.0,1.0,0.0
832b16fffffffff,52.0,6.0,0.0
832b18fffffffff,20.0,0.0,12.0
832b19fffffffff,2.0,0.0,0.0
832b1afffffffff,5.0,1.0,2.0
832b1bfffffffff,28.0,0.0,8.0
832b1dfffffffff,10.0,0.0,0.0
832b1efffffffff,2.0,0.0,0.0
832b25fffffffff,1.0,0.0,0.0
832b28fffffffff,1.0,0.0,0.0
832b81fffffffff,41.0,0.0,0.0
832b82fffffffff,36.0,3.0,0.0
832b83fffffffff,149.0,13.0,0.0
832b89fffffffff,4.0,0.0,0.0
832b8cfffffffff,77.0,1.0,1.0
832b8dfffffffff,40.0,8.0,0.0
832b90fffffffff,4.0,0.0,0.0
832b91fffffffff,3.0,0.0,0.0
832b94fffffffff,2.0,0.0,0.0
832b98fffffffff,26.0,5.0,0.0
832b99fffffffff,50.0,6.0,0.0
832b9bfffffffff,138.0,3.0,0.0
832b9cfffffffff,17.0,3.0,0.0
832b9dfffffffff,51.0,8.0,0.0
832b9efffffffff,16.0,0.0,0.0
832ba5fffffffff,2.0,0.0,0.0
832baafffffffff,66.0,4.0,0.0
832bacfffffffff,1.0,1.0,0.0
832baefffffffff,6.0,0.0,0.0
834413fffffffff,28.0,0.0,0.0
83441afffffffff,33.0,0.0,0.0
83441bfffffffff,14.0,2.0,0.0
83441efffffffff,64.0,3.0,2.0
834440fffffffff,7.0,1.0,0.0
834445fffffffff,65.0,0.0,0.0
834446fffffffff,10.0,0.0,0.0
834448fffffffff,11.0,0.0,0.0
834449fffffffff,4.0,0.0,0.0
83444cfffffffff,16.0,0.0,0.0
834450fffffffff,19.0,2.0,0.0
834454fffffffff,1.0,0.0,0.0
834455fffffffff,32.0,0.0,0.0
834456fffffffff,8.0,0.0,0.0
83445afffffffff,3.0,0.0,0.0
834463fffffffff,2.0,0.0,0.0
83446cfffffffff,26.0,2.0,0.0
83446dfffffffff,7.0,0.0,0.0
83446efffffffff,17.0,6.0,0.0
834473fffffffff,15.0,0.0,0.0
8344a8fffffffff,4.0,0.0,2.0
8344abfffffffff,4.0,0.0,2.0
8344adfffffffff,2.0,0.0,0.0
8344c1fffffffff,1.0,0.0,0.0
8344c3fffffffff,4.0,2.0,0.0
8344c5fffffffff,2.0,0.0,0.0
8344c9fffffffff,11.0,0.0,0.0
8344cafffffffff,2.0,0.0,0.0
8344ccfffffffff,4.0,2.0,0.0
8344cdfffffffff,2.0,0.0,0.0
8344cefffffffff,2.0,2.0,0.0
8344d0fffffffff,66.0,23.0,25.0
8344d2fffffffff,12.0,0.0,0.0
8344d5fffffffff,8.0,0.0,1.0
8344d9fffffffff,9.0,7.0,0.0
8344dafffffffff,3.0,0.0,0.0
8344dbfffffffff,8.0,0.0,0.0
8344e4fffffffff,2.0,0.0,0.0
8344e5fffffffff,2.0,0.0,0.0
8344e6fffffffff,23.0,3.0,0.0
8344f0fffffffff,20.0,3.0,7.0
8344f3fffffffff,42.0,0.0,0.0
8344f4fffffffff,2.0,0.0,0.0
8344f5fffffffff,1.0,0.0,0.0
8344f6fffffffff,17.0,0.0,0.0
834871fffffffff,2.0,0.0,0.0
834890fffffffff,82.0,4.0,0.0
834892fffffffff,3.0,0.0,0.0
834893fffffffff,9.0,0.0,0.0
834895fffffffff,22.0,0.0,0.0
834898fffffffff,8.0,0.0,0.0
8348b2fffffffff,3.0,0.0,0.0
8348defffffffff,14.0,0.0,0.0
8348f2fffffffff,1.0,0.0,0.0
834995fffffffff,5.0,0.0,0.0
