cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
835f08fffffffff,2.0,0.0,0.0,0.0
835f09fffffffff,46.0,0.0,0.0,0.0
835f0bfffffffff,7.0,0.0,0.0,0.0
835f12fffffffff,1.0,0.0,0.0,0.0
835f1cfffffffff,12.0,0.0,0.0,0.0
835f1efffffffff,7.0,0.0,0.0,0.0
835f4bfffffffff,98.0,0.0,0.0,0.0
835f58fffffffff,81.0,0.0,0.0,0.0
835f59fffffffff,1.0,0.0,0.0,0.0
836743fffffffff,14.0,0.0,0.0,1.0
83674cfffffffff,4.0,0.0,0.0,0.0
836750fffffffff,4.0,0.0,0.0,0.0
836752fffffffff,103.0,0.0,0.0,0.0
836755fffffffff,71.0,0.0,0.0,8.0
836769fffffffff,23.0,0.0,0.0,1.0
836d60fffffffff,156.0,19.0,0.0,0.0
836d63fffffffff,86.0,0.0,0.0,0.0
836d66fffffffff,89.0,5.0,0.0,0.0
836d68fffffffff,61.0,0.0,0.0,0.0
836d69fffffffff,182.0,0.0,0.0,0.0
836d6bfffffffff,9.0,0.0,0.0,0.0
838008fffffffff,13.0,0.0,0.0,0.0
838009fffffffff,10.0,0.0,0.0,0.0
838010fffffffff,10.0,0.0,0.0,0.0
838011fffffffff,1.0,0.0,0.0,0.0
838012fffffffff,2.0,0.0,0.0,0.0
838016fffffffff,46.0,0.0,0.0,3.0
838054fffffffff,42.0,0.0,0.0,26.0
838073fffffffff,3.0,0.0,0.0,0.0
838112fffffffff,15.0,0.0,0.0,1.0
838132fffffffff,1.0,0.0,0.0,0.0
83818bfffffffff,10.0,0.0,0.0,0.0
8381a1fffffffff,24.0,0.0,0.0,2.0
8381a3fffffffff,1.0,0.0,0.0,0.0
838f0dfffffffff,14.0,0.0,0.0,0.0
83a596fffffffff,35.0,0.0,0.0,0.0
83a810fffffffff,4.0,0.0,0.0,0.0
83a814fffffffff,85.0,0.0,0.0,6.0
83a815fffffffff,7.0,0.0,0.0,0.0
83a831fffffffff,20.0,0.0,0.0,0.0
83a833fffffffff,37.0,0.0,0.0,8.0
83a835fffffffff,37.0,0.0,0.0,0.0
83a891fffffffff,1.0,0.0,0.0,0.0
83a895fffffffff,18.0,0.0,0.0,0.0
83a8a0fffffffff,134.0,0.0,0.0,0.0
83a8a1fffffffff,1.0,0.0,0.0,0.0
83a8a2fffffffff,13.0,0.0,0.0,3.0
83a918fffffffff,10.0,0.0,0.0,0.0
83a91bfffffffff,23.0,0.0,0.0,0.0
