cell_id,Batis mixta,Batis mixta mixta,Batis mixta reichenowi
847a651ffffffff,1.0,0.0,0.0
847a653ffffffff,5.0,0.0,0.0
847a657ffffffff,1.0,0.0,0.0
847b487ffffffff,78.0,20.0,0.0
847b491ffffffff,2.0,0.0,0.0
847b4a1ffffffff,6.0,1.0,0.0
847b4a7ffffffff,6.0,0.0,0.0
847b4b3ffffffff,1.0,1.0,0.0
847b4b9ffffffff,59.0,22.0,0.0
847b4bdffffffff,3.0,1.0,0.0
847b4dbffffffff,1.0,0.0,0.0
847b591ffffffff,5.0,1.0,0.0
847b595ffffffff,2.0,0.0,0.0
847b597ffffffff,190.0,19.0,0.0
8496921ffffffff,1.0,0.0,0.0
8496925ffffffff,60.0,6.0,0.0
8496a03ffffffff,5.0,2.0,0.0
8496b09ffffffff,1.0,0.0,0.0
8496b0dffffffff,2.0,0.0,0.0
8496b21ffffffff,2.0,0.0,0.0
8496b2bffffffff,2.0,2.0,0.0
8496b47ffffffff,2.0,0.0,0.0
8496b55ffffffff,1.0,0.0,0.0
8496b67ffffffff,5.0,0.0,0.0
8497937ffffffff,3.0,0.0,0.0
