cell_id,Mirafra javanica,Mirafra javanica [cantillans Group],Mirafra javanica [javanica Group]
823cb7fffffffff,2.0,2.0,0.0
823d97fffffffff,8.0,8.0,0.0
823da7fffffffff,62.0,62.0,0.0
823daffffffffff,1.0,0.0,0.0
823db7fffffffff,194.0,194.0,0.0
82424ffffffffff,2.0,2.0,0.0
82425ffffffffff,2.0,2.0,0.0
8242c7fffffffff,29.0,25.0,0.0
8242cffffffffff,17.0,17.0,0.0
8242dffffffffff,3.0,3.0,0.0
82524ffffffffff,34.0,34.0,0.0
825417fffffffff,1.0,0.0,0.0
8254affffffffff,2.0,2.0,0.0
82599ffffffffff,2.0,2.0,0.0
826017fffffffff,36.0,27.0,0.0
826037fffffffff,187.0,178.0,0.0
826097fffffffff,34.0,34.0,0.0
82609ffffffffff,9.0,9.0,0.0
8260a7fffffffff,38.0,31.0,0.0
826337fffffffff,54.0,54.0,0.0
826487fffffffff,2.0,0.0,2.0
8264b7fffffffff,6.0,0.0,6.0
826587fffffffff,3.0,0.0,3.0
82659ffffffffff,4.0,0.0,4.0
826947fffffffff,3.0,0.0,3.0
827a67fffffffff,5.0,5.0,0.0
827a6ffffffffff,8.0,8.0,0.0
829487fffffffff,3.0,0.0,3.0
829697fffffffff,9.0,9.0,0.0
82b887fffffffff,1.0,0.0,1.0
82b9a7fffffffff,2.0,0.0,2.0
82be0ffffffffff,33.0,0.0,33.0
82be1ffffffffff,7.0,0.0,7.0
82be47fffffffff,5.0,0.0,4.0
82be67fffffffff,19.0,0.0,19.0
82be6ffffffffff,3.0,0.0,3.0
82be77fffffffff,38.0,0.0,38.0
82be8ffffffffff,24.0,0.0,24.0
82beaffffffffff,6.0,0.0,6.0
82bef7fffffffff,2.0,0.0,2.0
