cell_id,Telophorus viridis,Telophorus viridis viridis,Telophorus viridis [quadricolor Group]
837b59fffffffff,3.0,2.0,1.0
83972efffffffff,2.0,0.0,0.0
83bcd0fffffffff,3.0,0.0,0.0
83bcd2fffffffff,3.0,0.0,0.0
