cell_id,Mergus merganser,Mergus merganser merganser/orientalis,Mergus merganser americanus
840120dffffffff,2.0,0.0,0.0
8401225ffffffff,2.0,0.0,0.0
840122bffffffff,1.0,0.0,0.0
840123dffffffff,9.0,1.0,0.0
8401243ffffffff,2.0,0.0,0.0
8401247ffffffff,2.0,0.0,0.0
840125dffffffff,3.0,2.0,0.0
8401261ffffffff,1.0,0.0,0.0
8401265ffffffff,4.0,0.0,0.0
8401267ffffffff,2.0,0.0,0.0
8401269ffffffff,6.0,0.0,0.0
840126bffffffff,1.0,0.0,0.0
840126dffffffff,5.0,0.0,0.0
840130bffffffff,286.0,48.0,0.0
8401319ffffffff,113.0,18.0,0.0
840131dffffffff,67.0,8.0,0.0
840134bffffffff,10.0,0.0,0.0
8401351ffffffff,214.0,37.0,0.0
8401353ffffffff,83.0,13.0,0.0
8401355ffffffff,184.0,17.0,0.0
8401357ffffffff,17.0,3.0,0.0
8401359ffffffff,12.0,3.0,0.0
840135bffffffff,93.0,17.0,0.0
840135dffffffff,6.0,5.0,0.0
840136dffffffff,1.0,0.0,0.0
8401b31ffffffff,2.0,0.0,0.0
84058c3ffffffff,2.0,2.0,0.0
8407411ffffffff,4.0,2.0,0.0
8407417ffffffff,7.0,1.0,0.0
8407419ffffffff,37.0,18.0,0.0
840741dffffffff,12.0,12.0,0.0
8407421ffffffff,3.0,3.0,0.0
8407425ffffffff,47.0,14.0,0.0
8407427ffffffff,2.0,2.0,0.0
840742dffffffff,8.0,5.0,0.0
8407431ffffffff,75.0,20.0,0.0
8407433ffffffff,125.0,4.0,0.0
8407435ffffffff,2.0,2.0,0.0
8407437ffffffff,36.0,2.0,0.0
8407439ffffffff,8.0,8.0,0.0
840743bffffffff,4.0,0.0,0.0
8407457ffffffff,24.0,22.0,0.0
840745dffffffff,5.0,2.0,0.0
8407461ffffffff,89.0,54.0,0.0
8407465ffffffff,28.0,13.0,0.0
8407467ffffffff,16.0,6.0,0.0
840746dffffffff,16.0,16.0,0.0
8407513ffffffff,13.0,0.0,0.0
8407517ffffffff,1.0,0.0,0.0
840751bffffffff,3.0,0.0,0.0
840753bffffffff,2.0,0.0,0.0
8407551ffffffff,4.0,4.0,0.0
840755bffffffff,4.0,4.0,0.0
8407589ffffffff,8.0,0.0,0.0
840758dffffffff,8.0,0.0,0.0
84075c1ffffffff,4.0,2.0,0.0
84075c3ffffffff,1.0,0.0,0.0
84075c5ffffffff,6.0,2.0,0.0
84075c7ffffffff,11.0,5.0,0.0
84075c9ffffffff,4.0,0.0,0.0
84075cbffffffff,35.0,19.0,0.0
84075cdffffffff,6.0,2.0,0.0
84075d1ffffffff,4.0,0.0,0.0
84075d9ffffffff,118.0,24.0,0.0
84075ddffffffff,28.0,4.0,0.0
84075e1ffffffff,22.0,4.0,0.0
84075e3ffffffff,1.0,0.0,0.0
84075e5ffffffff,4.0,2.0,0.0
84075e9ffffffff,10.0,0.0,0.0
84075ebffffffff,8.0,2.0,0.0
84075edffffffff,35.0,7.0,0.0
8407623ffffffff,10.0,8.0,0.0
8407627ffffffff,3.0,3.0,0.0
8407635ffffffff,10.0,2.0,0.0
8407703ffffffff,1.0,1.0,0.0
8407731ffffffff,2.0,2.0,0.0
8407733ffffffff,129.0,87.0,0.0
840773bffffffff,51.0,42.0,0.0
8408005ffffffff,1.0,0.0,0.0
840802bffffffff,2.0,0.0,0.0
840802dffffffff,2.0,0.0,0.0
8408063ffffffff,1.0,0.0,0.0
8408065ffffffff,11.0,0.0,0.0
8408105ffffffff,1.0,0.0,0.0
8408107ffffffff,8.0,3.0,0.0
840810dffffffff,1.0,0.0,0.0
840811dffffffff,7.0,5.0,0.0
8408129ffffffff,4.0,0.0,0.0
8408133ffffffff,17.0,0.0,0.0
840813bffffffff,3.0,0.0,0.0
840814dffffffff,11.0,0.0,0.0
8408151ffffffff,20.0,2.0,0.0
8408159ffffffff,36.0,5.0,0.0
840815bffffffff,5.0,0.0,0.0
8408163ffffffff,2.0,0.0,0.0
8408165ffffffff,2.0,2.0,0.0
8408169ffffffff,5.0,0.0,0.0
8408183ffffffff,1.0,0.0,0.0
8408193ffffffff,4.0,1.0,0.0
840819dffffffff,2.0,2.0,0.0
84081e5ffffffff,11.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0
8408295ffffffff,1.0,0.0,0.0
84082a1ffffffff,1.0,0.0,0.0
8408327ffffffff,2.0,0.0,0.0
8408329ffffffff,2.0,0.0,0.0
8408333ffffffff,2.0,0.0,0.0
8408361ffffffff,4.0,2.0,0.0
8408363ffffffff,2.0,0.0,0.0
8408365ffffffff,2.0,0.0,0.0
8408805ffffffff,4.0,0.0,0.0
8408807ffffffff,16.0,6.0,0.0
8408809ffffffff,2.0,0.0,0.0
840880bffffffff,26.0,7.0,0.0
840880dffffffff,22.0,5.0,0.0
8408821ffffffff,9.0,0.0,0.0
8408823ffffffff,2.0,0.0,0.0
8408829ffffffff,6.0,6.0,0.0
840882bffffffff,12.0,8.0,0.0
840882dffffffff,23.0,16.0,0.0
8408831ffffffff,7.0,1.0,0.0
