cell_id,Sicalis flaveola,Sicalis flaveola [flaveola Group],Sicalis flaveola pelzelni
8345b2fffffffff,98.0,0.0,0.0
834648fffffffff,969.0,0.0,0.0
834649fffffffff,45.0,0.0,0.0
83464bfffffffff,255.0,0.0,0.0
83464efffffffff,438.0,0.0,0.0
834cc0fffffffff,3.0,0.0,0.0
834cc4fffffffff,23.0,0.0,0.0
834cc5fffffffff,648.0,0.0,0.0
834ceafffffffff,28.0,0.0,0.0
834ceefffffffff,278.0,0.0,0.0
835d10fffffffff,6158.0,0.0,0.0
835d11fffffffff,1027.0,0.0,0.0
835d13fffffffff,793.0,0.0,0.0
835d14fffffffff,2.0,0.0,0.0
835d16fffffffff,8.0,0.0,0.0
835e65fffffffff,3.0,0.0,0.0
835f09fffffffff,2.0,0.0,0.0
835f29fffffffff,15.0,0.0,0.0
835f2dfffffffff,3.0,0.0,0.0
835f40fffffffff,82.0,2.0,0.0
835f41fffffffff,49.0,0.0,0.0
835f42fffffffff,16.0,0.0,0.0
835f43fffffffff,31.0,0.0,0.0
835f46fffffffff,2.0,0.0,0.0
835f48fffffffff,26.0,0.0,0.0
835f49fffffffff,65.0,0.0,0.0
835f4afffffffff,5.0,0.0,0.0
835f4bfffffffff,41.0,3.0,0.0
835f4cfffffffff,2.0,0.0,0.0
835f4efffffffff,10.0,0.0,0.0
835f58fffffffff,387.0,0.0,0.0
835f59fffffffff,9.0,0.0,0.0
835f5dfffffffff,10.0,0.0,0.0
835f68fffffffff,10.0,0.0,0.0
835f69fffffffff,1.0,0.0,0.0
835f71fffffffff,3.0,0.0,0.0
835f75fffffffff,23.0,0.0,0.0
836600fffffffff,9.0,0.0,0.0
836601fffffffff,26.0,0.0,0.0
836602fffffffff,209.0,0.0,0.0
836603fffffffff,25.0,0.0,0.0
836604fffffffff,15.0,0.0,0.0
836605fffffffff,4.0,0.0,0.0
836606fffffffff,87.0,0.0,0.0
836608fffffffff,3056.0,32.0,0.0
836609fffffffff,118.0,0.0,0.0
83660afffffffff,467.0,28.0,0.0
83660bfffffffff,423.0,0.0,0.0
83660cfffffffff,426.0,16.0,0.0
83660dfffffffff,200.0,0.0,0.0
83660efffffffff,221.0,0.0,0.0
836611fffffffff,21.0,0.0,0.0
836615fffffffff,6.0,0.0,0.0
836616fffffffff,5.0,0.0,0.0
836618fffffffff,1252.0,8.0,0.0
836619fffffffff,4364.0,80.0,0.0
83661afffffffff,6.0,0.0,0.0
83661bfffffffff,1784.0,26.0,0.0
83661cfffffffff,36.0,0.0,0.0
83661dfffffffff,347.0,5.0,0.0
83661efffffffff,10.0,0.0,0.0
836620fffffffff,53.0,4.0,0.0
836621fffffffff,35.0,0.0,0.0
836622fffffffff,585.0,16.0,0.0
836623fffffffff,4.0,1.0,0.0
836625fffffffff,21.0,9.0,0.0
836628fffffffff,17.0,0.0,0.0
836629fffffffff,415.0,2.0,0.0
83662afffffffff,6.0,0.0,0.0
83662bfffffffff,265.0,0.0,0.0
83662cfffffffff,36.0,0.0,0.0
83662dfffffffff,10.0,0.0,0.0
83662efffffffff,19.0,0.0,0.0
836631fffffffff,351.0,7.0,0.0
836641fffffffff,16.0,0.0,0.0
836642fffffffff,1.0,0.0,0.0
836650fffffffff,47.0,0.0,0.0
836652fffffffff,364.0,0.0,0.0
836653fffffffff,5.0,0.0,0.0
836654fffffffff,279.0,0.0,0.0
836656fffffffff,912.0,0.0,0.0
83665afffffffff,3.0,0.0,0.0
836660fffffffff,9.0,0.0,0.0
836661fffffffff,1.0,0.0,0.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,114.0,0.0,0.0
836664fffffffff,120.0,1.0,0.0
836666fffffffff,1.0,0.0,0.0
836670fffffffff,69.0,0.0,0.0
836672fffffffff,272.0,7.0,0.0
836673fffffffff,48.0,0.0,0.0
836674fffffffff,5.0,0.0,0.0
836675fffffffff,178.0,0.0,0.0
836676fffffffff,34.0,0.0,0.0
8366a5fffffffff,2634.0,106.0,0.0
8366c0fffffffff,301.0,1.0,0.0
8366c1fffffffff,16.0,0.0,0.0
8366c2fffffffff,1060.0,0.0,0.0
8366c3fffffffff,14.0,0.0,0.0
8366c4fffffffff,1417.0,22.0,0.0
8366c5fffffffff,126.0,0.0,0.0
8366c6fffffffff,1647.0,20.0,0.0
8366cefffffffff,12.0,0.0,0.0
8366d0fffffffff,121.0,2.0,0.0
8366d1fffffffff,19.0,0.0,0.0
8366d2fffffffff,122.0,0.0,0.0
8366d3fffffffff,2561.0,240.0,0.0
8366d4fffffffff,159.0,0.0,0.0
8366d5fffffffff,68.0,0.0,0.0
8366d6fffffffff,13.0,0.0,0.0
8366dafffffffff,3.0,0.0,0.0
8366dcfffffffff,103.0,6.0,0.0
8366ddfffffffff,2.0,0.0,0.0
8366defffffffff,17.0,0.0,0.0
8366e0fffffffff,3958.0,29.0,0.0
8366e1fffffffff,1256.0,0.0,0.0
8366e2fffffffff,478.0,0.0,0.0
8366e3fffffffff,181.0,0.0,0.0
8366e4fffffffff,3907.0,149.0,0.0
8366e5fffffffff,5478.0,19.0,0.0
8366e6fffffffff,13160.0,227.0,0.0
8366e8fffffffff,2.0,0.0,0.0
8366e9fffffffff,2.0,0.0,0.0
8366ecfffffffff,249.0,0.0,0.0
8366eefffffffff,194.0,0.0,0.0
8366f0fffffffff,409.0,0.0,0.0
8366f1fffffffff,7080.0,92.0,0.0
8366f2fffffffff,2.0,0.0,0.0
8366f5fffffffff,5368.0,101.0,0.0
836732fffffffff,35.0,0.0,0.0
836736fffffffff,12.0,0.0,0.0
836740fffffffff,6.0,0.0,0.0
836741fffffffff,4245.0,33.0,0.0
836742fffffffff,502.0,3.0,0.0
836743fffffffff,639.0,13.0,0.0
836744fffffffff,387.0,0.0,0.0
836746fffffffff,1409.0,0.0,0.0
836748fffffffff,2.0,0.0,0.0
83674afffffffff,222.0,13.0,0.0
83674cfffffffff,900.0,11.0,0.0
83674dfffffffff,23.0,0.0,0.0
83674efffffffff,756.0,18.0,0.0
836750fffffffff,8.0,0.0,0.0
836751fffffffff,277.0,5.0,0.0
836752fffffffff,97.0,0.0,0.0
836753fffffffff,411.0,0.0,0.0
836755fffffffff,4047.0,3.0,0.0
836756fffffffff,14.0,0.0,0.0
836758fffffffff,52.0,0.0,0.0
836759fffffffff,96.0,5.0,0.0
83675afffffffff,472.0,2.0,0.0
83675bfffffffff,36.0,0.0,0.0
83675cfffffffff,1281.0,3.0,0.0
83675dfffffffff,81.0,0.0,0.0
83675efffffffff,143.0,0.0,0.0
83676bfffffffff,57.0,0.0,0.0
836773fffffffff,4.0,0.0,0.0
838000fffffffff,4.0,0.0,0.0
838005fffffffff,7.0,0.0,0.0
83800cfffffffff,3.0,0.0,0.0
838010fffffffff,40.0,0.0,0.0
838014fffffffff,11.0,0.0,0.0
838016fffffffff,1.0,0.0,0.0
83802bfffffffff,3.0,0.0,0.0
838030fffffffff,13.0,3.0,0.0
838036fffffffff,34.0,3.0,0.0
838066fffffffff,2.0,0.0,0.0
