cell_id,Troglodytes aedon,Troglodytes aedon [aedon Group],Troglodytes aedon [brunneicollis Group]
83120bfffffffff,8.0,0.0,0.0
831218fffffffff,88.0,0.0,0.0
83121afffffffff,40.0,0.0,0.0
83121bfffffffff,17.0,0.0,0.0
83121efffffffff,46.0,3.0,0.0
831243fffffffff,11.0,0.0,0.0
831246fffffffff,4.0,0.0,0.0
831248fffffffff,1.0,0.0,0.0
83124afffffffff,2.0,0.0,0.0
83124bfffffffff,70.0,0.0,0.0
831250fffffffff,102.0,5.0,0.0
831251fffffffff,288.0,48.0,0.0
831252fffffffff,116.0,0.0,0.0
831253fffffffff,146.0,19.0,0.0
831254fffffffff,18.0,6.0,0.0
831256fffffffff,5.0,0.0,0.0
831258fffffffff,32.0,0.0,0.0
831259fffffffff,819.0,0.0,0.0
83125afffffffff,27.0,1.0,0.0
83125bfffffffff,59.0,0.0,0.0
83125cfffffffff,2.0,0.0,0.0
83125dfffffffff,102.0,0.0,0.0
83125efffffffff,8.0,0.0,0.0
83126afffffffff,2.0,0.0,0.0
831272fffffffff,38.0,0.0,0.0
8312c0fffffffff,9.0,0.0,0.0
8312c1fffffffff,1114.0,22.0,0.0
8312c2fffffffff,7.0,0.0,0.0
8312c3fffffffff,20.0,0.0,0.0
8312c4fffffffff,8.0,0.0,0.0
8312c5fffffffff,12.0,0.0,0.0
8312c8fffffffff,1067.0,15.0,0.0
8312c9fffffffff,213.0,1.0,0.0
8312cafffffffff,267.0,0.0,0.0
8312cbfffffffff,439.0,12.0,0.0
8312ccfffffffff,6879.0,211.0,0.0
8312cdfffffffff,471.0,14.0,0.0
8312cefffffffff,54.0,0.0,0.0
8312d0fffffffff,236.0,14.0,0.0
8312d1fffffffff,790.0,64.0,0.0
8312d2fffffffff,4.0,0.0,0.0
8312d3fffffffff,789.0,32.0,0.0
8312d5fffffffff,19.0,0.0,0.0
8312d6fffffffff,68.0,0.0,0.0
8312d8fffffffff,261.0,0.0,0.0
8312d9fffffffff,100.0,0.0,0.0
8312dafffffffff,443.0,3.0,0.0
8312dbfffffffff,1166.0,48.0,0.0
8312dcfffffffff,10.0,0.0,0.0
8312ddfffffffff,350.0,2.0,0.0
8312defffffffff,1773.0,43.0,0.0
8312e0fffffffff,6.0,0.0,0.0
8312e1fffffffff,599.0,1.0,0.0
8312e2fffffffff,13.0,0.0,0.0
8312e3fffffffff,8.0,0.0,0.0
8312e4fffffffff,6.0,0.0,0.0
8312e5fffffffff,16.0,0.0,0.0
8312e6fffffffff,3.0,0.0,0.0
8312e8fffffffff,190.0,8.0,0.0
8312e9fffffffff,8.0,0.0,0.0
8312eafffffffff,746.0,34.0,0.0
8312ebfffffffff,221.0,13.0,0.0
8312ecfffffffff,1642.0,58.0,0.0
8312edfffffffff,65.0,2.0,0.0
8312eefffffffff,169.0,2.0,0.0
8312f1fffffffff,8.0,0.0,0.0
832600fffffffff,205.0,4.0,0.0
832601fffffffff,819.0,141.0,0.0
832602fffffffff,135.0,7.0,0.0
832603fffffffff,460.0,118.0,0.0
832604fffffffff,144.0,0.0,0.0
832605fffffffff,819.0,18.0,0.0
832606fffffffff,34.0,0.0,0.0
832608fffffffff,875.0,38.0,0.0
832609fffffffff,199.0,2.0,0.0
83260afffffffff,1772.0,4.0,0.0
83260bfffffffff,960.0,42.0,0.0
83260cfffffffff,94.0,2.0,0.0
83260dfffffffff,986.0,12.0,0.0
83260efffffffff,971.0,132.0,0.0
832610fffffffff,103.0,2.0,0.0
832611fffffffff,312.0,6.0,0.0
832612fffffffff,303.0,4.0,0.0
832613fffffffff,25.0,0.0,0.0
832614fffffffff,19.0,0.0,0.0
832615fffffffff,65.0,4.0,0.0
832616fffffffff,153.0,7.0,0.0
832618fffffffff,418.0,6.0,0.0
832619fffffffff,181.0,20.0,0.0
83261afffffffff,104.0,10.0,0.0
83261bfffffffff,177.0,15.0,0.0
83261cfffffffff,80.0,1.0,0.0
83261dfffffffff,89.0,3.0,0.0
83261efffffffff,77.0,0.0,0.0
832620fffffffff,968.0,12.0,0.0
832621fffffffff,1892.0,25.0,0.0
832622fffffffff,353.0,19.0,0.0
832623fffffffff,447.0,2.0,0.0
832624fffffffff,781.0,15.0,0.0
832625fffffffff,442.0,2.0,0.0
832626fffffffff,1977.0,231.0,0.0
832628fffffffff,420.0,12.0,0.0
832629fffffffff,641.0,8.0,0.0
83262afffffffff,182.0,6.0,0.0
83262bfffffffff,994.0,8.0,0.0
