cell_id,Sula sula,Sula sula sula,Sula sula rubripes,Sula sula websteri
831872fffffffff,4.0,0.0,0.0,0.0
831876fffffffff,1.0,0.0,0.0,0.0
832803fffffffff,1.0,0.0,0.0,0.0
832830fffffffff,87.0,0.0,0.0,0.0
832831fffffffff,12.0,0.0,0.0,0.0
832834fffffffff,428.0,0.0,0.0,0.0
832835fffffffff,103.0,0.0,0.0,0.0
8328d1fffffffff,6.0,0.0,0.0,0.0
832912fffffffff,69.0,0.0,0.0,0.0
832913fffffffff,12.0,0.0,0.0,0.0
832916fffffffff,14.0,0.0,0.0,0.0
83291efffffffff,18.0,0.0,0.0,0.0
8329a4fffffffff,319.0,0.0,0.0,0.0
8329a5fffffffff,227.0,0.0,0.0,2.0
8329adfffffffff,16.0,0.0,0.0,0.0
832a30fffffffff,1.0,0.0,0.0,0.0
832ad6fffffffff,9.0,0.0,0.0,0.0
832e63fffffffff,1.0,0.0,0.0,0.0
832f43fffffffff,1.0,0.0,1.0,0.0
832f5afffffffff,1.0,0.0,0.0,0.0
832f5dfffffffff,1.0,0.0,0.0,0.0
832f61fffffffff,1.0,0.0,0.0,0.0
832f6efffffffff,5.0,0.0,0.0,0.0
833919fffffffff,42.0,3.0,0.0,0.0
833945fffffffff,2.0,0.0,0.0,0.0
83411cfffffffff,2.0,0.0,0.0,0.0
8341b4fffffffff,1.0,0.0,0.0,0.0
8343acfffffffff,5.0,0.0,0.0,0.0
834406fffffffff,2.0,0.0,0.0,0.0
834410fffffffff,5.0,0.0,0.0,0.0
834414fffffffff,42.0,4.0,0.0,0.0
834456fffffffff,3.0,0.0,0.0,0.0
834465fffffffff,3.0,0.0,0.0,0.0
83446efffffffff,2.0,0.0,0.0,0.0
83448cfffffffff,10.0,0.0,0.0,0.0
8344a1fffffffff,21.0,0.0,0.0,0.0
8344e5fffffffff,2.0,0.0,0.0,0.0
8344f2fffffffff,1.0,0.0,0.0,0.0
8344f3fffffffff,24.0,1.0,0.0,0.0
8344f6fffffffff,1.0,0.0,0.0,0.0
834501fffffffff,1.0,0.0,0.0,0.0
834503fffffffff,2.0,0.0,0.0,0.0
834505fffffffff,11.0,0.0,0.0,0.0
83450afffffffff,9.0,0.0,0.0,0.0
834510fffffffff,3.0,2.0,0.0,0.0
83452cfffffffff,7.0,0.0,0.0,0.0
834531fffffffff,3.0,0.0,0.0,0.0
83454bfffffffff,1.0,0.0,0.0,0.0
834550fffffffff,17.0,8.0,0.0,0.0
834584fffffffff,13.0,0.0,0.0,0.0
83458afffffffff,1.0,0.0,0.0,0.0
8345a3fffffffff,3.0,0.0,0.0,0.0
8345aefffffffff,3.0,0.0,0.0,0.0
8345b0fffffffff,3.0,0.0,0.0,0.0
834633fffffffff,2.0,0.0,0.0,0.0
834643fffffffff,6.0,0.0,0.0,0.0
834648fffffffff,2.0,0.0,0.0,0.0
834649fffffffff,22.0,0.0,0.0,0.0
83464afffffffff,2.0,0.0,0.0,0.0
83464efffffffff,16.0,0.0,0.0,0.0
83465dfffffffff,3.0,0.0,0.0,0.0
834805fffffffff,15.0,0.0,0.0,2.0
834821fffffffff,2.0,0.0,0.0,0.0
834822fffffffff,2.0,0.0,0.0,0.0
834823fffffffff,15.0,0.0,0.0,0.0
834828fffffffff,7.0,0.0,0.0,0.0
83482bfffffffff,2.0,0.0,0.0,0.0
83482efffffffff,5.0,0.0,0.0,0.0
834830fffffffff,3.0,0.0,0.0,0.0
834843fffffffff,2.0,0.0,0.0,0.0
83484afffffffff,21.0,0.0,0.0,0.0
83484bfffffffff,16.0,0.0,0.0,0.0
834856fffffffff,2.0,0.0,0.0,0.0
834872fffffffff,3.0,0.0,0.0,0.0
834918fffffffff,1.0,0.0,0.0,1.0
83491efffffffff,3.0,0.0,0.0,0.0
834971fffffffff,5.0,0.0,0.0,3.0
8349a0fffffffff,4.0,0.0,0.0,0.0
8349a1fffffffff,1.0,0.0,0.0,0.0
8349acfffffffff,3.0,0.0,0.0,0.0
834a6dfffffffff,1.0,0.0,0.0,0.0
834b12fffffffff,4.0,0.0,0.0,0.0
834b84fffffffff,6.0,0.0,0.0,0.0
834b86fffffffff,8.0,0.0,0.0,0.0
834ba1fffffffff,12.0,0.0,2.0,0.0
834ba3fffffffff,1.0,0.0,0.0,0.0
834ba8fffffffff,2.0,0.0,0.0,0.0
834bb3fffffffff,2.0,0.0,0.0,0.0
834bb5fffffffff,7.0,0.0,5.0,0.0
834cc0fffffffff,69.0,4.0,0.0,0.0
834cc5fffffffff,2.0,0.0,0.0,0.0
834ce8fffffffff,3.0,0.0,0.0,0.0
834ce9fffffffff,1.0,0.0,0.0,0.0
834ceefffffffff,5.0,0.0,0.0,0.0
834d4bfffffffff,2.0,0.0,0.0,0.0
834e5bfffffffff,2.0,0.0,0.0,0.0
834f49fffffffff,4.0,0.0,0.0,0.0
835494fffffffff,4.0,0.0,0.0,0.0
83549afffffffff,2.0,2.0,0.0,0.0
8354acfffffffff,7.0,0.0,0.0,0.0
83574dfffffffff,10.0,6.0,0.0,0.0
835768fffffffff,1.0,0.0,0.0,0.0
835d10fffffffff,6.0,0.0,0.0,0.0
835d11fffffffff,3.0,0.0,0.0,0.0
835d13fffffffff,1.0,0.0,1.0,0.0
835d14fffffffff,13.0,0.0,0.0,0.0
835e41fffffffff,1.0,0.0,0.0,0.0
835e43fffffffff,5.0,0.0,0.0,0.0
835e46fffffffff,5.0,0.0,0.0,0.0
835e4bfffffffff,3.0,0.0,0.0,0.0
835e4efffffffff,4.0,2.0,0.0,0.0
835e62fffffffff,53.0,0.0,0.0,0.0
835e66fffffffff,39.0,2.0,0.0,0.0
835e71fffffffff,20.0,0.0,0.0,0.0
835e75fffffffff,20.0,0.0,0.0,0.0
835f49fffffffff,8.0,0.0,0.0,0.0
835f58fffffffff,8.0,3.0,0.0,0.0
835f5bfffffffff,125.0,1.0,0.0,0.0
835fa9fffffffff,1.0,0.0,0.0,0.0
836002fffffffff,7.0,0.0,5.0,0.0
83611cfffffffff,6.0,0.0,0.0,0.0
836526fffffffff,4.0,0.0,0.0,0.0
83668efffffffff,2.0,0.0,0.0,0.0
836691fffffffff,5.0,0.0,0.0,0.0
836695fffffffff,2.0,0.0,0.0,0.0
8366a2fffffffff,2.0,0.0,0.0,0.0
8366a5fffffffff,5.0,0.0,0.0,0.0
8366b0fffffffff,10.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0
8366d4fffffffff,2.0,0.0,0.0,0.0
8366d6fffffffff,4.0,0.0,0.0,0.0
836726fffffffff,1.0,0.0,0.0,0.0
836743fffffffff,1.0,0.0,0.0,0.0
836745fffffffff,4.0,0.0,0.0,0.0
836746fffffffff,37.0,0.0,0.0,0.0
