cell_id,Vanellus miles,Vanellus miles miles,Vanellus miles novaehollandiae
821fa7fffffffff,2.0,0.0,0.0
826527fffffffff,25.0,2.0,0.0
829457fffffffff,2.0,0.0,0.0
82945ffffffffff,1.0,0.0,0.0
829487fffffffff,2.0,2.0,0.0
8294cffffffffff,2.0,2.0,0.0
8294f7fffffffff,2.0,2.0,0.0
82951ffffffffff,3.0,0.0,0.0
829b6ffffffffff,5.0,0.0,0.0
829c0ffffffffff,1.0,0.0,1.0
829c4ffffffffff,3.0,3.0,0.0
829c6ffffffffff,2.0,0.0,2.0
829caffffffffff,3.0,0.0,0.0
829d27fffffffff,3.0,0.0,0.0
829e27fffffffff,14.0,0.0,0.0
829f57fffffffff,1.0,0.0,0.0
82a727fffffffff,26.0,0.0,4.0
82b867fffffffff,2.0,0.0,0.0
82bb0ffffffffff,15.0,0.0,0.0
82bb2ffffffffff,89.0,0.0,10.0
82bb37fffffffff,8.0,0.0,0.0
82bb57fffffffff,11.0,0.0,1.0
82be0ffffffffff,106.0,0.0,0.0
82be1ffffffffff,2.0,0.0,0.0
82be47fffffffff,5.0,0.0,0.0
82be4ffffffffff,2.0,0.0,0.0
82be67fffffffff,12.0,0.0,2.0
82be6ffffffffff,6.0,0.0,0.0
82be77fffffffff,598.0,0.0,17.0
82be8ffffffffff,41.0,0.0,11.0
82becffffffffff,2.0,0.0,2.0
82bf4ffffffffff,5.0,0.0,2.0
82c987fffffffff,6.0,0.0,2.0
82c997fffffffff,19.0,0.0,0.0
82c99ffffffffff,3.0,0.0,0.0
82d44ffffffffff,1.0,0.0,0.0
82da87fffffffff,22.0,0.0,1.0
82da8ffffffffff,3.0,0.0,3.0
82da97fffffffff,22.0,0.0,1.0
82daaffffffffff,4.0,0.0,0.0
82dab7fffffffff,6.0,0.0,0.0
