cell_id,Amytornis textilis,Amytornis textilis textilis,Amytornis textilis myall
82a627fffffffff,3.0,3.0,0.0
82b917fffffffff,1.0,0.0,0.0
82b9affffffffff,1.0,0.0,1.0
