cell_id,Centropus phasianinus,Centropus phasianinus mui,Centropus phasianinus spilopterus,Centropus phasianinus [phasianinus Group]
839451fffffffff,2.0,0.0,0.0,2.0
839480fffffffff,2.0,0.0,0.0,0.0
8394edfffffffff,1.0,0.0,0.0,1.0
839c8bfffffffff,3.0,0.0,0.0,3.0
839ca6fffffffff,1.0,0.0,0.0,1.0
839caefffffffff,3.0,0.0,0.0,0.0
839cd1fffffffff,1.0,0.0,0.0,0.0
839d9bfffffffff,2.0,0.0,0.0,0.0
83b8a0fffffffff,1.0,0.0,0.0,1.0
83be0cfffffffff,9.0,0.0,0.0,0.0
83be0dfffffffff,4.0,0.0,0.0,0.0
83be0efffffffff,2.0,0.0,0.0,0.0
83be18fffffffff,4.0,0.0,0.0,0.0
83be8dfffffffff,2.0,0.0,0.0,1.0
83bee1fffffffff,4.0,0.0,0.0,0.0
83bef5fffffffff,2.0,0.0,0.0,0.0
