cell_id,Barnardius zonarius,Barnardius zonarius semitorquatus,Barnardius zonarius zonarius,Barnardius zonarius barnardi,Barnardius zonarius macgillivrayi,Barnardius zonarius semitorquatus x zonarius,Barnardius zonarius zonarius x barnardi
83a726fffffffff,1.0,0.0,0.0,0.0,0.0,1.0,0.0
83b865fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83b880fffffffff,9.0,0.0,9.0,0.0,0.0,0.0,0.0
83b885fffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
83b8a1fffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
83b912fffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0
83b9b2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be40fffffffff,30.0,0.0,0.0,16.0,0.0,0.0,0.0
83be43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83be49fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be4cfffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83be4efffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83be53fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83be63fffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0
83bec0fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
83becefffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
83c990fffffffff,4.0,3.0,0.0,0.0,0.0,1.0,0.0
83c992fffffffff,3.0,0.0,0.0,0.0,0.0,3.0,0.0
83c993fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
83c995fffffffff,3.0,3.0,0.0,0.0,0.0,0.0,0.0
83c99efffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83c9b3fffffffff,2.0,2.0,0.0,0.0,0.0,0.0,0.0
