cell_id,Thamnophilus doliatus,Thamnophilus doliatus [doliatus Group],Thamnophilus doliatus capistratus
824527fffffffff,11.0,0.0,0.0
82452ffffffffff,33.0,4.0,0.0
8248b7fffffffff,1.0,0.0,0.0
824997fffffffff,4.0,0.0,0.0
825f0ffffffffff,4.0,4.0,0.0
825f2ffffffffff,4.0,4.0,0.0
825f5ffffffffff,40.0,21.0,0.0
826617fffffffff,26.0,11.0,0.0
82661ffffffffff,38.0,1.0,0.0
826627fffffffff,5.0,0.0,0.0
82662ffffffffff,4.0,0.0,0.0
826647fffffffff,13.0,0.0,0.0
8266a7fffffffff,2.0,0.0,0.0
8266b7fffffffff,11.0,4.0,0.0
8266dffffffffff,1.0,0.0,0.0
826747fffffffff,3.0,0.0,0.0
82675ffffffffff,11.0,1.0,0.0
82679ffffffffff,10.0,0.0,0.0
826d27fffffffff,23.0,2.0,0.0
826d2ffffffffff,3.0,0.0,0.0
826d37fffffffff,2.0,0.0,0.0
826d6ffffffffff,26.0,5.0,0.0
828a47fffffffff,1.0,0.0,0.0
828b27fffffffff,4.0,4.0,0.0
828b6ffffffffff,2.0,2.0,0.0
828e67fffffffff,3.0,0.0,0.0
828e6ffffffffff,2.0,0.0,0.0
828f47fffffffff,3.0,3.0,0.0
82a81ffffffffff,1.0,1.0,0.0
82a857fffffffff,2.0,2.0,0.0
82a8d7fffffffff,7.0,0.0,0.0
82a947fffffffff,7.0,0.0,0.0
82a957fffffffff,10.0,0.0,0.0
82a967fffffffff,43.0,0.0,0.0
82a96ffffffffff,20.0,0.0,0.0
82b247fffffffff,3.0,0.0,0.0
82b24ffffffffff,2.0,0.0,0.0
82b267fffffffff,26.0,0.0,0.0
82b26ffffffffff,2.0,0.0,0.0
82b347fffffffff,20.0,0.0,0.0
