cell_id,Metallura tyrianthina,Metallura tyrianthina districta,Metallura tyrianthina chloropogon,Metallura tyrianthina oreopola,Metallura tyrianthina tyrianthina/quitensis,Metallura tyrianthina septentrionalis,Metallura tyrianthina smaragdinicollis
836608fffffffff,187.0,0.0,0.0,0.0,0.0,0.0,0.0
836609fffffffff,96.0,0.0,0.0,0.0,0.0,0.0,0.0
83660afffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
83660bfffffffff,1075.0,0.0,0.0,0.0,1.0,0.0,0.0
83660cfffffffff,393.0,0.0,0.0,0.0,0.0,0.0,0.0
83660dfffffffff,62.0,0.0,0.0,0.0,0.0,0.0,0.0
836618fffffffff,548.0,0.0,0.0,0.0,2.0,0.0,0.0
836619fffffffff,409.0,0.0,0.0,0.0,0.0,0.0,0.0
83661bfffffffff,666.0,0.0,0.0,0.0,39.0,0.0,0.0
83661dfffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0
836620fffffffff,3164.0,1275.0,0.0,0.0,0.0,0.0,0.0
836621fffffffff,1011.0,0.0,0.0,0.0,0.0,0.0,0.0
836622fffffffff,13.0,8.0,0.0,0.0,0.0,0.0,0.0
836623fffffffff,182.0,125.0,0.0,0.0,0.0,0.0,0.0
836629fffffffff,167.0,0.0,0.0,26.0,0.0,0.0,0.0
83662bfffffffff,39.0,0.0,0.0,4.0,0.0,0.0,0.0
83662dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
83662efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c0fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c2fffffffff,218.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c4fffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8366c6fffffffff,634.0,0.0,0.0,0.0,1.0,0.0,0.0
8366d1fffffffff,168.0,0.0,0.0,0.0,0.0,0.0,0.0
8366d3fffffffff,3152.0,0.0,0.0,0.0,187.0,0.0,0.0
8366d5fffffffff,155.0,0.0,0.0,0.0,11.0,0.0,0.0
8366dafffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8366defffffffff,2883.0,0.0,0.0,0.0,165.0,0.0,0.0
8366e0fffffffff,961.0,0.0,0.0,0.0,9.0,0.0,0.0
8366e2fffffffff,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8366e4fffffffff,3151.0,0.0,0.0,0.0,48.0,0.0,0.0
8366e5fffffffff,649.0,0.0,0.0,0.0,8.0,0.0,0.0
8366e6fffffffff,4002.0,0.0,0.0,0.0,79.0,0.0,0.0
8366f1fffffffff,113.0,0.0,0.0,0.0,0.0,0.0,0.0
8366f3fffffffff,14.0,0.0,0.0,0.0,2.0,0.0,0.0
8366f5fffffffff,200.0,0.0,0.0,0.0,0.0,0.0,0.0
