cell_id,Mitrephanes phaeocercus,Mitrephanes phaeocercus phaeocercus/tenuirostris,Mitrephanes phaeocercus aurantiiventris,Mitrephanes phaeocercus berlepschi
8445201ffffffff,9.0,0.0,0.0,0.0
8445207ffffffff,2.0,0.0,0.0,0.0
844520dffffffff,12.0,0.0,0.0,0.0
8445241ffffffff,14.0,0.0,0.0,0.0
8445243ffffffff,91.0,0.0,0.0,0.0
8445245ffffffff,10.0,0.0,0.0,0.0
8445247ffffffff,4.0,0.0,0.0,0.0
8445253ffffffff,33.0,31.0,0.0,0.0
844525bffffffff,101.0,54.0,0.0,0.0
844525dffffffff,1.0,0.0,0.0,0.0
8445269ffffffff,2.0,0.0,0.0,0.0
844526dffffffff,41.0,0.0,0.0,0.0
8445309ffffffff,4.0,0.0,0.0,0.0
8445343ffffffff,10.0,0.0,0.0,0.0
844534dffffffff,1.0,0.0,0.0,0.0
8445351ffffffff,10.0,0.0,0.0,0.0
8448029ffffffff,3.0,0.0,0.0,0.0
844802bffffffff,4.0,0.0,0.0,0.0
8448035ffffffff,3.0,3.0,0.0,0.0
844806dffffffff,2.0,0.0,0.0,0.0
84480a5ffffffff,1.0,0.0,0.0,0.0
84480a9ffffffff,2.0,0.0,0.0,0.0
84480adffffffff,541.0,90.0,0.0,0.0
84480e5ffffffff,4.0,0.0,0.0,0.0
844811bffffffff,1.0,0.0,0.0,0.0
8448141ffffffff,13.0,0.0,0.0,0.0
8448143ffffffff,12.0,0.0,0.0,0.0
8448147ffffffff,9.0,0.0,0.0,0.0
844814bffffffff,39.0,0.0,0.0,0.0
844815bffffffff,21.0,0.0,0.0,0.0
844815dffffffff,2.0,0.0,0.0,0.0
8448189ffffffff,2.0,0.0,0.0,0.0
8448191ffffffff,1.0,0.0,0.0,0.0
8448193ffffffff,4.0,0.0,0.0,0.0
8448195ffffffff,4.0,0.0,0.0,0.0
8448199ffffffff,6.0,0.0,0.0,0.0
844819dffffffff,2.0,0.0,0.0,0.0
84481d5ffffffff,4.0,0.0,0.0,0.0
84481d7ffffffff,28.0,0.0,0.0,0.0
8448321ffffffff,4.0,0.0,0.0,0.0
8448323ffffffff,4.0,0.0,0.0,0.0
8448325ffffffff,10.0,0.0,0.0,0.0
8448329ffffffff,2.0,0.0,0.0,0.0
8448331ffffffff,6.0,0.0,0.0,0.0
8448337ffffffff,608.0,41.0,0.0,0.0
844833bffffffff,3.0,0.0,0.0,0.0
8448361ffffffff,884.0,81.0,0.0,0.0
8448365ffffffff,103.0,3.0,0.0,0.0
8448367ffffffff,33.0,0.0,0.0,0.0
8448369ffffffff,6.0,0.0,0.0,0.0
844836dffffffff,297.0,62.0,0.0,0.0
8448a07ffffffff,5.0,0.0,0.0,0.0
8448e01ffffffff,11.0,0.0,0.0,0.0
8448e07ffffffff,7.0,0.0,0.0,0.0
8448e49ffffffff,6.0,5.0,0.0,0.0
8448e4dffffffff,125.0,25.0,0.0,0.0
