cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
833c02fffffffff,3.0,0.0,0.0
833c15fffffffff,17.0,0.0,0.0
833c19fffffffff,48.0,0.0,0.0
833c1bfffffffff,33.0,0.0,0.0
833c1cfffffffff,23.0,0.0,0.0
833c32fffffffff,1.0,0.0,0.0
833c33fffffffff,12.0,0.0,0.0
833c36fffffffff,5.0,0.0,0.0
833c80fffffffff,49.0,0.0,0.0
833c82fffffffff,1.0,0.0,0.0
833c83fffffffff,4.0,0.0,0.0
833c84fffffffff,4.0,0.0,0.0
833c85fffffffff,3.0,0.0,0.0
833c89fffffffff,4.0,0.0,0.0
833c8cfffffffff,18.0,0.0,0.0
833c8dfffffffff,104.0,0.0,0.0
833c8efffffffff,73.0,0.0,0.0
833c90fffffffff,6.0,0.0,0.0
833c91fffffffff,2.0,0.0,0.0
833c92fffffffff,33.0,0.0,0.0
833c93fffffffff,35.0,0.0,0.0
833c94fffffffff,32.0,0.0,0.0
833c95fffffffff,17.0,0.0,0.0
833c96fffffffff,3.0,0.0,0.0
833c9cfffffffff,12.0,0.0,0.0
833c9dfffffffff,9.0,0.0,0.0
833c9efffffffff,16.0,0.0,0.0
833ca2fffffffff,17.0,0.0,0.0
833ca8fffffffff,36.0,0.0,0.0
833ca9fffffffff,102.0,0.0,0.0
833cabfffffffff,19.0,0.0,0.0
833cacfffffffff,3.0,0.0,0.0
833cb0fffffffff,29.0,0.0,0.0
833cb1fffffffff,464.0,0.0,0.0
833cb3fffffffff,22.0,0.0,0.0
833cb4fffffffff,15.0,0.0,0.0
833cb5fffffffff,15.0,0.0,0.0
833cb6fffffffff,27.0,0.0,0.0
833cc2fffffffff,6.0,0.0,0.0
833ce2fffffffff,3.0,0.0,0.0
833cf0fffffffff,21.0,0.0,0.0
833cf1fffffffff,86.0,0.0,0.0
833cf2fffffffff,1442.0,0.0,0.0
833cf4fffffffff,58.0,0.0,0.0
833cf6fffffffff,200.0,0.0,0.0
833d10fffffffff,12.0,0.0,0.0
833d12fffffffff,10.0,0.0,0.0
833d13fffffffff,47.0,0.0,0.0
833d14fffffffff,20.0,0.0,0.0
833d84fffffffff,3.0,0.0,0.0
833d85fffffffff,21.0,0.0,0.0
833d89fffffffff,6.0,0.0,0.0
833d8bfffffffff,7.0,0.0,0.0
833d8cfffffffff,11.0,0.0,0.0
833d8dfffffffff,29.0,0.0,0.0
833d90fffffffff,4.0,0.0,0.0
833d91fffffffff,7.0,0.0,0.0
833d92fffffffff,7.0,0.0,0.0
833d93fffffffff,2.0,0.0,0.0
833d98fffffffff,8.0,0.0,0.0
833d99fffffffff,9.0,0.0,0.0
833d9afffffffff,1.0,0.0,0.0
833d9bfffffffff,23.0,0.0,0.0
833d9dfffffffff,8.0,0.0,0.0
833d9efffffffff,3.0,0.0,0.0
833da1fffffffff,217.0,0.0,0.0
833da2fffffffff,2.0,0.0,0.0
833da3fffffffff,17.0,0.0,0.0
833da5fffffffff,8.0,0.0,0.0
833da8fffffffff,13.0,0.0,0.0
833da9fffffffff,3.0,0.0,0.0
833daafffffffff,3.0,0.0,0.0
833dacfffffffff,260.0,0.0,0.0
833dadfffffffff,73.0,0.0,0.0
833daefffffffff,7.0,0.0,0.0
833db2fffffffff,39.0,0.0,0.0
833db3fffffffff,5.0,0.0,0.0
