cell_id,Rhodopechys sanguineus,Rhodopechys sanguineus alienus,Rhodopechys sanguineus sanguineus
842083bffffffff,3.0,0.0,0.0
8420855ffffffff,2.0,0.0,0.0
8420e07ffffffff,25.0,0.0,12.0
8420f49ffffffff,2.0,0.0,0.0
842c001ffffffff,12.0,0.0,3.0
842c003ffffffff,1.0,0.0,0.0
842c005ffffffff,9.0,0.0,1.0
842c00dffffffff,1.0,0.0,0.0
842c015ffffffff,2.0,0.0,0.0
842c037ffffffff,2.0,0.0,0.0
842c03bffffffff,1.0,0.0,0.0
842c043ffffffff,6.0,0.0,4.0
842c047ffffffff,10.0,0.0,4.0
842c057ffffffff,2.0,0.0,0.0
842c063ffffffff,30.0,0.0,11.0
842c065ffffffff,3.0,0.0,1.0
842c067ffffffff,8.0,0.0,2.0
842c069ffffffff,1.0,0.0,1.0
842c083ffffffff,4.0,0.0,0.0
842c095ffffffff,3.0,0.0,0.0
842c0e5ffffffff,1.0,0.0,0.0
842c10bffffffff,1.0,0.0,0.0
842c119ffffffff,2.0,0.0,0.0
842c11dffffffff,1.0,0.0,0.0
842c157ffffffff,13.0,0.0,0.0
842c159ffffffff,3.0,0.0,1.0
842c15bffffffff,13.0,0.0,0.0
842c183ffffffff,2.0,0.0,0.0
842c189ffffffff,1.0,0.0,1.0
842c18dffffffff,2.0,0.0,0.0
842c191ffffffff,4.0,0.0,0.0
842c229ffffffff,7.0,0.0,2.0
842c263ffffffff,18.0,0.0,1.0
842c267ffffffff,1.0,0.0,0.0
842c2e7ffffffff,4.0,0.0,0.0
842c333ffffffff,3.0,0.0,0.0
842c335ffffffff,3.0,0.0,0.0
842c33bffffffff,10.0,0.0,1.0
842cac7ffffffff,2.0,0.0,2.0
842cae1ffffffff,1.0,0.0,1.0
842cc2dffffffff,2.0,0.0,0.0
842cc65ffffffff,1.0,0.0,0.0
842ccb1ffffffff,3.0,0.0,0.0
842ccb7ffffffff,3.0,0.0,1.0
842cd59ffffffff,3.0,0.0,0.0
842cd5bffffffff,25.0,0.0,3.0
842cd6bffffffff,1.0,0.0,0.0
842cf03ffffffff,1.0,0.0,0.0
842cf31ffffffff,22.0,0.0,22.0
842cf33ffffffff,12.0,0.0,2.0
842cf3bffffffff,73.0,0.0,13.0
842cf3dffffffff,1.0,0.0,0.0
842cf63ffffffff,1.0,0.0,0.0
842d101ffffffff,2.0,0.0,0.0
842d103ffffffff,1.0,0.0,0.0
842d10dffffffff,1.0,0.0,0.0
842d117ffffffff,1.0,0.0,0.0
842d12bffffffff,119.0,0.0,27.0
842d139ffffffff,1.0,0.0,0.0
842d13dffffffff,15.0,0.0,0.0
842d167ffffffff,2.0,0.0,0.0
842d16bffffffff,2.0,0.0,0.0
842d1a5ffffffff,2.0,0.0,0.0
842d1b7ffffffff,1.0,0.0,0.0
842d1e5ffffffff,1.0,0.0,0.0
842d849ffffffff,7.0,0.0,0.0
842da27ffffffff,4.0,0.0,0.0
842da83ffffffff,3.0,0.0,0.0
842da8dffffffff,3.0,0.0,0.0
842da91ffffffff,2.0,0.0,2.0
842da9bffffffff,14.0,0.0,0.0
842dab9ffffffff,1.0,0.0,0.0
842dad9ffffffff,4.0,0.0,0.0
842db11ffffffff,175.0,0.0,34.0
8439833ffffffff,288.0,160.0,0.0
843983bffffffff,8.0,1.0,0.0
8439883ffffffff,1.0,0.0,0.0
8439885ffffffff,2.0,2.0,0.0
8439887ffffffff,8.0,0.0,0.0
843988bffffffff,2.0,2.0,0.0
8439891ffffffff,2.0,0.0,0.0
84398e1ffffffff,2.0,1.0,0.0
84398e5ffffffff,1.0,0.0,0.0
84398edffffffff,7.0,7.0,0.0
843f68bffffffff,10.0,0.0,4.0
843f6dbffffffff,2.0,0.0,0.0
843f6e3ffffffff,6.0,0.0,0.0
843f6e5ffffffff,3.0,0.0,0.0
84430e7ffffffff,2.0,0.0,0.0
8443241ffffffff,3.0,0.0,0.0
844324dffffffff,3.0,0.0,3.0
8443261ffffffff,2.0,0.0,0.0
8443755ffffffff,1.0,0.0,0.0
