cell_id,Aethopyga pulcherrima,Aethopyga pulcherrima jefferyi,Aethopyga pulcherrima decorosa,Aethopyga pulcherrima pulcherrima
836844fffffffff,4.0,0.0,4.0,0.0
836845fffffffff,1.0,0.0,0.0,1.0
836863fffffffff,1.0,0.0,0.0,1.0
83686efffffffff,26.0,0.0,0.0,26.0
83694cfffffffff,1.0,1.0,0.0,0.0
