cell_id,Troglodytes musculus,Troglodytes musculus [intermedius Group],Troglodytes musculus [audax Group],Troglodytes musculus carabayae,Troglodytes musculus [musculus Group]
83450efffffffff,1.0,0.0,0.0,0.0,0.0
834520fffffffff,6.0,0.0,0.0,0.0,0.0
834521fffffffff,2.0,0.0,0.0,0.0,0.0
834523fffffffff,7.0,0.0,0.0,0.0,0.0
834526fffffffff,3.0,0.0,0.0,0.0,0.0
83452afffffffff,13.0,0.0,0.0,0.0,0.0
83452cfffffffff,4.0,0.0,0.0,0.0,0.0
83452dfffffffff,2.0,0.0,0.0,0.0,0.0
83452efffffffff,4.0,0.0,0.0,0.0,0.0
834996fffffffff,4.0,0.0,0.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0,0.0,0.0
835f29fffffffff,2.0,0.0,0.0,0.0,0.0
835f42fffffffff,5.0,0.0,0.0,0.0,0.0
835f58fffffffff,2.0,0.0,0.0,0.0,0.0
835f5bfffffffff,10.0,0.0,0.0,0.0,0.0
836608fffffffff,5.0,0.0,0.0,0.0,0.0
83660bfffffffff,2.0,0.0,0.0,0.0,0.0
836610fffffffff,2.0,0.0,0.0,0.0,0.0
836616fffffffff,1.0,0.0,0.0,0.0,0.0
83661bfffffffff,3.0,0.0,0.0,0.0,0.0
836629fffffffff,7.0,0.0,0.0,0.0,0.0
83662bfffffffff,3.0,0.0,0.0,0.0,0.0
8366b0fffffffff,16.0,0.0,0.0,0.0,0.0
8366b1fffffffff,1.0,0.0,0.0,0.0,0.0
8366b4fffffffff,65.0,0.0,0.0,0.0,0.0
8366b5fffffffff,14.0,0.0,0.0,0.0,0.0
8366d3fffffffff,4.0,0.0,0.0,0.0,0.0
8366e0fffffffff,4.0,0.0,0.0,0.0,0.0
8366e4fffffffff,1.0,0.0,0.0,0.0,0.0
8366e6fffffffff,2.0,0.0,0.0,0.0,0.0
8366f0fffffffff,4.0,0.0,0.0,0.0,0.0
8366f1fffffffff,19.0,0.0,0.0,0.0,0.0
836741fffffffff,35.0,0.0,0.0,0.0,0.0
836742fffffffff,2.0,0.0,0.0,0.0,0.0
836743fffffffff,3.0,0.0,0.0,0.0,0.0
83674cfffffffff,1.0,0.0,0.0,0.0,0.0
83674efffffffff,7.0,0.0,0.0,0.0,0.0
836759fffffffff,5.0,0.0,0.0,0.0,0.0
83675afffffffff,1.0,0.0,0.0,0.0,0.0
83675bfffffffff,3.0,0.0,0.0,0.0,0.0
83675cfffffffff,28.0,0.0,0.0,0.0,0.0
83679afffffffff,56.0,0.0,0.0,0.0,0.0
83679bfffffffff,3.0,0.0,0.0,0.0,0.0
836d05fffffffff,1.0,0.0,0.0,0.0,0.0
836d22fffffffff,4.0,0.0,0.0,0.0,0.0
836d23fffffffff,11.0,0.0,0.0,0.0,0.0
836d28fffffffff,1.0,0.0,0.0,0.0,0.0
836d29fffffffff,3.0,0.0,0.0,0.0,0.0
836d2afffffffff,3.0,0.0,0.0,0.0,0.0
836d2bfffffffff,4.0,0.0,0.0,0.0,0.0
836d2efffffffff,1.0,0.0,0.0,0.0,0.0
836d31fffffffff,3.0,0.0,0.0,0.0,0.0
836d35fffffffff,3.0,0.0,0.0,0.0,0.0
836d61fffffffff,1.0,0.0,0.0,0.0,0.0
836d64fffffffff,1.0,0.0,0.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0,0.0,0.0
836d69fffffffff,232.0,0.0,0.0,0.0,0.0
836d6cfffffffff,2.0,0.0,0.0,0.0,0.0
836d6dfffffffff,3.0,0.0,0.0,0.0,0.0
836d74fffffffff,22.0,0.0,0.0,0.0,0.0
838023fffffffff,1.0,0.0,0.0,0.0,0.0
838a45fffffffff,1.0,0.0,0.0,0.0,0.0
838a6dfffffffff,4.0,0.0,0.0,0.0,0.0
838b22fffffffff,1.0,0.0,0.0,0.0,0.0
838b2dfffffffff,2.0,0.0,0.0,0.0,0.0
838b69fffffffff,2.0,0.0,0.0,0.0,0.0
838b6cfffffffff,2.0,0.0,0.0,0.0,0.0
838e60fffffffff,1.0,0.0,0.0,0.0,0.0
838e62fffffffff,4.0,0.0,0.0,0.0,0.0
838e66fffffffff,8.0,0.0,0.0,0.0,0.0
838e75fffffffff,4.0,0.0,0.0,0.0,0.0
838f0bfffffffff,2.0,0.0,0.0,0.0,0.0
838f4afffffffff,18.0,0.0,0.0,0.0,0.0
838f4bfffffffff,5.0,0.0,0.0,0.0,0.0
838f54fffffffff,5.0,0.0,0.0,0.0,0.0
838f59fffffffff,29.0,0.0,0.0,0.0,0.0
83a802fffffffff,3.0,0.0,0.0,0.0,0.0
83a806fffffffff,49.0,0.0,0.0,0.0,0.0
83a810fffffffff,99.0,0.0,0.0,0.0,0.0
83a811fffffffff,16.0,0.0,0.0,0.0,0.0
83a812fffffffff,83.0,0.0,0.0,0.0,0.0
83a813fffffffff,12.0,0.0,0.0,0.0,0.0
83a815fffffffff,6.0,0.0,0.0,0.0,0.0
83a818fffffffff,3.0,0.0,0.0,0.0,0.0
83a819fffffffff,2.0,0.0,0.0,0.0,0.0
83a81afffffffff,20.0,0.0,0.0,0.0,0.0
83a81efffffffff,129.0,0.0,0.0,0.0,0.0
83a826fffffffff,6.0,0.0,0.0,0.0,0.0
83a831fffffffff,1.0,0.0,0.0,0.0,0.0
83a833fffffffff,11.0,0.0,0.0,0.0,0.0
83a835fffffffff,8.0,0.0,0.0,0.0,0.0
83a8a1fffffffff,2.0,0.0,0.0,0.0,0.0
83a8a5fffffffff,6.0,0.0,0.0,0.0,0.0
83a8acfffffffff,4.0,0.0,0.0,0.0,0.0
83a8c2fffffffff,1.0,0.0,0.0,0.0,0.0
83a8ecfffffffff,3.0,0.0,0.0,0.0,0.0
83a918fffffffff,4.0,0.0,0.0,0.0,0.0
83a919fffffffff,3.0,0.0,0.0,0.0,0.0
83a91bfffffffff,2.0,0.0,0.0,0.0,0.0
83a91dfffffffff,10.0,0.0,0.0,0.0,0.0
83a944fffffffff,15.0,0.0,0.0,0.0,0.0
83a94bfffffffff,2.0,0.0,0.0,0.0,0.0
83a953fffffffff,32.0,0.0,0.0,0.0,0.0
83a95efffffffff,5.0,0.0,0.0,0.0,0.0
83a960fffffffff,1.0,0.0,0.0,0.0,0.0
83a961fffffffff,116.0,0.0,0.0,0.0,0.0
83a962fffffffff,34.0,0.0,0.0,0.0,0.0
83a965fffffffff,40.0,0.0,0.0,0.0,0.0
83a968fffffffff,16.0,0.0,0.0,0.0,0.0
83a96bfffffffff,5.0,0.0,0.0,0.0,0.0
83a96cfffffffff,30.0,0.0,0.0,0.0,0.0
83a96dfffffffff,3.0,0.0,0.0,0.0,0.0
83a96efffffffff,3.0,0.0,0.0,0.0,0.0
83b200fffffffff,1.0,0.0,0.0,0.0,0.0
83b22afffffffff,1.0,0.0,0.0,0.0,0.0
83b243fffffffff,2.0,0.0,0.0,0.0,0.0
83b246fffffffff,2.0,0.0,0.0,0.0,0.0
83b248fffffffff,48.0,0.0,0.0,0.0,0.0
83b249fffffffff,164.0,0.0,0.0,0.0,0.0
83b24bfffffffff,21.0,0.0,0.0,0.0,0.0
83b24cfffffffff,4.0,0.0,0.0,0.0,0.0
83b24dfffffffff,1579.0,0.0,0.0,0.0,0.0
83b258fffffffff,12.0,0.0,0.0,0.0,0.0
83b259fffffffff,12.0,0.0,0.0,0.0,0.0
83b25dfffffffff,4.0,0.0,0.0,0.0,0.0
83b261fffffffff,10.0,0.0,0.0,0.0,0.0
83b262fffffffff,2.0,0.0,0.0,0.0,0.0
83b268fffffffff,35.0,0.0,0.0,0.0,0.0
83b269fffffffff,86.0,0.0,0.0,0.0,0.0
83b26afffffffff,6.0,0.0,0.0,0.0,0.0
83b26bfffffffff,148.0,0.0,0.0,0.0,0.0
83b26cfffffffff,2.0,0.0,0.0,0.0,0.0
83b26dfffffffff,81.0,0.0,0.0,0.0,0.0
83b26efffffffff,3.0,0.0,0.0,0.0,0.0
83b270fffffffff,3.0,0.0,0.0,0.0,0.0
83b271fffffffff,3.0,0.0,0.0,0.0,0.0
83b272fffffffff,2.0,0.0,0.0,0.0,0.0
83b274fffffffff,29.0,0.0,0.0,0.0,0.0
83b2c0fffffffff,1.0,0.0,0.0,0.0,0.0
83b2c3fffffffff,1.0,0.0,0.0,0.0,0.0
83b2c4fffffffff,3.0,0.0,0.0,0.0,0.0
83b2c5fffffffff,23.0,0.0,0.0,0.0,0.0
83b300fffffffff,57.0,0.0,0.0,0.0,0.0
83b304fffffffff,285.0,0.0,0.0,0.0,0.0
83b31dfffffffff,1.0,0.0,0.0,0.0,0.0
83b320fffffffff,1.0,0.0,0.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0,0.0,0.0
83b32cfffffffff,2.0,0.0,0.0,0.0,0.0
83b330fffffffff,1.0,0.0,0.0,0.0,0.0
83b335fffffffff,2.0,0.0,0.0,0.0,0.0
83b342fffffffff,17.0,0.0,0.0,0.0,0.0
83b343fffffffff,8.0,0.0,0.0,0.0,0.0
83b34cfffffffff,8.0,0.0,0.0,0.0,0.0
83b351fffffffff,24.0,0.0,0.0,0.0,0.0
83b35afffffffff,34.0,0.0,0.0,0.0,0.0
83b35cfffffffff,6.0,0.0,0.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0,0.0,0.0
83b373fffffffff,3.0,0.0,0.0,0.0,0.0
83c205fffffffff,9.0,0.0,0.0,0.0,0.0
83c21bfffffffff,2.0,0.0,0.0,0.0,0.0
83c221fffffffff,4.0,0.0,0.0,0.0,0.0
83c22afffffffff,32.0,0.0,0.0,0.0,0.0
83c22efffffffff,15.0,0.0,0.0,0.0,0.0
83c2c1fffffffff,3.0,0.0,0.0,0.0,0.0
