cell_id,Calendulauda erythrochlamys,Calendulauda erythrochlamys barlowi,Calendulauda erythrochlamys patae,Calendulauda erythrochlamys cavei,Calendulauda erythrochlamys erythrochlamys
84ac125ffffffff,4.0,0.0,0.0,0.0,3.0
84ac12dffffffff,199.0,0.0,0.0,0.0,179.0
84ac165ffffffff,10.0,0.0,0.0,0.0,9.0
84aca51ffffffff,2.0,0.0,0.0,0.0,1.0
84aca53ffffffff,2.0,0.0,0.0,0.0,2.0
84acac5ffffffff,1.0,0.0,0.0,0.0,1.0
84ad883ffffffff,9.0,0.0,0.0,0.0,8.0
84ad88bffffffff,2.0,0.0,0.0,0.0,2.0
84ad895ffffffff,81.0,0.0,0.0,0.0,70.0
84ad8b1ffffffff,3.0,0.0,0.0,0.0,2.0
84ad8b7ffffffff,4.0,0.0,0.0,0.0,4.0
84ad8b9ffffffff,45.0,0.0,0.0,0.0,32.0
84ada89ffffffff,7.0,0.0,0.0,0.0,0.0
84ada8dffffffff,2.0,0.0,0.0,0.0,0.0
84adac3ffffffff,10.0,0.0,0.0,0.0,0.0
84adacbffffffff,38.0,0.0,0.0,0.0,0.0
84adacdffffffff,1.0,0.0,0.0,0.0,0.0
84adad5ffffffff,1.0,0.0,0.0,0.0,0.0
