cell_id,Acrochordopus zeledoni,Acrochordopus zeledoni zeledoni,Acrochordopus zeledoni [leucogonys Group]
84662b1ffffffff,1.0,0.0,0.0
8466a2dffffffff,4.0,1.0,0.0
8466b41ffffffff,38.0,1.0,0.0
8466b43ffffffff,4.0,0.0,0.0
8466b45ffffffff,138.0,2.0,0.0
8466b49ffffffff,59.0,1.0,0.0
8466b4dffffffff,387.0,12.0,0.0
8466b51ffffffff,209.0,39.0,0.0
8466b53ffffffff,2.0,0.0,0.0
8466b55ffffffff,128.0,2.0,0.0
8466b5bffffffff,7.0,0.0,0.0
8466b5dffffffff,11.0,0.0,0.0
8466da7ffffffff,2.0,0.0,2.0
8466dadffffffff,7.0,0.0,3.0
8466de1ffffffff,68.0,0.0,35.0
8466de9ffffffff,2.0,0.0,0.0
8466debffffffff,11.0,0.0,5.0
8466dedffffffff,2.0,0.0,0.0
8466e43ffffffff,1.0,0.0,0.0
8467413ffffffff,56.0,0.0,0.0
8467417ffffffff,6.0,0.0,0.0
8467425ffffffff,2.0,0.0,0.0
8467437ffffffff,6.0,0.0,0.0
846743bffffffff,2.0,0.0,0.0
84674c5ffffffff,32.0,0.0,0.0
84674e9ffffffff,35.0,0.0,0.0
84674edffffffff,14.0,0.0,1.0
8467519ffffffff,1.0,0.0,0.0
84679a7ffffffff,2.0,0.0,0.0
846d691ffffffff,17.0,0.0,0.0
846d69bffffffff,121.0,5.0,0.0
846d69dffffffff,21.0,0.0,0.0
848b69bffffffff,1.0,0.0,0.0
848b6cdffffffff,2.0,0.0,0.0
848e643ffffffff,2.0,0.0,0.0
848e649ffffffff,4.0,0.0,0.0
848f401ffffffff,8.0,0.0,7.0
848f439ffffffff,8.0,0.0,2.0
848f463ffffffff,3.0,0.0,3.0
848f729ffffffff,7.0,0.0,1.0
848f72bffffffff,3.0,0.0,2.0
848f733ffffffff,16.0,0.0,0.0
848f745ffffffff,1.0,0.0,0.0
848f763ffffffff,5.0,0.0,0.0
