cell_id,Ptilinopus regina,Ptilinopus regina xanthogaster/roseipileum,Ptilinopus regina [regina Group]
827297fffffffff,26.0,0.0,0.0
829407fffffffff,40.0,0.0,0.0
82941ffffffffff,6.0,0.0,0.0
829427fffffffff,98.0,0.0,0.0
82942ffffffffff,86.0,0.0,0.0
829437fffffffff,16.0,0.0,0.0
829447fffffffff,1.0,0.0,0.0
829457fffffffff,1046.0,0.0,0.0
82945ffffffffff,56.0,0.0,0.0
829467fffffffff,118.0,0.0,0.0
8294affffffffff,42.0,0.0,0.0
829557fffffffff,3.0,0.0,0.0
82955ffffffffff,33.0,0.0,0.0
829c07fffffffff,123.0,0.0,0.0
829c1ffffffffff,272.0,0.0,0.0
829c27fffffffff,645.0,0.0,0.0
829c5ffffffffff,28.0,0.0,0.0
829ce7fffffffff,9.0,0.0,0.0
829ceffffffffff,81.0,0.0,0.0
829cf7fffffffff,28.0,0.0,0.0
829d07fffffffff,41.0,0.0,0.0
829d0ffffffffff,158.0,0.0,0.0
829d27fffffffff,121.0,0.0,0.0
82be0ffffffffff,9.0,0.0,0.0
82be1ffffffffff,78.0,0.0,0.0
82be8ffffffffff,1638.0,0.0,0.0
82beaffffffffff,724.0,0.0,0.0
82bef7fffffffff,44.0,0.0,0.0
