cell_id,Chlamydotis undulata,Chlamydotis undulata fuertaventurae,Chlamydotis undulata undulata
82346ffffffffff,11.0,9.0,0.0
823817fffffffff,8.0,0.0,0.0
823837fffffffff,1.0,0.0,0.0
82398ffffffffff,4.0,0.0,2.0
