cell_id,Hellmayrea gularis,Hellmayrea gularis gularis,Hellmayrea gularis brunneidorsalis,Hellmayrea gularis cinereiventris,Hellmayrea gularis rufiventris
8466181ffffffff,4.0,0.0,0.0,0.0,0.0
84661bbffffffff,19.0,0.0,0.0,0.0,0.0
8466c61ffffffff,4.0,0.0,0.0,0.0,0.0
8466c69ffffffff,2.0,0.0,0.0,0.0,0.0
8466d31ffffffff,11.0,0.0,0.0,0.0,0.0
8466e2dffffffff,2.0,0.0,0.0,0.0,0.0
8466e55ffffffff,1.0,0.0,0.0,0.0,0.0
8466e65ffffffff,5.0,0.0,0.0,0.0,0.0
8466e6dffffffff,23.0,0.0,0.0,0.0,0.0
8466f19ffffffff,8.0,0.0,0.0,0.0,0.0
848f0dbffffffff,1.0,0.0,0.0,0.0,0.0
848f4a5ffffffff,4.0,0.0,0.0,0.0,4.0
848f547ffffffff,2.0,0.0,0.0,0.0,0.0
848f54dffffffff,10.0,0.0,0.0,0.0,0.0
