cell_id,Harpactes oreskios,Harpactes oreskios [dulitensis Group],Harpactes oreskios oreskios
834061fffffffff,1.0,0.0,0.0
834065fffffffff,14.0,0.0,0.0
83416bfffffffff,3.0,0.0,0.0
83416efffffffff,1.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0
836416fffffffff,863.0,169.0,0.0
836426fffffffff,1.0,0.0,0.0
836431fffffffff,12.0,0.0,0.0
836432fffffffff,7.0,7.0,0.0
836433fffffffff,9.0,2.0,0.0
836434fffffffff,69.0,22.0,0.0
836435fffffffff,10.0,5.0,0.0
836480fffffffff,8.0,0.0,0.0
836482fffffffff,58.0,15.0,0.0
836483fffffffff,13.0,0.0,0.0
836491fffffffff,4.0,2.0,0.0
836495fffffffff,9.0,0.0,0.0
83649cfffffffff,3.0,2.0,0.0
8364a0fffffffff,4.0,0.0,0.0
8364a1fffffffff,22.0,3.0,0.0
8364a3fffffffff,37.0,2.0,0.0
8364b0fffffffff,1.0,0.0,0.0
8364b1fffffffff,1.0,0.0,0.0
8364b2fffffffff,11.0,0.0,0.0
8364b4fffffffff,2.0,0.0,0.0
8364b5fffffffff,40.0,9.0,0.0
836500fffffffff,62.0,0.0,0.0
836502fffffffff,1.0,0.0,0.0
836503fffffffff,9.0,0.0,0.0
836505fffffffff,78.0,0.0,0.0
836518fffffffff,46.0,3.0,0.0
836519fffffffff,1.0,0.0,0.0
83651bfffffffff,36.0,9.0,0.0
83651cfffffffff,99.0,33.0,0.0
83651dfffffffff,2.0,0.0,0.0
83652dfffffffff,2.0,0.0,0.0
836554fffffffff,2.0,0.0,0.0
836556fffffffff,2.0,0.0,0.0
836580fffffffff,29.0,0.0,0.0
836581fffffffff,8.0,0.0,0.0
836585fffffffff,12.0,0.0,0.0
836586fffffffff,1.0,0.0,0.0
836589fffffffff,8.0,0.0,0.0
83658afffffffff,7.0,0.0,0.0
83658efffffffff,6.0,0.0,0.0
836590fffffffff,1.0,0.0,0.0
836591fffffffff,114.0,0.0,0.0
836594fffffffff,2.0,0.0,0.0
836596fffffffff,10.0,0.0,0.0
836598fffffffff,2.0,2.0,0.0
836599fffffffff,529.0,74.0,0.0
83659cfffffffff,14.0,0.0,0.0
83659efffffffff,7.0,0.0,0.0
8365b0fffffffff,261.0,17.0,0.0
8365b2fffffffff,15.0,0.0,0.0
8365b3fffffffff,99.0,0.0,0.0
8365b6fffffffff,4.0,0.0,0.0
836810fffffffff,1.0,0.0,0.0
836811fffffffff,17.0,0.0,0.0
836812fffffffff,6.0,0.0,0.0
836818fffffffff,4.0,0.0,0.0
83681afffffffff,11.0,0.0,0.0
83681efffffffff,11.0,0.0,0.0
83689afffffffff,4.0,0.0,0.0
8368acfffffffff,19.0,0.0,0.0
836934fffffffff,1.0,1.0,0.0
838c10fffffffff,40.0,0.0,2.0
838c13fffffffff,3.0,0.0,0.0
838c14fffffffff,1.0,0.0,0.0
838c1afffffffff,8.0,0.0,0.0
838cd5fffffffff,4.0,0.0,0.0
838d85fffffffff,4.0,0.0,0.0
838d88fffffffff,2.0,0.0,0.0
838d89fffffffff,1.0,0.0,0.0
838da2fffffffff,30.0,0.0,1.0
