cell_id,Pachysylvia decurtata,Pachysylvia decurtata decurtata/darienensis,Pachysylvia decurtata minor
824507fffffffff,5.0,0.0,0.0
82450ffffffffff,3.0,0.0,0.0
824527fffffffff,10.0,4.0,0.0
82452ffffffffff,17.0,3.0,0.0
824577fffffffff,1.0,0.0,0.0
824997fffffffff,15.0,2.0,0.0
82499ffffffffff,2.0,0.0,0.0
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,24.0,0.0,0.0
8266b7fffffffff,15.0,7.0,0.0
8266d7fffffffff,7.0,0.0,5.0
8266f7fffffffff,16.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0
826d27fffffffff,9.0,6.0,0.0
826d2ffffffffff,12.0,8.0,0.0
826d37fffffffff,20.0,8.0,0.0
826d67fffffffff,24.0,0.0,0.0
826d6ffffffffff,166.0,132.0,0.0
828f0ffffffffff,5.0,2.0,0.0
828f2ffffffffff,4.0,0.0,4.0
