cell_id,Cacicus uropygialis,Cacicus uropygialis microrhynchus,Cacicus uropygialis pacificus,Cacicus uropygialis uropygialis
836608fffffffff,7.0,0.0,0.0,0.0
836613fffffffff,1.0,0.0,1.0,0.0
836616fffffffff,5.0,5.0,0.0,0.0
83661bfffffffff,1.0,0.0,0.0,1.0
83661efffffffff,2.0,0.0,2.0,0.0
836629fffffffff,3.0,0.0,0.0,0.0
8366a0fffffffff,14.0,0.0,0.0,0.0
8366a5fffffffff,1.0,1.0,0.0,0.0
8366b0fffffffff,4.0,2.0,0.0,0.0
8366b5fffffffff,7.0,2.0,0.0,0.0
8366c6fffffffff,1.0,0.0,0.0,1.0
8366d0fffffffff,5.0,0.0,3.0,0.0
8366d3fffffffff,11.0,0.0,3.0,0.0
8366defffffffff,14.0,0.0,0.0,8.0
8366e0fffffffff,2.0,0.0,0.0,0.0
8366f0fffffffff,7.0,0.0,0.0,0.0
83679afffffffff,29.0,10.0,0.0,0.0
836d68fffffffff,3.0,0.0,0.0,0.0
836d69fffffffff,6.0,3.0,0.0,0.0
838b69fffffffff,5.0,0.0,0.0,0.0
838b6dfffffffff,2.0,0.0,0.0,0.0
838f0dfffffffff,1.0,0.0,1.0,0.0
838f46fffffffff,1.0,0.0,0.0,1.0
838f72fffffffff,1.0,0.0,0.0,0.0
