cell_id,Dacnis lineata,Dacnis lineata egregia/aequatorialis,Dacnis lineata lineata
835f03fffffffff,62.0,0.0,0.0
835f10fffffffff,2.0,0.0,0.0
835f12fffffffff,2.0,0.0,0.0
835f13fffffffff,1.0,0.0,0.0
835f16fffffffff,1.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0
835f29fffffffff,1.0,0.0,0.0
835f2bfffffffff,186.0,0.0,0.0
835f36fffffffff,1.0,0.0,0.0
835f63fffffffff,1.0,0.0,0.0
835f68fffffffff,7.0,0.0,0.0
835f71fffffffff,9.0,0.0,0.0
835f75fffffffff,20.0,0.0,0.0
836601fffffffff,2.0,0.0,0.0
836608fffffffff,998.0,116.0,0.0
83660afffffffff,174.0,38.0,0.0
83660bfffffffff,7.0,1.0,0.0
83660cfffffffff,43.0,12.0,0.0
83660dfffffffff,5.0,0.0,0.0
83660efffffffff,14.0,2.0,0.0
836611fffffffff,1.0,0.0,0.0
836619fffffffff,1463.0,396.0,0.0
83661bfffffffff,2.0,0.0,0.0
83661cfffffffff,47.0,0.0,0.0
83661dfffffffff,238.0,73.0,0.0
83662bfffffffff,1.0,0.0,0.0
836641fffffffff,3.0,0.0,0.0
83665afffffffff,98.0,0.0,2.0
83665bfffffffff,51.0,0.0,0.0
836663fffffffff,2.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
836676fffffffff,2.0,0.0,0.0
8366c0fffffffff,50.0,0.0,0.0
8366c2fffffffff,269.0,0.0,0.0
8366c3fffffffff,6.0,0.0,0.0
8366c4fffffffff,144.0,0.0,0.0
8366c5fffffffff,5.0,0.0,0.0
8366c6fffffffff,18.0,2.0,0.0
8366cefffffffff,4.0,0.0,0.0
8366d0fffffffff,219.0,93.0,0.0
8366d1fffffffff,405.0,0.0,3.0
8366d2fffffffff,158.0,94.0,0.0
8366d3fffffffff,1906.0,994.0,0.0
8366d8fffffffff,42.0,0.0,9.0
8366dafffffffff,183.0,0.0,36.0
8366dbfffffffff,7.0,0.0,1.0
8366dcfffffffff,563.0,0.0,66.0
8366ddfffffffff,62.0,0.0,5.0
8366defffffffff,753.0,0.0,136.0
8366e0fffffffff,40.0,5.0,0.0
8366e2fffffffff,101.0,15.0,0.0
8366e3fffffffff,36.0,0.0,0.0
8366e4fffffffff,74.0,1.0,0.0
8366e5fffffffff,100.0,0.0,0.0
8366e6fffffffff,675.0,6.0,0.0
8366e8fffffffff,6.0,0.0,0.0
