cell_id,Amazona farinosa,Amazona farinosa guatemalae/virenticeps,Amazona farinosa farinosa
834505fffffffff,8.0,0.0,0.0
834520fffffffff,252.0,2.0,0.0
834521fffffffff,155.0,0.0,0.0
834523fffffffff,321.0,10.0,0.0
834528fffffffff,570.0,3.0,0.0
83452afffffffff,372.0,3.0,0.0
83452bfffffffff,2.0,0.0,0.0
83452cfffffffff,502.0,52.0,0.0
83452dfffffffff,297.0,45.0,0.0
83452efffffffff,3719.0,159.0,0.0
834530fffffffff,13.0,0.0,0.0
834532fffffffff,77.0,0.0,0.0
834534fffffffff,13.0,0.0,0.0
834536fffffffff,94.0,0.0,0.0
835f01fffffffff,10.0,0.0,0.0
835f02fffffffff,3.0,0.0,0.0
835f03fffffffff,120.0,0.0,6.0
835f08fffffffff,8.0,0.0,0.0
835f09fffffffff,98.0,0.0,0.0
835f0bfffffffff,2.0,0.0,0.0
835f0dfffffffff,5.0,0.0,0.0
835f10fffffffff,4.0,0.0,0.0
835f11fffffffff,3.0,0.0,0.0
835f12fffffffff,6.0,0.0,0.0
835f13fffffffff,3.0,0.0,0.0
835f16fffffffff,6.0,0.0,0.0
835f1cfffffffff,6.0,0.0,0.0
835f28fffffffff,2.0,0.0,0.0
835f29fffffffff,12.0,0.0,0.0
835f2bfffffffff,854.0,0.0,0.0
835f2dfffffffff,4.0,0.0,0.0
835f40fffffffff,30.0,0.0,0.0
835f41fffffffff,2.0,0.0,0.0
835f42fffffffff,37.0,0.0,0.0
835f44fffffffff,1.0,0.0,0.0
835f46fffffffff,10.0,0.0,0.0
835f50fffffffff,2.0,0.0,0.0
835f54fffffffff,67.0,0.0,0.0
835f68fffffffff,44.0,0.0,0.0
835f71fffffffff,57.0,0.0,0.0
835f75fffffffff,16.0,0.0,2.0
836600fffffffff,2.0,0.0,0.0
836602fffffffff,56.0,0.0,0.0
836603fffffffff,1.0,0.0,0.0
836604fffffffff,55.0,0.0,0.0
836605fffffffff,2.0,0.0,0.0
836606fffffffff,18.0,0.0,0.0
836608fffffffff,7.0,0.0,0.0
836609fffffffff,2.0,0.0,0.0
83660afffffffff,259.0,0.0,4.0
83660bfffffffff,3.0,0.0,0.0
83660dfffffffff,13.0,0.0,0.0
83660efffffffff,53.0,0.0,2.0
836610fffffffff,1267.0,0.0,0.0
836611fffffffff,94.0,0.0,0.0
836612fffffffff,83.0,0.0,0.0
836613fffffffff,957.0,0.0,0.0
836616fffffffff,642.0,0.0,0.0
836618fffffffff,9.0,0.0,0.0
836619fffffffff,77.0,0.0,0.0
83661afffffffff,285.0,0.0,0.0
83661bfffffffff,7.0,0.0,0.0
83661cfffffffff,17.0,0.0,0.0
83661dfffffffff,10.0,0.0,0.0
83661efffffffff,352.0,0.0,2.0
836620fffffffff,22.0,0.0,0.0
836621fffffffff,28.0,0.0,0.0
836622fffffffff,2.0,0.0,0.0
836628fffffffff,2.0,0.0,0.0
836629fffffffff,24.0,0.0,0.0
83662bfffffffff,9.0,0.0,0.0
83662dfffffffff,14.0,0.0,0.0
83662efffffffff,12.0,0.0,0.0
836631fffffffff,5.0,0.0,0.0
836640fffffffff,1.0,0.0,0.0
836641fffffffff,986.0,0.0,67.0
836643fffffffff,3.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0
836648fffffffff,14.0,0.0,0.0
83664efffffffff,10.0,0.0,0.0
836652fffffffff,41.0,0.0,0.0
836654fffffffff,12.0,0.0,0.0
836656fffffffff,20.0,0.0,0.0
83665afffffffff,629.0,0.0,45.0
83665bfffffffff,79.0,0.0,5.0
83665efffffffff,60.0,0.0,3.0
836662fffffffff,2.0,0.0,0.0
836663fffffffff,32.0,0.0,0.0
83666afffffffff,6.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0
83666efffffffff,27.0,0.0,3.0
836670fffffffff,9.0,0.0,0.0
836672fffffffff,4.0,0.0,0.0
836673fffffffff,1.0,0.0,0.0
836676fffffffff,10.0,0.0,0.0
836684fffffffff,19.0,0.0,0.0
8366a0fffffffff,81.0,0.0,0.0
8366a2fffffffff,8.0,0.0,0.0
8366a3fffffffff,34.0,0.0,0.0
8366a5fffffffff,4204.0,0.0,160.0
8366a6fffffffff,603.0,0.0,0.0
8366a9fffffffff,2.0,0.0,0.0
8366b0fffffffff,1778.0,0.0,0.0
8366b1fffffffff,10.0,0.0,0.0
8366b4fffffffff,591.0,0.0,0.0
8366b5fffffffff,565.0,0.0,0.0
8366b6fffffffff,40.0,0.0,0.0
8366c0fffffffff,22.0,0.0,0.0
8366c1fffffffff,4.0,0.0,0.0
8366c2fffffffff,175.0,0.0,0.0
8366c3fffffffff,23.0,0.0,1.0
8366c5fffffffff,127.0,0.0,0.0
8366cdfffffffff,13.0,0.0,2.0
8366cefffffffff,137.0,0.0,0.0
