cell_id,Aplopelia larvata,Aplopelia larvata inornata,Aplopelia larvata principalis,Aplopelia larvata simplex,Aplopelia larvata larvata/bronzina
826ac7fffffffff,3.0,0.0,0.0,0.0,3.0
827a47fffffffff,6.0,0.0,0.0,0.0,0.0
827a4ffffffffff,2.0,0.0,0.0,0.0,0.0
827a5ffffffffff,3.0,0.0,0.0,0.0,0.0
827a67fffffffff,8.0,0.0,0.0,0.0,0.0
827a6ffffffffff,6.0,0.0,0.0,0.0,0.0
8282c7fffffffff,3.0,0.0,3.0,0.0,0.0
8282e7fffffffff,7.0,0.0,0.0,2.0,0.0
829697fffffffff,2.0,0.0,0.0,0.0,0.0
82972ffffffffff,17.0,0.0,0.0,0.0,0.0
82ad37fffffffff,5.0,0.0,0.0,0.0,2.0
82bc47fffffffff,1.0,0.0,0.0,0.0,1.0
82bcf7fffffffff,6.0,0.0,0.0,0.0,0.0
