cell_id,Thamnistes anabatinus,Thamnistes anabatinus [anabatinus Group],Thamnistes anabatinus aequatorialis/gularis
834520fffffffff,37.0,0.0,0.0
834522fffffffff,89.0,0.0,0.0
834523fffffffff,16.0,0.0,0.0
834525fffffffff,8.0,0.0,0.0
83452dfffffffff,3.0,0.0,0.0
83452efffffffff,66.0,0.0,0.0
834530fffffffff,4.0,0.0,0.0
834531fffffffff,9.0,0.0,0.0
834532fffffffff,15.0,0.0,0.0
834536fffffffff,12.0,0.0,0.0
836610fffffffff,3.0,0.0,0.0
836611fffffffff,1.0,0.0,0.0
836612fffffffff,16.0,0.0,0.0
836613fffffffff,100.0,21.0,0.0
836616fffffffff,68.0,8.0,0.0
83661afffffffff,7.0,0.0,0.0
83661bfffffffff,5.0,0.0,0.0
83661cfffffffff,3.0,0.0,0.0
8366a0fffffffff,279.0,15.0,0.0
8366a5fffffffff,300.0,23.0,0.0
8366b0fffffffff,415.0,0.0,0.0
8366b1fffffffff,7.0,0.0,0.0
8366b4fffffffff,1344.0,0.0,0.0
8366b5fffffffff,241.0,6.0,0.0
8366b6fffffffff,1.0,0.0,0.0
8366c2fffffffff,42.0,0.0,7.0
8366c6fffffffff,1.0,0.0,0.0
8366d0fffffffff,35.0,4.0,0.0
8366d1fffffffff,85.0,0.0,2.0
8366d2fffffffff,21.0,2.0,0.0
8366d3fffffffff,849.0,127.0,0.0
8366dafffffffff,11.0,0.0,1.0
8366dcfffffffff,3.0,0.0,0.0
8366defffffffff,301.0,0.0,37.0
8366f0fffffffff,161.0,7.0,0.0
8366f1fffffffff,39.0,0.0,0.0
836791fffffffff,1.0,0.0,0.0
836794fffffffff,3.0,0.0,0.0
836796fffffffff,15.0,0.0,0.0
83679afffffffff,186.0,0.0,0.0
83679bfffffffff,4.0,0.0,0.0
836d21fffffffff,1.0,0.0,0.0
836d2cfffffffff,38.0,14.0,0.0
836d68fffffffff,321.0,0.0,0.0
836d69fffffffff,3621.0,0.0,0.0
836d6dfffffffff,4.0,0.0,0.0
838f0dfffffffff,185.0,28.0,0.0
838f29fffffffff,5.0,0.0,0.0
838f2bfffffffff,5.0,0.0,0.0
838f2cfffffffff,9.0,0.0,0.0
838f72fffffffff,42.0,0.0,5.0
838f74fffffffff,3.0,0.0,1.0
838f76fffffffff,1.0,0.0,0.0
