cell_id,Rhipidura versicolor,Rhipidura versicolor uraniae,Rhipidura versicolor saipanensis/mariae,Rhipidura versicolor versicolor
824f4ffffffffff,544.0,0.0,7.0,0.0
827357fffffffff,14.0,0.0,0.0,2.0
