cell_id,Thryomanes bewickii,Thryomanes bewickii bewickii,Thryomanes bewickii [mexicanus Group],Thryomanes bewickii [spilurus Group]
8312d1fffffffff,25.0,0.0,0.0,0.0
8312d8fffffffff,18.0,0.0,0.0,0.0
8312d9fffffffff,1.0,0.0,0.0,0.0
8312dbfffffffff,4.0,0.0,0.0,0.0
8312defffffffff,13.0,0.0,0.0,0.0
832603fffffffff,2.0,0.0,0.0,0.0
83260bfffffffff,1.0,0.0,0.0,0.0
83260dfffffffff,2.0,0.0,0.0,0.0
83262cfffffffff,2.0,0.0,0.0,0.0
832640fffffffff,1.0,0.0,0.0,0.0
832642fffffffff,49.0,33.0,0.0,0.0
832643fffffffff,1.0,0.0,0.0,0.0
832646fffffffff,9.0,0.0,0.0,0.0
832648fffffffff,1.0,0.0,0.0,0.0
83264afffffffff,3.0,0.0,0.0,0.0
83264dfffffffff,18.0,4.0,0.0,0.0
832650fffffffff,3.0,2.0,0.0,0.0
832651fffffffff,5.0,0.0,0.0,0.0
832652fffffffff,4.0,0.0,0.0,0.0
832653fffffffff,9.0,0.0,0.0,0.0
832655fffffffff,47.0,2.0,0.0,0.0
83265afffffffff,18.0,0.0,0.0,0.0
83265bfffffffff,12.0,0.0,0.0,0.0
83265cfffffffff,1.0,0.0,0.0,0.0
83265dfffffffff,1.0,0.0,0.0,0.0
83265efffffffff,5.0,0.0,0.0,0.0
832661fffffffff,1.0,0.0,0.0,0.0
832669fffffffff,1.0,0.0,0.0,0.0
83266bfffffffff,19.0,0.0,0.0,0.0
83266dfffffffff,1.0,0.0,0.0,0.0
832670fffffffff,8.0,0.0,0.0,0.0
832671fffffffff,28.0,8.0,0.0,0.0
832673fffffffff,13.0,0.0,0.0,0.0
832681fffffffff,7.0,0.0,0.0,0.0
832682fffffffff,8.0,0.0,0.0,0.0
832683fffffffff,3.0,0.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0,0.0
832686fffffffff,6.0,0.0,0.0,0.0
832688fffffffff,82.0,0.0,0.0,0.0
832689fffffffff,84.0,0.0,0.0,0.0
83268afffffffff,1.0,0.0,0.0,0.0
83268bfffffffff,10.0,0.0,0.0,0.0
83268cfffffffff,1.0,0.0,0.0,0.0
83268dfffffffff,3.0,0.0,0.0,0.0
83268efffffffff,3.0,0.0,0.0,0.0
832690fffffffff,7.0,0.0,0.0,0.0
832692fffffffff,12.0,0.0,0.0,0.0
832694fffffffff,5.0,0.0,0.0,0.0
832695fffffffff,2.0,0.0,0.0,0.0
832696fffffffff,142.0,0.0,0.0,0.0
832698fffffffff,6.0,0.0,0.0,0.0
832699fffffffff,4.0,0.0,0.0,0.0
83269afffffffff,7.0,0.0,3.0,0.0
83269bfffffffff,2.0,0.0,0.0,0.0
83269cfffffffff,4.0,0.0,0.0,0.0
83269dfffffffff,8.0,0.0,0.0,0.0
83269efffffffff,4.0,0.0,2.0,0.0
8326aafffffffff,2.0,0.0,0.0,0.0
8326b3fffffffff,5.0,0.0,0.0,0.0
8326c4fffffffff,42.0,0.0,0.0,0.0
8326c8fffffffff,8.0,0.0,0.0,0.0
8326cafffffffff,2.0,0.0,0.0,0.0
8326cbfffffffff,16.0,0.0,0.0,0.0
8326d4fffffffff,15.0,0.0,0.0,0.0
8326d5fffffffff,4.0,0.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0,0.0
8326dcfffffffff,2.0,0.0,2.0,0.0
8326ddfffffffff,3.0,0.0,0.0,0.0
8326defffffffff,1.0,0.0,1.0,0.0
8326e0fffffffff,14.0,0.0,0.0,0.0
8326e2fffffffff,14.0,0.0,0.0,0.0
