cell_id,Grallaria guatimalensis,Grallaria guatimalensis [guatimalensis Group],Grallaria guatimalensis princeps/chocoensis,Grallaria guatimalensis aripoensis,Grallaria guatimalensis roraimae,Grallaria guatimalensis regulus/carmelitae,Grallaria guatimalensis sororia
824527fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0
824537fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
825f4ffffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,1717.0,0.0,0.0,0.0,0.0,0.0,0.0
826627fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8266a7fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,386.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,71.0,0.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,829.0,0.0,0.0,0.0,0.0,23.0,0.0
8266dffffffffff,164.0,0.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,568.0,0.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,1098.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
826797fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82679ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
826d07fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
826d27fffffffff,33.0,0.0,0.0,0.0,0.0,0.0,0.0
826d2ffffffffff,486.0,0.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,133.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,121.0,0.0,0.0,0.0,0.0,0.0,0.0
826d77fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
828b2ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0
828b6ffffffffff,119.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
828f0ffffffffff,84.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,143.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
828f5ffffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,31.0,0.0,0.0,0.0,0.0,0.0,0.0
82b327fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
