cell_id,Nystalus maculatus,Nystalus maculatus maculatus,Nystalus maculatus striatipectus
8480007ffffffff,7.0,0.0,0.0
8480021ffffffff,5.0,1.0,0.0
8480025ffffffff,2.0,2.0,0.0
848003dffffffff,1.0,0.0,0.0
8480051ffffffff,2.0,2.0,0.0
8480053ffffffff,6.0,4.0,0.0
8480061ffffffff,2.0,2.0,0.0
848006bffffffff,2.0,2.0,0.0
84800c7ffffffff,1.0,0.0,0.0
8480101ffffffff,12.0,1.0,0.0
8480105ffffffff,36.0,1.0,0.0
8480107ffffffff,11.0,1.0,0.0
8480109ffffffff,86.0,16.0,0.0
848010dffffffff,3.0,0.0,0.0
8480115ffffffff,1.0,1.0,0.0
8480117ffffffff,2.0,0.0,0.0
848011bffffffff,24.0,15.0,0.0
8480139ffffffff,12.0,6.0,0.0
8480141ffffffff,97.0,18.0,0.0
8480147ffffffff,10.0,4.0,0.0
848014bffffffff,2.0,0.0,0.0
8480157ffffffff,2.0,2.0,0.0
8480161ffffffff,6.0,3.0,0.0
8480165ffffffff,14.0,11.0,0.0
8480169ffffffff,2.0,0.0,0.0
848016bffffffff,22.0,8.0,0.0
848016dffffffff,4.0,4.0,0.0
84801c9ffffffff,2.0,0.0,0.0
8480203ffffffff,1.0,0.0,0.0
8480207ffffffff,2.0,2.0,0.0
8480215ffffffff,1.0,0.0,0.0
848024dffffffff,1.0,0.0,0.0
8480265ffffffff,2.0,0.0,0.0
8480267ffffffff,2.0,0.0,0.0
84802cdffffffff,2.0,0.0,0.0
8480301ffffffff,104.0,32.0,0.0
8480305ffffffff,11.0,2.0,0.0
8480309ffffffff,24.0,9.0,0.0
848030dffffffff,8.0,1.0,0.0
848032bffffffff,11.0,7.0,0.0
848032dffffffff,2.0,0.0,0.0
8480345ffffffff,2.0,2.0,0.0
8480347ffffffff,3.0,0.0,0.0
8480359ffffffff,2.0,2.0,0.0
8480363ffffffff,32.0,4.0,0.0
8480627ffffffff,1.0,0.0,0.0
8480709ffffffff,2.0,0.0,0.0
8480747ffffffff,2.0,0.0,0.0
848074bffffffff,1.0,1.0,0.0
8481005ffffffff,6.0,0.0,0.0
8481007ffffffff,2.0,0.0,0.0
8481011ffffffff,6.0,6.0,0.0
8481013ffffffff,3.0,3.0,0.0
8481029ffffffff,24.0,3.0,0.0
8481049ffffffff,2.0,0.0,0.0
8481053ffffffff,1.0,0.0,0.0
8481063ffffffff,18.0,5.0,0.0
8481065ffffffff,2.0,2.0,0.0
8481067ffffffff,2.0,2.0,0.0
8481099ffffffff,5.0,0.0,0.0
84810a3ffffffff,2.0,0.0,0.0
8481105ffffffff,3.0,0.0,0.0
848110dffffffff,1.0,1.0,0.0
8481117ffffffff,1.0,0.0,0.0
8481125ffffffff,8.0,2.0,0.0
848112dffffffff,1.0,0.0,0.0
8481137ffffffff,2.0,0.0,0.0
848113dffffffff,2.0,0.0,0.0
8481143ffffffff,4.0,1.0,0.0
8481149ffffffff,2.0,0.0,0.0
848114bffffffff,2.0,0.0,0.0
8481161ffffffff,7.0,1.0,0.0
8481163ffffffff,2.0,0.0,0.0
8481189ffffffff,2.0,0.0,0.0
8481193ffffffff,7.0,3.0,0.0
84811a1ffffffff,8.0,8.0,0.0
84811abffffffff,10.0,0.0,0.0
84811e1ffffffff,9.0,9.0,0.0
84811edffffffff,5.0,2.0,0.0
8481205ffffffff,2.0,0.0,0.0
8481211ffffffff,59.0,33.0,0.0
8481215ffffffff,14.0,6.0,0.0
8481219ffffffff,1.0,1.0,0.0
848121dffffffff,4.0,1.0,0.0
8481225ffffffff,2.0,2.0,0.0
8481235ffffffff,1.0,1.0,0.0
8481237ffffffff,1.0,1.0,0.0
848123bffffffff,3.0,3.0,0.0
8481243ffffffff,1.0,1.0,0.0
8481245ffffffff,2.0,2.0,0.0
848124bffffffff,21.0,11.0,0.0
848124dffffffff,18.0,8.0,0.0
848125bffffffff,2.0,0.0,0.0
84812bdffffffff,5.0,0.0,0.0
84812c9ffffffff,2.0,0.0,0.0
84812d1ffffffff,4.0,0.0,0.0
84812d3ffffffff,4.0,0.0,0.0
84812d7ffffffff,6.0,0.0,0.0
84812e9ffffffff,1.0,0.0,0.0
8481303ffffffff,5.0,1.0,0.0
848130dffffffff,1.0,1.0,0.0
8481311ffffffff,3.0,0.0,0.0
8481321ffffffff,7.0,0.0,0.0
8481323ffffffff,5.0,5.0,0.0
8481327ffffffff,13.0,7.0,0.0
8481331ffffffff,10.0,8.0,0.0
8481335ffffffff,2.0,2.0,0.0
8481337ffffffff,3.0,1.0,0.0
8481339ffffffff,79.0,25.0,0.0
848133dffffffff,1.0,0.0,0.0
8481363ffffffff,5.0,0.0,0.0
848136bffffffff,2.0,2.0,0.0
8481403ffffffff,8.0,0.0,0.0
8481407ffffffff,1.0,0.0,0.0
8481423ffffffff,2.0,2.0,0.0
8481429ffffffff,1.0,0.0,0.0
848142dffffffff,1.0,0.0,0.0
8481431ffffffff,1.0,1.0,0.0
8481439ffffffff,2.0,0.0,0.0
848145dffffffff,5.0,1.0,0.0
8481469ffffffff,1.0,1.0,0.0
848146bffffffff,9.0,3.0,0.0
848151bffffffff,1.0,1.0,0.0
8481583ffffffff,3.0,0.0,0.0
84815abffffffff,3.0,0.0,0.0
84815e9ffffffff,1.0,1.0,0.0
8481621ffffffff,2.0,0.0,0.0
848162dffffffff,1.0,0.0,0.0
8481635ffffffff,6.0,1.0,0.0
8481637ffffffff,2.0,0.0,0.0
848166dffffffff,5.0,0.0,0.0
8481709ffffffff,2.0,2.0,0.0
8481711ffffffff,49.0,19.0,0.0
8481713ffffffff,39.0,23.0,0.0
848173dffffffff,2.0,0.0,0.0
8481749ffffffff,2.0,0.0,0.0
848175dffffffff,4.0,0.0,0.0
8481801ffffffff,14.0,2.0,0.0
8481803ffffffff,1.0,0.0,0.0
8481807ffffffff,2.0,0.0,0.0
8481809ffffffff,4.0,2.0,0.0
848180bffffffff,7.0,2.0,0.0
8481811ffffffff,4.0,4.0,0.0
848181dffffffff,4.0,0.0,0.0
8481833ffffffff,4.0,0.0,0.0
8481837ffffffff,7.0,0.0,0.0
8481839ffffffff,8.0,2.0,0.0
8481851ffffffff,6.0,3.0,0.0
8481855ffffffff,4.0,4.0,0.0
8481857ffffffff,30.0,5.0,0.0
848185dffffffff,2.0,2.0,0.0
8481881ffffffff,12.0,2.0,0.0
8481885ffffffff,17.0,15.0,0.0
8481889ffffffff,1.0,1.0,0.0
848188dffffffff,16.0,4.0,0.0
84818a7ffffffff,11.0,4.0,0.0
84818abffffffff,5.0,5.0,0.0
84818b3ffffffff,6.0,0.0,0.0
84818b5ffffffff,1.0,0.0,0.0
84818bbffffffff,5.0,1.0,0.0
84818c3ffffffff,10.0,10.0,0.0
84818c7ffffffff,2.0,0.0,0.0
84818d9ffffffff,2.0,0.0,0.0
84818dbffffffff,7.0,0.0,0.0
84818e1ffffffff,3.0,0.0,0.0
84818e3ffffffff,2.0,2.0,0.0
848199bffffffff,5.0,3.0,0.0
84819d1ffffffff,3.0,0.0,0.0
84819d3ffffffff,2.0,2.0,0.0
84819d9ffffffff,3.0,0.0,0.0
84819dbffffffff,3.0,3.0,0.0
8481a8bffffffff,2.0,0.0,0.0
8481a8dffffffff,5.0,0.0,0.0
8481aa3ffffffff,2.0,2.0,0.0
8481aa7ffffffff,1.0,0.0,0.0
8481ac3ffffffff,10.0,2.0,0.0
8481ad1ffffffff,71.0,13.0,0.0
8481ad5ffffffff,5.0,1.0,0.0
8481ad9ffffffff,4.0,4.0,0.0
8481ae7ffffffff,1.0,1.0,0.0
848a827ffffffff,1.0,0.0,0.0
848a9c1ffffffff,9.0,2.0,0.0
848a9e1ffffffff,2.0,2.0,0.0
848b105ffffffff,1.0,0.0,0.0
848b201ffffffff,17.0,0.0,2.0
848b203ffffffff,36.0,0.0,7.0
848b205ffffffff,24.0,0.0,0.0
848b20bffffffff,95.0,0.0,25.0
848b20dffffffff,1.0,0.0,1.0
848b21dffffffff,3.0,0.0,1.0
848b221ffffffff,6.0,0.0,0.0
848b223ffffffff,2.0,0.0,0.0
848b229ffffffff,8.0,0.0,0.0
848b22dffffffff,120.0,0.0,23.0
848b241ffffffff,1.0,0.0,0.0
848b243ffffffff,2.0,0.0,0.0
848b251ffffffff,17.0,0.0,0.0
848b257ffffffff,5.0,0.0,2.0
848b25dffffffff,2.0,0.0,0.0
848b261ffffffff,10.0,0.0,0.0
848b269ffffffff,10.0,0.0,0.0
848b2c9ffffffff,10.0,0.0,0.0
848b2e9ffffffff,1.0,0.0,0.0
848b315ffffffff,2.0,0.0,0.0
848b363ffffffff,6.0,0.0,2.0
848b849ffffffff,1.0,0.0,0.0
848ba23ffffffff,1.0,0.0,0.0
848ba63ffffffff,2.0,0.0,0.0
848ba65ffffffff,23.0,2.0,0.0
848bb59ffffffff,191.0,63.0,0.0
84a5961ffffffff,1.0,0.0,0.0
84a5969ffffffff,4.0,0.0,0.0
84a8095ffffffff,1.0,0.0,0.0
84a8097ffffffff,2.0,0.0,0.0
84a80b1ffffffff,4.0,0.0,0.0
84a80d9ffffffff,2.0,0.0,0.0
84a81b3ffffffff,2.0,2.0,0.0
84a8293ffffffff,2.0,0.0,0.0
84a8403ffffffff,5.0,0.0,1.0
84a8405ffffffff,3.0,0.0,0.0
84a840dffffffff,53.0,0.0,23.0
84a8411ffffffff,12.0,0.0,12.0
84a8413ffffffff,4.0,0.0,0.0
84a8421ffffffff,4.0,0.0,2.0
84a842bffffffff,2.0,0.0,2.0
84a8439ffffffff,4.0,0.0,4.0
84a8441ffffffff,13.0,0.0,6.0
84a8447ffffffff,9.0,0.0,9.0
84a8449ffffffff,1.0,0.0,1.0
84a844dffffffff,42.0,0.0,24.0
84a845bffffffff,2.0,0.0,0.0
84a8461ffffffff,11.0,0.0,11.0
84a8463ffffffff,54.0,0.0,37.0
84a8465ffffffff,6.0,0.0,3.0
84a84b9ffffffff,1.0,0.0,0.0
84a84d9ffffffff,1.0,0.0,0.0
84a84e1ffffffff,1.0,0.0,1.0
84a8519ffffffff,1.0,0.0,0.0
84a8559ffffffff,10.0,0.0,4.0
84a855dffffffff,13.0,0.0,7.0
84a856bffffffff,2.0,0.0,0.0
84a8591ffffffff,43.0,13.0,0.0
84a85b7ffffffff,15.0,10.0,0.0
84a8605ffffffff,10.0,0.0,0.0
84a8607ffffffff,2.0,0.0,2.0
84a860dffffffff,24.0,0.0,0.0
84a8629ffffffff,15.0,0.0,0.0
84a862bffffffff,2.0,0.0,0.0
84a862dffffffff,3.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8653ffffffff,5.0,0.0,0.0
84a865bffffffff,38.0,0.0,0.0
84a8663ffffffff,2.0,0.0,0.0
84a86b9ffffffff,1.0,0.0,0.0
84a86d3ffffffff,1.0,0.0,0.0
84a86d5ffffffff,5.0,0.0,0.0
84a86d7ffffffff,1.0,0.0,0.0
84a8701ffffffff,4.0,0.0,2.0
84a8705ffffffff,2.0,0.0,1.0
84a871bffffffff,35.0,0.0,21.0
84a8721ffffffff,4.0,0.0,4.0
84a8753ffffffff,2.0,0.0,0.0
84a8759ffffffff,11.0,0.0,0.0
84a875bffffffff,7.0,0.0,0.0
84a876bffffffff,2.0,0.0,0.0
84a876dffffffff,10.0,0.0,7.0
84a8889ffffffff,2.0,2.0,0.0
84a8895ffffffff,2.0,2.0,0.0
84a88a3ffffffff,2.0,0.0,0.0
84a88a9ffffffff,6.0,0.0,0.0
84a88b1ffffffff,3.0,3.0,0.0
84a88bbffffffff,19.0,19.0,0.0
84a88c3ffffffff,3.0,2.0,0.0
84a88ddffffffff,42.0,33.0,0.0
84a88e9ffffffff,21.0,15.0,0.0
84a88ebffffffff,1.0,0.0,0.0
84a89b3ffffffff,10.0,0.0,0.0
84a8c05ffffffff,5.0,5.0,0.0
84a8c0dffffffff,1.0,0.0,0.0
84a8c1dffffffff,2.0,0.0,0.0
84a8c25ffffffff,10.0,4.0,0.0
84a8c63ffffffff,1.0,0.0,0.0
84a8cebffffffff,5.0,2.0,0.0
84a8d01ffffffff,1.0,1.0,0.0
84a8d05ffffffff,14.0,13.0,0.0
84a8d19ffffffff,27.0,11.0,0.0
84a8d1bffffffff,22.0,9.0,0.0
84a8d35ffffffff,7.0,0.0,0.0
84a8d43ffffffff,3.0,2.0,0.0
84a8d45ffffffff,2.0,2.0,0.0
84a8d5bffffffff,1.0,1.0,0.0
84a8d69ffffffff,4.0,0.0,0.0
84a8d9dffffffff,4.0,0.0,0.0
84a8da1ffffffff,1.0,0.0,0.0
84a8da5ffffffff,3.0,0.0,0.0
84a8da9ffffffff,6.0,0.0,0.0
84a8db5ffffffff,8.0,0.0,0.0
84a8dd7ffffffff,2.0,0.0,0.0
84a8dd9ffffffff,2.0,0.0,0.0
84a8dddffffffff,2.0,1.0,0.0
84a8de1ffffffff,6.0,2.0,0.0
84a8de3ffffffff,6.0,2.0,0.0
84a8de7ffffffff,2.0,0.0,0.0
84a8e61ffffffff,4.0,4.0,0.0
84a8ec9ffffffff,2.0,0.0,0.0
84a8f41ffffffff,4.0,4.0,0.0
84a8f43ffffffff,2.0,0.0,0.0
84a9499ffffffff,2.0,0.0,0.0
84a949bffffffff,2.0,0.0,0.0
84a94b1ffffffff,2.0,0.0,0.0
84a94b5ffffffff,2.0,0.0,0.0
84a94d1ffffffff,2.0,0.0,0.0
84a94d9ffffffff,2.0,0.0,0.0
84a94ddffffffff,2.0,0.0,0.0
84a94e5ffffffff,1.0,0.0,0.0
84a9595ffffffff,6.0,0.0,0.0
84a9597ffffffff,6.0,0.0,0.0
84a95abffffffff,4.0,0.0,0.0
84a95b3ffffffff,2.0,0.0,0.0
84a95bbffffffff,6.0,0.0,0.0
84a969bffffffff,2.0,0.0,0.0
84a969dffffffff,4.0,0.0,2.0
84a96d3ffffffff,2.0,0.0,0.0
84b20d9ffffffff,2.0,0.0,0.0
84b2401ffffffff,13.0,0.0,0.0
84b2405ffffffff,6.0,0.0,1.0
84b2407ffffffff,4.0,0.0,0.0
84b2409ffffffff,4.0,0.0,0.0
84b240bffffffff,7.0,0.0,3.0
84b2411ffffffff,3.0,0.0,0.0
84b2413ffffffff,145.0,0.0,31.0
84b2415ffffffff,2.0,0.0,0.0
84b2419ffffffff,3.0,0.0,0.0
84b241dffffffff,5.0,0.0,0.0
84b2421ffffffff,5.0,0.0,0.0
84b2425ffffffff,6.0,0.0,0.0
84b2427ffffffff,2.0,0.0,0.0
84b242bffffffff,33.0,0.0,18.0
84b2431ffffffff,1.0,0.0,0.0
84b2435ffffffff,192.0,0.0,34.0
84b2437ffffffff,2.0,0.0,2.0
84b2439ffffffff,5.0,0.0,0.0
84b243bffffffff,2.0,0.0,0.0
84b243dffffffff,21.0,0.0,0.0
84b2441ffffffff,6.0,0.0,0.0
84b2443ffffffff,2.0,0.0,0.0
84b2445ffffffff,1.0,0.0,0.0
84b244dffffffff,4.0,0.0,0.0
84b2453ffffffff,3.0,0.0,0.0
84b2455ffffffff,4.0,0.0,0.0
84b2457ffffffff,6.0,0.0,3.0
84b2463ffffffff,62.0,0.0,12.0
84b2467ffffffff,6.0,0.0,0.0
84b246bffffffff,2.0,0.0,0.0
84b24c5ffffffff,2.0,0.0,0.0
84b24cdffffffff,6.0,0.0,0.0
84b24e5ffffffff,7.0,0.0,1.0
84b24edffffffff,12.0,0.0,0.0
84b251bffffffff,11.0,0.0,5.0
84b2533ffffffff,1.0,0.0,0.0
84b2549ffffffff,3.0,0.0,0.0
84b2557ffffffff,2.0,0.0,0.0
84b255dffffffff,2.0,0.0,0.0
84b2581ffffffff,1.0,0.0,0.0
84b2585ffffffff,1.0,0.0,0.0
84b2589ffffffff,60.0,0.0,0.0
84b258dffffffff,4.0,0.0,0.0
84b25adffffffff,1.0,0.0,0.0
84b25c1ffffffff,31.0,0.0,0.0
84b25c3ffffffff,7.0,0.0,0.0
84b25c7ffffffff,43.0,0.0,4.0
84b25cbffffffff,7.0,0.0,4.0
84b25cdffffffff,84.0,0.0,10.0
84b25d1ffffffff,24.0,0.0,0.0
84b25d5ffffffff,69.0,0.0,4.0
84b25d7ffffffff,2.0,0.0,0.0
84b25d9ffffffff,4.0,0.0,2.0
84b25ddffffffff,29.0,0.0,8.0
84b25e1ffffffff,40.0,0.0,0.0
84b25e3ffffffff,35.0,0.0,0.0
84b25e7ffffffff,4.0,0.0,0.0
84b2601ffffffff,3.0,0.0,0.0
84b2611ffffffff,10.0,0.0,0.0
84b2619ffffffff,3.0,0.0,0.0
84b2623ffffffff,3.0,0.0,0.0
84b2625ffffffff,5.0,0.0,0.0
84b2627ffffffff,8.0,0.0,0.0
84b262bffffffff,6.0,0.0,0.0
84b262dffffffff,302.0,0.0,0.0
84b2631ffffffff,3.0,0.0,0.0
84b2633ffffffff,4.0,0.0,0.0
84b2635ffffffff,7.0,0.0,0.0
84b263dffffffff,6.0,0.0,0.0
84b2655ffffffff,4.0,0.0,0.0
84b2659ffffffff,2.0,0.0,0.0
84b2661ffffffff,4.0,0.0,0.0
84b2665ffffffff,10.0,0.0,0.0
84b2667ffffffff,14.0,0.0,0.0
84b26e5ffffffff,3.0,0.0,0.0
84b26e7ffffffff,3.0,0.0,0.0
84b26edffffffff,3.0,0.0,0.0
84b2701ffffffff,12.0,0.0,0.0
84b2703ffffffff,2.0,0.0,0.0
84b2705ffffffff,1.0,0.0,0.0
84b2709ffffffff,16.0,0.0,0.0
84b270bffffffff,9.0,0.0,0.0
84b270dffffffff,5.0,0.0,0.0
84b2715ffffffff,5.0,0.0,0.0
84b2717ffffffff,2.0,0.0,0.0
84b2719ffffffff,1.0,0.0,0.0
84b271dffffffff,4.0,0.0,0.0
84b2723ffffffff,6.0,0.0,0.0
84b2725ffffffff,2.0,0.0,0.0
84b272bffffffff,4.0,0.0,0.0
84b2743ffffffff,4.0,0.0,0.0
84b274bffffffff,4.0,0.0,0.0
84b2753ffffffff,2.0,0.0,0.0
84b2755ffffffff,4.0,0.0,0.0
84b2757ffffffff,18.0,0.0,0.0
84b2759ffffffff,2.0,0.0,0.0
84b275bffffffff,145.0,0.0,0.0
84b275dffffffff,28.0,0.0,0.0
84b276bffffffff,2.0,0.0,0.0
84b32dbffffffff,1.0,0.0,0.0
84b32ddffffffff,1.0,0.0,0.0
84b3407ffffffff,1.0,0.0,0.0
84b3421ffffffff,20.0,0.0,0.0
84b3423ffffffff,64.0,0.0,0.0
84b3427ffffffff,16.0,0.0,0.0
84b3429ffffffff,8.0,0.0,0.0
84b342bffffffff,7.0,0.0,0.0
84b3435ffffffff,17.0,0.0,0.0
84b3437ffffffff,2.0,0.0,0.0
84b3439ffffffff,6.0,0.0,0.0
84b343bffffffff,22.0,0.0,0.0
84b343dffffffff,3.0,0.0,0.0
84b3441ffffffff,4.0,0.0,0.0
84b3445ffffffff,15.0,0.0,0.0
84b345dffffffff,2.0,0.0,0.0
84b348bffffffff,2.0,0.0,0.0
84b3493ffffffff,1.0,0.0,0.0
84b349dffffffff,4.0,0.0,0.0
84b34a5ffffffff,13.0,0.0,0.0
84b34b1ffffffff,11.0,0.0,0.0
84b34b5ffffffff,1.0,0.0,0.0
84b34b9ffffffff,42.0,0.0,0.0
84b34bbffffffff,1.0,0.0,0.0
84b34bdffffffff,19.0,0.0,0.0
84b34c1ffffffff,3.0,0.0,0.0
84b34c5ffffffff,6.0,0.0,0.0
84b34c7ffffffff,3.0,0.0,0.0
84b34cdffffffff,2.0,0.0,0.0
84b34d1ffffffff,5.0,0.0,0.0
84b34d3ffffffff,3.0,0.0,0.0
84b34d7ffffffff,5.0,0.0,0.0
84b34d9ffffffff,18.0,0.0,0.0
84b34dbffffffff,15.0,0.0,0.0
84b34e9ffffffff,1.0,0.0,0.0
84b3511ffffffff,4.0,0.0,0.0
84b3513ffffffff,61.0,0.0,0.0
84b351bffffffff,23.0,0.0,0.0
84b3585ffffffff,3.0,0.0,0.0
84b3589ffffffff,39.0,0.0,0.0
84b358dffffffff,3.0,0.0,0.0
84b35a1ffffffff,1.0,0.0,0.0
84b35a3ffffffff,21.0,0.0,0.0
84b35a5ffffffff,10.0,0.0,0.0
84b35a7ffffffff,3.0,0.0,0.0
84b35a9ffffffff,5.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
84b35adffffffff,19.0,0.0,0.0
84b35b3ffffffff,3.0,0.0,0.0
84b35b9ffffffff,9.0,0.0,0.0
84b35bdffffffff,2.0,0.0,0.0
84b35c1ffffffff,15.0,0.0,0.0
84b35c5ffffffff,95.0,0.0,0.0
84b35c7ffffffff,29.0,0.0,0.0
84b35c9ffffffff,70.0,0.0,0.0
84b35cdffffffff,90.0,0.0,0.0
84b35d3ffffffff,1.0,0.0,0.0
84b35d5ffffffff,27.0,0.0,0.0
84b35d7ffffffff,3.0,0.0,0.0
84b35d9ffffffff,6.0,0.0,0.0
84b35ddffffffff,1.0,0.0,0.0
84b35e1ffffffff,24.0,0.0,0.0
84b35e3ffffffff,12.0,0.0,0.0
84b35e7ffffffff,1.0,0.0,0.0
84b35e9ffffffff,56.0,0.0,0.0
84b35ebffffffff,28.0,0.0,0.0
84b3603ffffffff,4.0,0.0,0.0
84b3605ffffffff,3.0,0.0,3.0
84b360bffffffff,11.0,0.0,0.0
84b3611ffffffff,12.0,0.0,0.0
84b3615ffffffff,5.0,0.0,0.0
84b3617ffffffff,26.0,0.0,0.0
84b3627ffffffff,1.0,0.0,0.0
84b3629ffffffff,12.0,0.0,4.0
84b3633ffffffff,3.0,0.0,0.0
84b363bffffffff,1.0,0.0,0.0
84b3657ffffffff,4.0,0.0,0.0
84b3661ffffffff,9.0,0.0,3.0
84b3667ffffffff,4.0,0.0,0.0
84b366dffffffff,27.0,0.0,1.0
84b3683ffffffff,4.0,0.0,0.0
84b3687ffffffff,1.0,0.0,0.0
84b3689ffffffff,1.0,0.0,0.0
84b368bffffffff,18.0,0.0,0.0
84b3691ffffffff,1.0,0.0,0.0
84b3699ffffffff,153.0,0.0,0.0
84b369bffffffff,8.0,0.0,0.0
84b369dffffffff,5.0,0.0,0.0
84b36a5ffffffff,2.0,0.0,0.0
84b36adffffffff,7.0,0.0,0.0
84b36b3ffffffff,8.0,0.0,0.0
84b36c3ffffffff,4.0,0.0,0.0
84b36d3ffffffff,5.0,0.0,0.0
84b36d5ffffffff,21.0,0.0,0.0
84b36d7ffffffff,15.0,0.0,0.0
84b36dbffffffff,2.0,0.0,0.0
