cell_id,Cinclus mexicanus,Cinclus mexicanus [mexicanus Group],Cinclus mexicanus ardesiacus
830c14fffffffff,4.0,0.0,0.0
830c42fffffffff,2.0,2.0,0.0
830c55fffffffff,7.0,0.0,0.0
830c66fffffffff,4.0,4.0,0.0
830c73fffffffff,14.0,0.0,0.0
830c74fffffffff,3.0,0.0,0.0
830c75fffffffff,2.0,0.0,0.0
830c76fffffffff,2.0,0.0,0.0
830d72fffffffff,11.0,0.0,0.0
831234fffffffff,1.0,0.0,0.0
831259fffffffff,7.0,0.0,0.0
831285fffffffff,3.0,0.0,0.0
8312b6fffffffff,3.0,3.0,0.0
8312c0fffffffff,3.0,0.0,0.0
8312c1fffffffff,1.0,0.0,0.0
8312cbfffffffff,5.0,0.0,0.0
8312ccfffffffff,1.0,1.0,0.0
8312d3fffffffff,2.0,2.0,0.0
8312dafffffffff,12.0,0.0,0.0
8312ddfffffffff,2.0,0.0,0.0
8312ecfffffffff,2.0,0.0,0.0
8312f1fffffffff,2.0,0.0,0.0
8312f2fffffffff,2.0,0.0,0.0
831386fffffffff,6.0,0.0,0.0
831394fffffffff,2.0,0.0,0.0
8313b3fffffffff,3.0,0.0,0.0
831d24fffffffff,1.0,1.0,0.0
8322d0fffffffff,5.0,0.0,0.0
832681fffffffff,63.0,2.0,0.0
832683fffffffff,5.0,0.0,0.0
832685fffffffff,15.0,0.0,0.0
832688fffffffff,2.0,0.0,0.0
83268cfffffffff,82.0,0.0,0.0
83268efffffffff,18.0,0.0,0.0
832690fffffffff,47.0,0.0,0.0
832692fffffffff,2.0,0.0,0.0
832694fffffffff,12.0,0.0,0.0
832695fffffffff,6.0,0.0,0.0
832696fffffffff,78.0,0.0,0.0
832698fffffffff,1.0,0.0,0.0
83269cfffffffff,1.0,0.0,0.0
83269dfffffffff,11.0,2.0,0.0
83269efffffffff,2.0,0.0,0.0
8326aafffffffff,4.0,0.0,0.0
8326b6fffffffff,4.0,2.0,0.0
83278bfffffffff,8.0,3.0,0.0
832792fffffffff,15.0,0.0,0.0
832806fffffffff,2.0,0.0,0.0
832810fffffffff,6.0,0.0,0.0
832811fffffffff,2.0,0.0,0.0
832814fffffffff,11.0,0.0,0.0
832815fffffffff,18.0,0.0,0.0
832818fffffffff,4.0,0.0,0.0
83281afffffffff,4.0,0.0,0.0
83281cfffffffff,1.0,0.0,0.0
83281efffffffff,13.0,0.0,0.0
832830fffffffff,115.0,0.0,0.0
832831fffffffff,14.0,0.0,0.0
832832fffffffff,8.0,0.0,0.0
832833fffffffff,2.0,0.0,0.0
832834fffffffff,78.0,0.0,0.0
832836fffffffff,14.0,0.0,0.0
832880fffffffff,4.0,0.0,0.0
832881fffffffff,2.0,0.0,0.0
832884fffffffff,8.0,0.0,0.0
832886fffffffff,3.0,0.0,0.0
832888fffffffff,5.0,0.0,0.0
83288afffffffff,13.0,0.0,0.0
83288bfffffffff,10.0,0.0,0.0
83288dfffffffff,12.0,0.0,0.0
83288efffffffff,2.0,0.0,0.0
832890fffffffff,21.0,0.0,0.0
832892fffffffff,10.0,0.0,0.0
832896fffffffff,5.0,0.0,0.0
832898fffffffff,2.0,0.0,0.0
83289afffffffff,2.0,2.0,0.0
83289bfffffffff,1.0,0.0,0.0
83289dfffffffff,10.0,4.0,0.0
8328a3fffffffff,4.0,0.0,0.0
8328b1fffffffff,2.0,0.0,0.0
8328c2fffffffff,2.0,0.0,0.0
8328d1fffffffff,9.0,0.0,0.0
8328d4fffffffff,5.0,0.0,0.0
8328d5fffffffff,1.0,0.0,0.0
8328d6fffffffff,6.0,0.0,0.0
8328defffffffff,3.0,0.0,0.0
8328f0fffffffff,4.0,0.0,0.0
8328f1fffffffff,2.0,0.0,0.0
83291afffffffff,2.0,0.0,0.0
832989fffffffff,2.0,0.0,0.0
83298cfffffffff,3.0,0.0,0.0
83298dfffffffff,6.0,0.0,0.0
832990fffffffff,22.0,2.0,0.0
832994fffffffff,5.0,0.0,0.0
8329a0fffffffff,82.0,0.0,0.0
8329a1fffffffff,117.0,0.0,0.0
8329a2fffffffff,2.0,0.0,0.0
8329a6fffffffff,2.0,0.0,0.0
8329acfffffffff,3.0,0.0,0.0
8329aefffffffff,4.0,2.0,0.0
8329b2fffffffff,17.0,0.0,0.0
8329b3fffffffff,2.0,0.0,0.0
834522fffffffff,2.0,0.0,0.0
834524fffffffff,5.0,0.0,0.0
834525fffffffff,9.0,0.0,0.0
8348c0fffffffff,3.0,0.0,0.0
8348c1fffffffff,1.0,0.0,0.0
8348c3fffffffff,4.0,0.0,0.0
8348c5fffffffff,29.0,2.0,0.0
8348ccfffffffff,7.0,0.0,0.0
8348cdfffffffff,24.0,2.0,0.0
8348d4fffffffff,1.0,0.0,0.0
8348d8fffffffff,213.0,0.0,0.0
8348e8fffffffff,6.0,0.0,0.0
8348eafffffffff,6.0,0.0,0.0
8348ecfffffffff,2.0,0.0,0.0
8348eefffffffff,3.0,0.0,0.0
834986fffffffff,2.0,2.0,0.0
834990fffffffff,14.0,0.0,0.0
834996fffffffff,10.0,2.0,0.0
83499cfffffffff,6.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366b4fffffffff,39.0,0.0,37.0
836796fffffffff,50.0,0.0,0.0
83679afffffffff,1.0,0.0,0.0
836d28fffffffff,2.0,0.0,0.0
836d2dfffffffff,75.0,0.0,0.0
836d30fffffffff,7.0,0.0,0.0
836d66fffffffff,7.0,0.0,0.0
836d69fffffffff,103.0,0.0,4.0
