cell_id,Coracina javensis,Coracina javensis javensis,Coracina javensis [nipalensis Group],Coracina javensis rexpineti
843c067ffffffff,2.0,0.0,2.0,0.0
843c155ffffffff,3.0,0.0,0.0,0.0
843c159ffffffff,11.0,0.0,11.0,0.0
843c193ffffffff,3.0,0.0,0.0,0.0
843c199ffffffff,4.0,0.0,1.0,0.0
843c19bffffffff,5.0,0.0,0.0,0.0
843c1b9ffffffff,2.0,0.0,0.0,0.0
843c1d7ffffffff,4.0,0.0,0.0,0.0
843c329ffffffff,3.0,0.0,1.0,0.0
843c33bffffffff,7.0,0.0,7.0,0.0
843c527ffffffff,5.0,0.0,0.0,0.0
843cc0dffffffff,1.0,0.0,0.0,0.0
843cc47ffffffff,4.0,0.0,0.0,0.0
843cc6bffffffff,7.0,0.0,0.0,0.0
843ce29ffffffff,6.0,0.0,0.0,0.0
843ce43ffffffff,1.0,0.0,1.0,0.0
843cec9ffffffff,7.0,0.0,0.0,0.0
843cf11ffffffff,4.0,0.0,0.0,0.0
843cf27ffffffff,1.0,0.0,1.0,0.0
843cf35ffffffff,3.0,0.0,0.0,0.0
843d107ffffffff,2.0,0.0,0.0,0.0
843da91ffffffff,5.0,0.0,0.0,0.0
843da97ffffffff,7.0,0.0,0.0,0.0
843dac9ffffffff,8.0,0.0,0.0,0.0
84416b1ffffffff,2.0,0.0,0.0,0.0
844184bffffffff,2.0,0.0,0.0,0.0
8441a55ffffffff,39.0,0.0,0.0,0.0
844b845ffffffff,9.0,0.0,0.0,0.0
844b849ffffffff,13.0,0.0,0.0,0.0
844b84dffffffff,1.0,0.0,0.0,0.0
844b869ffffffff,2.0,0.0,0.0,0.0
844b86dffffffff,3.0,0.0,0.0,0.0
844ba03ffffffff,3.0,0.0,0.0,0.0
844ba05ffffffff,2.0,0.0,0.0,0.0
844ba07ffffffff,3.0,0.0,0.0,0.0
844ba21ffffffff,1.0,0.0,0.0,0.0
844ba25ffffffff,6.0,0.0,0.0,0.0
844ba2bffffffff,80.0,0.0,1.0,0.0
844ba39ffffffff,7.0,0.0,0.0,0.0
844bb13ffffffff,25.0,0.0,2.0,0.0
844bb1bffffffff,122.0,0.0,2.0,0.0
846416dffffffff,1.0,0.0,0.0,0.0
8464911ffffffff,1.0,0.0,0.0,0.0
8464a3dffffffff,2.0,0.0,0.0,0.0
84658adffffffff,1.0,0.0,0.0,0.0
