cell_id,Cinnyris sovimanga,Cinnyris sovimanga aldabrensis,Cinnyris sovimanga sovimanga,Cinnyris sovimanga apolis,Cinnyris sovimanga abbotti/buchenorum
837b2cfffffffff,2.0,0.0,0.0,0.0,0.0
837b2dfffffffff,7.0,0.0,0.0,0.0,0.0
83a204fffffffff,15.0,0.0,0.0,0.0,0.0
83a210fffffffff,2.0,0.0,0.0,0.0,0.0
83a213fffffffff,1.0,0.0,0.0,0.0,0.0
83a214fffffffff,662.0,0.0,0.0,0.0,0.0
83a215fffffffff,14.0,0.0,0.0,0.0,0.0
83a216fffffffff,13.0,0.0,0.0,0.0,0.0
83a221fffffffff,4.0,0.0,0.0,0.0,0.0
83a222fffffffff,473.0,0.0,0.0,0.0,0.0
83a223fffffffff,13.0,0.0,0.0,0.0,0.0
83a230fffffffff,4.0,0.0,0.0,0.0,0.0
83a231fffffffff,684.0,0.0,0.0,0.0,0.0
83a233fffffffff,19.0,0.0,0.0,0.0,0.0
83a234fffffffff,1.0,0.0,0.0,0.0,0.0
83a235fffffffff,123.0,0.0,0.0,0.0,0.0
83a2a3fffffffff,116.0,0.0,0.0,0.0,0.0
83a2a4fffffffff,140.0,0.0,0.0,0.0,0.0
83a2a6fffffffff,13.0,0.0,0.0,0.0,0.0
83a2aefffffffff,51.0,0.0,0.0,0.0,0.0
83a308fffffffff,61.0,0.0,0.0,0.0,0.0
83a309fffffffff,40.0,0.0,0.0,0.0,0.0
83a30afffffffff,3.0,0.0,0.0,0.0,0.0
83a30cfffffffff,73.0,0.0,0.0,0.0,0.0
83a30dfffffffff,10.0,0.0,0.0,0.0,0.0
83a30efffffffff,10.0,0.0,0.0,0.0,0.0
83a318fffffffff,19.0,0.0,0.0,0.0,0.0
83a319fffffffff,394.0,0.0,0.0,0.0,0.0
83a31bfffffffff,17.0,0.0,0.0,0.0,0.0
83a31cfffffffff,7.0,0.0,0.0,0.0,0.0
83a31dfffffffff,29.0,0.0,0.0,0.0,0.0
83a356fffffffff,178.0,0.0,0.0,0.0,0.0
83a372fffffffff,1.0,0.0,0.0,0.0,0.0
83a376fffffffff,51.0,0.0,0.0,0.0,0.0
83a38bfffffffff,183.0,0.0,0.0,0.0,0.0
83a38cfffffffff,5.0,0.0,0.0,0.0,0.0
83a38dfffffffff,35.0,0.0,0.0,0.0,0.0
83a38efffffffff,2.0,0.0,0.0,0.0,0.0
83a399fffffffff,813.0,0.0,0.0,0.0,0.0
83a39dfffffffff,26.0,0.0,0.0,0.0,0.0
83a3a9fffffffff,4.0,0.0,0.0,0.0,0.0
83a3abfffffffff,11.0,0.0,0.0,0.0,0.0
83a3adfffffffff,9.0,0.0,0.0,0.0,0.0
