cell_id,Lonchura malacca,Lonchura malacca (Pale-flanked),Lonchura malacca (Cinnamon-flanked)
832648fffffffff,3.0,0.0,0.0
833c02fffffffff,20.0,0.0,0.0
833c15fffffffff,1.0,0.0,0.0
833c19fffffffff,11.0,0.0,0.0
833c1bfffffffff,10.0,0.0,0.0
833c1cfffffffff,11.0,0.0,0.0
833c36fffffffff,14.0,0.0,0.0
833c88fffffffff,1.0,0.0,0.0
833c8dfffffffff,1.0,0.0,0.0
833c8efffffffff,1.0,0.0,0.0
833c9dfffffffff,2.0,0.0,0.0
833ca8fffffffff,2.0,0.0,0.0
833ca9fffffffff,2.0,0.0,0.0
833cabfffffffff,4.0,0.0,0.0
833cb1fffffffff,6.0,0.0,0.0
833cb4fffffffff,2.0,0.0,0.0
833cb6fffffffff,1.0,0.0,0.0
833cc4fffffffff,4.0,2.0,0.0
833cf2fffffffff,28.0,0.0,1.0
833cf4fffffffff,5.0,0.0,0.0
833cf6fffffffff,9.0,0.0,0.0
833d36fffffffff,8.0,0.0,0.0
833d85fffffffff,2.0,0.0,0.0
833d8cfffffffff,2.0,0.0,0.0
833d98fffffffff,6.0,0.0,0.0
833d99fffffffff,3.0,0.0,0.0
833d9dfffffffff,3.0,0.0,0.0
833da1fffffffff,25.0,0.0,0.0
833da3fffffffff,2.0,0.0,0.0
833dacfffffffff,12.0,0.0,0.0
833db2fffffffff,4.0,0.0,0.0
83424dfffffffff,1.0,0.0,0.0
8342c0fffffffff,5.0,0.0,0.0
8342ccfffffffff,2.0,0.0,0.0
8342cefffffffff,11.0,0.0,0.0
8342d1fffffffff,3.0,0.0,0.0
8342d9fffffffff,2.0,0.0,0.0
8342dbfffffffff,5.0,0.0,0.0
8342dcfffffffff,1.0,0.0,0.0
8342ddfffffffff,2.0,0.0,0.0
83438cfffffffff,2.0,0.0,0.0
834414fffffffff,12.0,0.0,0.0
834416fffffffff,1.0,0.0,0.0
834450fffffffff,1.0,0.0,0.0
834485fffffffff,3.0,0.0,0.0
8344acfffffffff,132.0,1.0,0.0
8344d0fffffffff,6.0,0.0,0.0
83450afffffffff,2.0,0.0,0.0
83450bfffffffff,4.0,0.0,0.0
83450efffffffff,1.0,0.0,0.0
834520fffffffff,5.0,0.0,0.0
834521fffffffff,13.0,0.0,0.0
834522fffffffff,3.0,0.0,0.0
834525fffffffff,8.0,0.0,0.0
834526fffffffff,1.0,0.0,0.0
83452afffffffff,51.0,0.0,0.0
83452cfffffffff,17.0,0.0,0.0
83452efffffffff,122.0,0.0,0.0
8345a3fffffffff,5.0,0.0,0.0
8345b2fffffffff,7.0,0.0,0.0
8348eefffffffff,2.0,0.0,0.0
834996fffffffff,38.0,0.0,0.0
834c8afffffffff,2.0,0.0,0.0
834cc0fffffffff,2.0,0.0,0.0
834cc5fffffffff,80.0,0.0,0.0
834ceafffffffff,8.0,0.0,0.0
834ceefffffffff,14.0,0.0,0.0
834cf3fffffffff,2.0,0.0,0.0
835f48fffffffff,10.0,0.0,0.0
835f58fffffffff,51.0,0.0,0.0
836004fffffffff,22.0,0.0,0.0
836006fffffffff,4.0,0.0,0.0
836014fffffffff,21.0,0.0,0.0
836015fffffffff,58.0,0.0,0.0
