cell_id,Somateria mollissima,Somateria mollissima mollissima,Somateria mollissima faeroeensis,Somateria mollissima v-nigrum,Somateria mollissima dresseri,Somateria mollissima borealis,Somateria mollissima sedentaria
820137fffffffff,5.0,0.0,0.0,0.0,0.0,3.0,0.0
820157fffffffff,14.0,0.0,0.0,0.0,0.0,1.0,0.0
82015ffffffffff,4.0,0.0,0.0,0.0,0.0,2.0,0.0
82029ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8202cffffffffff,19.0,0.0,0.0,19.0,0.0,0.0,0.0
8206d7fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8206effffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820707fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820747fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82075ffffffffff,7.0,1.0,0.0,0.0,0.0,0.0,0.0
820767fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
820777fffffffff,102.0,100.0,0.0,0.0,0.0,0.0,0.0
82099ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
820c17fffffffff,233.0,0.0,0.0,229.0,0.0,0.0,0.0
820c37fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
820c57fffffffff,22.0,0.0,0.0,7.0,0.0,0.0,0.0
820c5ffffffffff,27.0,0.0,0.0,5.0,0.0,0.0,0.0
820c8ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820ca7fffffffff,126.0,0.0,0.0,123.0,0.0,0.0,0.0
820caffffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0
820cf7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820d07fffffffff,166.0,0.0,0.0,32.0,0.0,0.0,0.0
820d67fffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0
820d9ffffffffff,9.0,0.0,0.0,9.0,0.0,0.0,0.0
820e27fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820e4ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
820e87fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,2.0
820e8ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820ee7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
820eeffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
821257fffffffff,16.0,0.0,0.0,2.0,0.0,0.0,0.0
82125ffffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
821327fffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
