cell_id,Psittacara mitratus,Psittacara mitratus [mitratus Group],Psittacara mitratus alticola
832830fffffffff,6.0,0.0,0.0
832834fffffffff,14.0,0.0,0.0
8328d5fffffffff,1.0,0.0,0.0
8329a0fffffffff,25.0,0.0,0.0
8329a1fffffffff,23.0,0.0,0.0
8329a4fffffffff,1.0,0.0,0.0
8329a5fffffffff,36.0,0.0,0.0
832a10fffffffff,3.0,0.0,0.0
833944fffffffff,8.0,0.0,0.0
833968fffffffff,2.0,0.0,0.0
83446cfffffffff,4.0,0.0,0.0
8344a1fffffffff,276.0,0.0,0.0
8344aefffffffff,4.0,1.0,0.0
8348a0fffffffff,2.0,0.0,0.0
8348b3fffffffff,95.0,4.0,0.0
8349b3fffffffff,3.0,0.0,0.0
834ceefffffffff,1.0,0.0,0.0
838b20fffffffff,13.0,10.0,0.0
838b22fffffffff,23.0,16.0,0.0
838b25fffffffff,2.0,2.0,0.0
838e62fffffffff,6.0,0.0,0.0
838e6afffffffff,2.0,0.0,0.0
838f46fffffffff,4.0,0.0,0.0
838f55fffffffff,3.0,0.0,0.0
83b270fffffffff,2.0,0.0,0.0
83b2eefffffffff,1.0,0.0,0.0
83b304fffffffff,7.0,0.0,0.0
83b32dfffffffff,5.0,5.0,0.0
83b335fffffffff,3.0,0.0,0.0
83b342fffffffff,3.0,0.0,0.0
83b351fffffffff,1.0,0.0,0.0
83b35bfffffffff,2.0,0.0,0.0
83b35cfffffffff,2.0,0.0,0.0
83b35efffffffff,13.0,0.0,0.0
83b366fffffffff,2.0,0.0,0.0
83c21dfffffffff,1.0,0.0,0.0
83c2c4fffffffff,2.0,0.0,0.0
83c2e2fffffffff,4.0,0.0,0.0
83c2e3fffffffff,3.0,0.0,0.0
